,made
1951,0.0010340344160795212
1952,0.0010264470474794507
1953,0.0010169410379603505
1954,0.001015381421893835
1955,0.0010018949396908283
1956,0.0009840496350079775
1957,0.0009799185208976269
1958,0.000966951425652951
1959,0.0009549037786200643
1960,0.0009386047604493797
1961,0.0009225989924743772
1962,0.000916456279810518
1963,0.0008994679083116353
1964,0.0008928405004553497
1965,0.0008824777905829251
1966,0.0008835809421725571
1967,0.0008780090138316154
1968,0.0008656524587422609
1969,0.0008525743032805622
1970,0.0008335653110407293
1971,0.0008269936079159379
1972,0.0008021168760024011
1973,0.0007782758329994977
1974,0.0007723992457613349
1975,0.000757577654439956
1976,0.0007467354880645871
1977,0.0007238902035169303
1978,0.0007092529558576643
1979,0.0007067761616781354
1980,0.0006868644850328565
1981,0.000676263531204313
1982,0.0006688061985187232
1983,0.0006627196562476456
1984,0.0006476978887803853
1985,0.000637723715044558
1986,0.000629100832156837
1987,0.0006285469862632453
1988,0.0006239773356355727
1989,0.0006010377546772361
1990,0.0005951427156105638
1991,0.0005940267001278698
1992,0.0005935883382335305
1993,0.0005769527051597834
1994,0.0005749580450356007
1995,0.0005811973242089152
1996,0.0005746216629631817
1997,0.0005844496772624552
1998,0.0005843564285896719
1999,0.0005872682668268681
2000,0.0005939608090557158
2001,0.0005982089787721634
2002,0.000591923831962049
2003,0.000589133647736162
2004,0.0005948195466771722
2005,0.0005930771003477275
2006,0.0006028370116837323
2007,0.0006067967624403536
2008,0.0006345970323309302
2009,0.0006365169538185
2010,0.0006343944696709514
2011,0.0006294039194472134
2012,0.0006035596015863121
2013,0.0006145962979644537
2014,0.0006545005599036813
2015,0.0006423466256819665
2016,0.0006175875896587968
2017,0.0006638108752667904
2018,0.0006575359730049968
2019,0.0006394786178134382
