,should
1896,0.0010110385483130813
1897,0.0010084636742249131
1898,0.0010216664522886276
1899,0.0010132334427908063
1900,0.0010419469326734543
1901,0.0010275361128151417
1902,0.00104517862200737
1903,0.0010386103531345725
1904,0.001034350716508925
1905,0.001023830147460103
1906,0.0010543063981458545
1907,0.0010341557208448648
1908,0.0010724399471655488
1909,0.0010588915320113301
1910,0.0010363459587097168
1911,0.0010211035842075944
1912,0.0010638181120157242
1913,0.0010678018443286419
1914,0.001085076597519219
1915,0.00106002704706043
1916,0.001090754522010684
1917,0.0011036426294595003
1918,0.0011285877553746104
1919,0.0011397073976695538
1920,0.0011079302057623863
1921,0.0010639175307005644
1922,0.0010537762427702546
1923,0.0010299080749973655
1924,0.001045744982548058
1925,0.00098781893029809
1926,0.0010177399963140488
1927,0.0009734492632560432
1928,0.0009844474261626601
1929,0.0009571750997565687
1930,0.0009739690576680005
1931,0.0009401815477758646
1932,0.0009821349522098899
1933,0.0009476395207457244
1934,0.0009866708423942327
1935,0.0009340490214526653
1936,0.0009447206975892186
1937,0.0009359791874885559
1938,0.0009605369996279478
1939,0.0009460137807764113
1940,0.0009523489861749113
1941,0.0009343646233901381
1942,0.0010004109935835004
1943,0.0009957426227629185
1944,0.0010265394812449813
1945,0.0010222510900348425
1946,0.0010294225066900253
1947,0.0010201400145888329
1948,0.0009922287426888943
1949,0.0009480418520979583
1950,0.0009584434446878731
1951,0.000943649560213089
1952,0.0009387166937813163
1953,0.0009116018773056567
1954,0.0008965956512838602
1955,0.000924126070458442
1956,0.0009200489148497581
1957,0.0008798623457551003
1958,0.0009324747952632606
1959,0.0008812060696072876
1960,0.0008989071939140558
1961,0.0008739037439227104
1962,0.0008767248364165425
1963,0.0008669617818668485
1964,0.000869459006935358
1965,0.0008510068873874843
1966,0.0008816928020678461
1967,0.0008687528898008168
1968,0.000868209928739816
1969,0.0008859626832418144
1970,0.0008687403751537204
1971,0.0008775633759796619
1972,0.0008512852364219725
1973,0.0008311428828164935
1974,0.0008610205259174109
1975,0.000856996513903141
1976,0.0008409604779444635
1977,0.0008428415167145431
1978,0.0008228232036344707
1979,0.000815671228338033
1980,0.0008058150415308774
1981,0.0007807725924067199
1982,0.000773574342019856
1983,0.0007865442312322557
1984,0.0007627869490534067
1985,0.0007571111200377345
1986,0.0007527570705860853
1987,0.0007356766727752984
1988,0.0007431238773278892
1989,0.0007165789138525724
1990,0.0007311773952096701
1991,0.0007248109322972596
1992,0.0007246292079798877
1993,0.0006991715636104345
1994,0.000700733158737421
1995,0.0006930425297468901
1996,0.0007002699421718717
1997,0.0006958945305086672
1998,0.0007049022242426872
1999,0.0006970264948904514
2000,0.0006957475561648607
2001,0.0006853993400000036
2002,0.0006909301737323403
2003,0.0006945563945919275
2004,0.0007018320611678064
2005,0.0006957374280318618
2006,0.0007059969357214868
2007,0.0006968210800550878
2008,0.0007212712662294507
2009,0.0007096310146152973
2010,0.0007087496342137456
2011,0.00069847097620368
2012,0.0006804352160543203
2013,0.0006816975655965507
2014,0.000678475946187973
2015,0.0006873799720779061
2016,0.0006746650324203074
2017,0.0006885881302878261
2018,0.0006980177131481469
2019,0.0006993034621700644
