,way
1800,0.0004251179052516818
1801,0.0004051528521813452
1802,0.0003505905042402446
1803,0.000327545334585011
1804,0.0003696010971907526
1805,0.0003737254301086068
1806,0.0003726580471266061
1807,0.0003697414940688759
1808,0.00042805291013792157
1809,0.000400829449063167
1810,0.0004042315122205764
1811,0.00041765032801777124
1812,0.0003873446548823267
1813,0.00036415355862118304
1814,0.0003716715145856142
1815,0.0003888268838636577
1816,0.0003728495503310114
1817,0.0003708912990987301
1818,0.0003722366236615926
1819,0.00036050472408533096
1820,0.0003947633958887309
1821,0.0003792115894611925
1822,0.0003975197614636272
1823,0.00041702322778292
1824,0.00040439696749672294
1825,0.00039887981256470084
1826,0.000396370334783569
1827,0.00038981769466772676
1828,0.0003907092032022774
1829,0.00039113746606744826
1830,0.0004151410248596221
1831,0.00039794182521291077
1832,0.00038715722621418536
1833,0.00040537130553275347
1834,0.0003921623283531517
1835,0.00040342254214920104
1836,0.00040701116085983813
1837,0.00040015685954131186
1838,0.0004093088209629059
1839,0.00041578977834433317
1840,0.00040396483382210135
1841,0.0004071722796652466
1842,0.00040320446714758873
1843,0.000417859700974077
1844,0.00042387412395328283
1845,0.0004087840497959405
1846,0.0004021094355266541
1847,0.00041453883750364184
1848,0.00041461645741946995
1849,0.0004128029686398804
1850,0.0004215451772324741
1851,0.0004150952445343137
1852,0.0004235652450006455
1853,0.0004270642821211368
1854,0.00042182422475889325
1855,0.0004195084038656205
1856,0.00042896033846773207
1857,0.00042763198143802583
1858,0.00042000439134426415
1859,0.0004212230269331485
1860,0.00043706625001505017
1861,0.0004307741182856262
1862,0.0004571100580506027
1863,0.00044815681758336723
1864,0.0004520634247455746
1865,0.0004627045418601483
1866,0.00045812607277184725
1867,0.0004500509239733219
1868,0.0004566939314827323
1869,0.00046902181929908693
1870,0.00046119739999994636
1871,0.0004663122817873955
1872,0.0004732841334771365
1873,0.00046808342449367046
1874,0.000467742356704548
1875,0.0004636049270629883
1876,0.0004679281555581838
1877,0.00046374162775464356
1878,0.0004657561657950282
1879,0.00046461811871267855
1880,0.00046746068983338773
1881,0.00046432320959866047
1882,0.0004782650212291628
1883,0.0004731458320748061
1884,0.0004804180352948606
1885,0.00048377946950495243
1886,0.0004767227219417691
1887,0.0004765012126881629
1888,0.0004810768587049097
1889,0.0004745053010992706
1890,0.0004836946609430015
1891,0.0004798644222319126
1892,0.0004940854269079864
1893,0.0004819422902073711
1894,0.0004892578581348062
1895,0.00047191785415634513
1896,0.00047939002979546785
1897,0.00046784928417764604
1898,0.00047415398876182735
1899,0.0004939434584230185
1900,0.0004826289659831673
1901,0.00046864605974406004
1902,0.0004722709418274462
1903,0.00047105527482926846
1904,0.0004752453533001244
1905,0.00046552313142456114
1906,0.0004656404198613018
1907,0.00046950081014074385
1908,0.00046905744238756597
1909,0.00047262953012250364
1910,0.00046569842379540205
1911,0.0004629434843081981
1912,0.00047105475096032023
1913,0.00046644563553854823
1914,0.00046764142462052405
1915,0.00045252626296132803
1916,0.00046114943688735366
1917,0.00045415147906169295
1918,0.0004600778629537672
1919,0.000465666496893391
1920,0.00046671481686644256
1921,0.00045014452189207077
1922,0.0004541961243376136
1923,0.00044354377314448357
1924,0.00045470421900972724
1925,0.00043404343887232244
1926,0.0004431753477547318
1927,0.0004346524365246296
1928,0.00043127016397193074
1929,0.0004256787651684135
1930,0.00042630935786291957
1931,0.00040664238622412086
1932,0.0004132423782721162
1933,0.0003940577735193074
1934,0.00041031240834854543
1935,0.0003990638069808483
1936,0.00040140069904737175
1937,0.00039391519385389984
1938,0.0003957937879022211
1939,0.0003863512829411775
1940,0.0003874138928949833
1941,0.00037668400909751654
1942,0.0003979680477641523
1943,0.0003972406266257167
1944,0.0004054964811075479
1945,0.00039977359119802713
1946,0.0004120338708162308
1947,0.0004131933383177966
1948,0.00040833515231497586
1949,0.0003841447178274393
1950,0.00039877541712485254
1951,0.0004056683392263949
1952,0.00041657622205093503
1953,0.00040341587737202644
1954,0.0003991725679952651
1955,0.000408467574743554
1956,0.0004138500662520528
1957,0.0004033039149362594
1958,0.00040717009687796235
1959,0.00039542379090562463
1960,0.0003981890040449798
1961,0.0003965573268942535
1962,0.0003985776857007295
1963,0.0003953991399612278
1964,0.00039647845551371574
1965,0.0003925746423192322
1966,0.0004029147676192224
1967,0.0004026559763588011
1968,0.00040974258445203304
1969,0.0004061339714098722
1970,0.0004058964259456843
1971,0.000394754228182137
1972,0.00039273322909139097
1973,0.00038671636139042675
1974,0.00039178691804409027
1975,0.0003815708332695067
1976,0.00037495236028917134
1977,0.0003726331051439047
1978,0.0003660230722744018
1979,0.000368451583199203
1980,0.0003695098857861012
1981,0.000365100015187636
1982,0.0003696205385494977
1983,0.0003726582508534193
1984,0.0003783396678045392
1985,0.00037352071376517415
1986,0.00038608431350439787
1987,0.0003869809734169394
1988,0.0003933086118195206
1989,0.00039096674299798906
1990,0.0003970590769313276
1991,0.00040259002707898617
1992,0.0004062533553224057
1993,0.00040273010381497443
1994,0.00041326822247356176
1995,0.00041280098957940936
1996,0.00043112566345371306
1997,0.0004429795662872493
1998,0.00045022295671515167
1999,0.00046356295933946967
2000,0.0004926725523546338
2001,0.0004974767798557878
2002,0.000519534049089998
2003,0.0005285593215376139
2004,0.000542668451089412
2005,0.0005528660258278251
2006,0.0005606961785815656
2007,0.0005826983833685517
2008,0.0006070866365917027
2009,0.0006605577073059976
2010,0.0006909100338816643
2011,0.0007228617323562503
2012,0.0006852606311440468
2013,0.000696211529430002
2014,0.000766824115999043
2015,0.0007502297521568835
2016,0.0007264946470968425
2017,0.0007488254923373461
2018,0.0007250079070217907
