,very
1800,0.0013156693894416094
1801,0.0014022638788446784
1802,0.0012649300042539835
1803,0.0011840573279187083
1804,0.0013535278849303722
1805,0.0012487700441852212
1806,0.001223320490680635
1807,0.0012645296519622207
1808,0.001229037530720234
1809,0.0013519711792469025
1810,0.0012198137119412422
1811,0.0012530597159639
1812,0.0012303994735702872
1813,0.0012561795301735401
1814,0.0012898249551653862
1815,0.0012221469078212976
1816,0.0011766132665798068
1817,0.0012467763153836131
1818,0.0012005140306428075
1819,0.0012012789957225323
1820,0.0012215409660711884
1821,0.0011615942930802703
1822,0.0011861183447763324
1823,0.0012290773447602987
1824,0.0012642474612221122
1825,0.0011769018601626158
1826,0.001158511615358293
1827,0.0011693009873852134
1828,0.0011563333682715893
1829,0.0011717700399458408
1830,0.0011799271451309323
1831,0.0011281733168289065
1832,0.000945732812397182
1833,0.0011594337411224842
1834,0.0011357031762599945
1835,0.0011571623617783189
1836,0.0011646023485809565
1837,0.00115821638610214
1838,0.0011985835153609514
1839,0.0011706914519891143
1840,0.0011597714619711041
1841,0.0011495803482830524
1842,0.001187406829558313
1843,0.0011391672305762768
1844,0.0011629413347691298
1845,0.0011525441659614444
1846,0.001114051672630012
1847,0.0011441928800195456
1848,0.001170571194961667
1849,0.0011310860281810164
1850,0.0011302975472062826
1851,0.001122025540098548
1852,0.0011747984681278467
1853,0.001172602642327547
1854,0.0011508821044117212
1855,0.0011505301808938384
1856,0.0011287449160590768
1857,0.0011460764799267054
1858,0.0011436440981924534
1859,0.001134361489675939
1860,0.001164782326668501
1861,0.0011702707270160317
1862,0.0012032246449962258
1863,0.0011581780854612589
1864,0.001165300840511918
1865,0.0011782855726778507
1866,0.0011654210975393653
1867,0.0011882175458595157
1868,0.0011810759315267205
1869,0.0012231331784278154
1870,0.0011748351389542222
1871,0.0011599655263125896
1872,0.0011566148605197668
1873,0.0011665381025522947
1874,0.0011724299984052777
1875,0.0011652525281533599
1876,0.0011635408736765385
1877,0.0011372637236490846
1878,0.0011730951955541968
1879,0.0011498980456963181
1880,0.0011449781013652682
1881,0.001104665221646428
1882,0.001152753015048802
1883,0.0011349220294505358
1884,0.0011222041212022305
1885,0.0011286740191280842
1886,0.0010888815158978105
1887,0.0010846208315342665
1888,0.0010762943420559168
1889,0.0010822935728356242
1890,0.0010765267070382833
1891,0.0010718386620283127
1892,0.0010748670902103186
1893,0.0010656494414433837
1894,0.0010673216311261058
1895,0.0010242125717923045
1896,0.0010388033697381616
1897,0.0010060800705105066
1898,0.0010183457052335143
1899,0.001026623765937984
1900,0.0010286400793120265
1901,0.0009741257526911795
1902,0.0010061239590868354
1903,0.0009924548212438822
1904,0.0009833864169195294
1905,0.0009588624234311283
1906,0.0009540884639136493
1907,0.0009363607387058437
1908,0.000944870465900749
1909,0.0009443684830330312
1910,0.0009172952268272638
1911,0.0009124324424192309
1912,0.0009045946062542498
1913,0.0008909414755180478
1914,0.0008859882946126163
1915,0.0008484241552650928
1916,0.0008631717064417899
1917,0.0008393095922656357
1918,0.0008491988992318511
1919,0.0008785397512838244
1920,0.0008918140665628016
1921,0.0008643418550491333
1922,0.0008738517062738538
1923,0.0008855392807163298
1924,0.0008847212302498519
1925,0.0008525250013917685
1926,0.0008582482114434242
1927,0.0008302481146529317
1928,0.0008384900283999741
1929,0.0008090616902336478
1930,0.0008180337608791888
