,good
1932,0.0004627942107617855
1933,0.00043743816786445677
1934,0.00044973893091082573
1935,0.00044346338836476207
1936,0.000444627134129405
1937,0.00044344665366224945
1938,0.00044034357415512204
1939,0.00042354624019935727
1940,0.0004283732851035893
1941,0.0004136117931921035
1942,0.0004363797779660672
1943,0.00042982606100849807
1944,0.0004538933571893722
1945,0.00044855361920781434
1946,0.00045119322021491826
1947,0.0004490410501603037
1948,0.0004488379054237157
1949,0.00042183033656328917
1950,0.00043906475184485316
1951,0.00043126402306370437
1952,0.00045438692905008793
1953,0.0004294698010198772
1954,0.0004235692322254181
1955,0.00042123827734030783
1956,0.0004183419805485755
1957,0.00040091900154948235
1958,0.0004051891155540943
1959,0.0003876423288602382
1960,0.0003831605426967144
1961,0.0003797152603510767
1962,0.0003755248908419162
1963,0.0003777421952690929
1964,0.0003658451314549893
1965,0.0003722660767380148
1966,0.00037105006049387157
1967,0.00036935097887180746
1968,0.0003776733938138932
1969,0.0003742216795217246
1970,0.0003587592509575188
1971,0.00034019682789221406
1972,0.0003343175631016493
1973,0.0003191478899680078
1974,0.00032332533737644553
1975,0.00031057262094691396
1976,0.0003087104414589703
1977,0.0003021783195436001
1978,0.0003021557058673352
1979,0.0003048190556000918
1980,0.0003021014854311943
1981,0.00029796111630275846
1982,0.00030124999466352165
1983,0.00030135721317492425
1984,0.00031688230228610337
1985,0.00030304634128697217
1986,0.0003100172325503081
1987,0.0003098866145592183
1988,0.0003123717033304274
1989,0.0003102183691225946
1990,0.0003121463814750314
1991,0.000313100463245064
1992,0.00031339761335402727
1993,0.00030868963222019374
1994,0.0003168437397107482
1995,0.0003206680412404239
1996,0.0003287506406195462
1997,0.00033701345091685653
1998,0.000347282737493515
1999,0.00035381707129999995
2000,0.00037567561957985163
2001,0.00037641270318999887
2002,0.0003834434028249234
2003,0.00040022333269007504
2004,0.00041341528412885964
2005,0.0004211863852106035
2006,0.00043312806519679725
2007,0.00043989281402900815
2008,0.00047159058158285916
2009,0.0004997975775040686
2010,0.000516135711222887
2011,0.0005265678628347814
2012,0.0004950528382323682
2013,0.000497711356729269
2014,0.0005450269673019648
2015,0.0005374433239921927
2016,0.0005077581736259162
2017,0.000547167204786092
2018,0.0005511826020665467
2019,0.0005545340827666223
