,up
1898,0.0008602297748439014
1899,0.000917253375519067
1900,0.0008776127942837775
1901,0.000844656431581825
1902,0.0008431363967247307
1903,0.0008406518027186394
1904,0.0008523014257661998
1905,0.0008285226067528129
1906,0.0008325351518578827
1907,0.0008366288966499269
1908,0.0008432545000687242
1909,0.0008444054983556271
1910,0.0008430036250501871
1911,0.0008385370019823313
1912,0.0008406180422753096
1913,0.0008377069025300443
1914,0.0008361173095181584
1915,0.0008121199789457023
1916,0.0008359470521099865
1917,0.0008352778968401253
1918,0.0008565981988795102
1919,0.0008758110925555229
1920,0.0008822695235721767
1921,0.0008529686601832509
1922,0.0008610407821834087
1923,0.0008455351926386356
1924,0.0008606903138570487
1925,0.0008316201856359839
1926,0.000825408089440316
1927,0.0008196737617254257
1928,0.0008316321182064712
1929,0.000823316047899425
1930,0.0008281366899609566
1931,0.0007936983602121472
1932,0.0008080927655100822
1933,0.0007870600675232708
1934,0.0008231429965235293
1935,0.000822276109829545
1936,0.000819928536657244
1937,0.0008016882347874343
1938,0.0007971037994138896
1939,0.0007854795549064875
1940,0.0007893653819337487
1941,0.0007821296458132565
1942,0.0008376881596632302
1943,0.0008483849233016372
1944,0.0008783068042248487
1945,0.0008629779913462698
1946,0.0008803927921690047
1947,0.0008632141398265958
1948,0.0008548990590497851
1949,0.0008036220679059625
1950,0.0008281889604404569
1951,0.0008598542772233486
1952,0.0008503377321176231
1953,0.0008316136663779616
1954,0.0008156592375598848
1955,0.0008268434903584421
1956,0.0008355268510058522
1957,0.000810525962151587
1958,0.0008172126254066825
1959,0.0007904923404566944
1960,0.0007842713384889066
1961,0.0007827084045857191
1962,0.0007763814064674079
1963,0.0007629132596775889
1964,0.0007593469927087426
1965,0.0007543015526607633
1966,0.0007597614894621074
1967,0.0007529309950768948
1968,0.0007590668392367661
1969,0.0007564530242234468
1970,0.0007494296878576279
1971,0.0007248268229886889
1972,0.0007244191947393119
1973,0.0007068371633067727
1974,0.0007166477735154331
1975,0.0006941138999536633
1976,0.000686225073877722
1977,0.0006819696282036602
1978,0.0006765106227248907
1979,0.0006771371699869633
1980,0.0006875926628708839
1981,0.0006853106315247715
1982,0.0006880790460854769
1983,0.0006985810468904674
1984,0.0007061955402605236
1985,0.0007116568158380687
1986,0.0007261871360242367
1987,0.0007255247910507023
1988,0.000737495836801827
1989,0.0007345227058976889
1990,0.0007386772194877267
1991,0.0007479863706976175
1992,0.0007510801660828292
1993,0.0007473308360204101
1994,0.0007608158048242331
1995,0.0007525850087404251
1996,0.0007762896129861474
1997,0.000794937601312995
1998,0.0008028939482755959
1999,0.0008216876303777099
2000,0.0008988241897895932
2001,0.0009101393516175449
2002,0.000927689194213599
2003,0.0009536396246403456
2004,0.000986387487500906
2005,0.001014758599922061
2006,0.0010285841999575496
2007,0.0010750418296083808
2008,0.001131238997913897
2009,0.001248148619197309
2010,0.0013270865892991424
2011,0.0014419648796319962
2012,0.001351334503851831
2013,0.0013367979554459453
2014,0.0015459501883015037
2015,0.001501798047684133
2016,0.0013994579203426838
2017,0.0015026547480374575
2018,0.0014249003725126386
2019,0.0014607047196477652
