,area
1988,0.00034448117366991937
1989,0.00033116061240434647
1990,0.0003470239753369242
1991,0.0003316227230243385
1992,0.00032967704464681447
1993,0.0003298090014141053
1994,0.000318798644002527
1995,0.00031854695407673717
1996,0.00031565577955916524
1997,0.0003111895057372749
1998,0.00030332658207044005
1999,0.00029325613286346197
2000,0.00028974880115129054
2001,0.0002818664943333715
2002,0.00027580728055909276
2003,0.0002747841936070472
2004,0.00026979995891451836
2005,0.0002646070788614452
2006,0.0002486619632691145
2007,0.00024125681375153363
2008,0.00022571113368030638
2009,0.00021484641183633357
2010,0.00021840017870999873
2011,0.0002104628802044317
2012,0.00021427401225082576
2013,0.00020512855553533882
2014,0.00018659404304344207
2015,0.0001825152721721679
2016,0.00019024139328394085
2017,0.00016645474534016103
2018,0.0001543391845189035
2019,0.00016550105647183955
