,real
1800,0.00013997174391988665
1801,0.00014522604760713875
1802,0.0001317295536864549
1803,0.0001195710792671889
1804,0.0001340815651929006
1805,0.0001303956232732162
1806,0.0001281202567042783
1807,0.00011826850095530972
1808,0.00011305631051072851
1809,0.00012082382454536855
1810,0.00011716242443071678
1811,0.00013401932665146887
1812,0.00012445004540495574
1813,0.00011594435636652634
1814,0.00012532064283732325
1815,0.0001244947052327916
1816,0.00011229196388740093
1817,0.00013104391109663993
1818,0.00013309750647749752
1819,0.0001294015091843903
1820,0.00011667964281514287
1821,0.0001200896076625213
1822,0.00012490844528656453
1823,0.00013733282685279846
1824,0.00013125647092238069
1825,0.0001259260025108233
1826,0.00012566486839205027
1827,0.00013451794802676886
1828,0.0001292880333494395
1829,0.00012681125372182578
1830,0.00012591398262884468
1831,0.00012871006038039923
1832,0.00013071100693196058
1833,0.0001245008024852723
1834,0.00012062436871929094
1835,0.00013937646872363985
1836,0.00012539995077531785
1837,0.00012669694842770696
1838,0.0001269719796255231
1839,0.00012251778389327228
1840,0.0001204680884256959
1841,0.00012407910253386945
1842,0.00011792826990131289
1843,0.00012651404540520161
1844,0.00012447309563867748
1845,0.00011881980753969401
1846,0.00013057744945399463
1847,0.0001275233953492716
1848,0.00012862628500442952
1849,0.00013225334987509996
1850,0.0001254650705959648
1851,0.00012972867989446968
1852,0.00012726360000669956
1853,0.00013254923396743834
1854,0.00012739421799778938
1855,0.0001273171219509095
1856,0.00012656186299864203
1857,0.00012785434955731034
1858,0.00012735070777125657
1859,0.0001325136690866202
1860,0.00012765091378241777
1861,0.00013293630036059767
1862,0.00013078840856906027
1863,0.0001328514626948163
1864,0.00012662782683037221
1865,0.00013016635784879327
1866,0.0001358414883725345
1867,0.00013406421930994838
1868,0.0001321727322647348
1869,0.00014063500566408038
1870,0.0001407351956004277
1871,0.00014522718265652657
1872,0.00014354396262206137
1873,0.00014435869525186718
1874,0.0001432756253052503
1875,0.00013779496657662094
1876,0.0001373058621538803
1877,0.00014221484889276326
1878,0.0001406831288477406
1879,0.00013948066043667495
1880,0.0001383654889650643
1881,0.00014324927178677171
1882,0.00013599454541690648
1883,0.00013811692770104855
1884,0.0001374542771372944
1885,0.0001384462957503274
1886,0.0001438659819541499
1887,0.00014693241973873228
1888,0.0001417904713889584
