,member
1902,0.00013864073844160885
1903,0.00014875885972287506
1904,0.00014837457274552435
1905,0.0001472701842430979
1906,0.00014297272718977183
1907,0.00015040446305647492
1908,0.00017169083002954721
1909,0.00016402847541030496
1910,0.00016568717546761036
1911,0.0001663991279201582
1912,0.00017022925021592528
1913,0.00018212356371805072
1914,0.00018419430125504732
1915,0.0001912194857141003
1916,0.0001905470562633127
1917,0.00018459830607753247
1918,0.0001890134153654799
1919,0.0001687513431534171
1920,0.00015913904644548893
1921,0.00016369682271033525
1922,0.00016971115837804973
1923,0.0001612818450666964
1924,0.00017216510605067015
1925,0.00016070433775894344
1926,0.00016329914797097445
1927,0.00017242635658476502
1928,0.00015977966540958732
1929,0.0001631558407098055
1930,0.00017080864927265793
1931,0.00016944277740549296
1932,0.0001773558178683743
1933,0.00019596549100242555
1934,0.0001861506752902642
1935,0.0001839612377807498
1936,0.00017981405835598707
1937,0.00017633607785683125
1938,0.00018141616601496935
1939,0.0001881135394796729
1940,0.00017875980120152235
1941,0.00018037203699350357
1942,0.00017835202743299305
1943,0.00019038718892261386
1944,0.0001941351220011711
1945,0.00019781230366788805
1946,0.00018976765568368137
1947,0.00019609722949098796
1948,0.00019667609012685716
1949,0.00021159443713258952
1950,0.0001997596409637481
1951,0.0002006617287406698
1952,0.00019955987227149308
1953,0.00020259179291315377
1954,0.00019815364794339985
1955,0.0002006577851716429
1956,0.00020258223230484873
1957,0.00019633329065982252
1958,0.00019010515825357288
1959,0.0002070729824481532
1960,0.00018885346071328968
1961,0.0001822633494157344
1962,0.00017425000260118395
1963,0.00017058047524187714
1964,0.00017984010628424585
1965,0.00017016407218761742
1966,0.0001778499427018687
1967,0.0001802914630388841
1968,0.00016171555034816265
1969,0.0001613834174349904
1970,0.0001552165049361065
1971,0.00016485877858940512
1972,0.0001575365022290498
1973,0.00015616428572684526
1974,0.0001524587714811787
1975,0.00015777320368215442
1976,0.00015325032291002572
1977,0.00015208822151180357
1978,0.00014255987480282784
1979,0.00014097412349656224
1980,0.00014080778055358678
1981,0.0001427948591299355
1982,0.0001383317867293954
1983,0.0001352688850602135
1984,0.00013046458479948342
1985,0.00013496547762770206
1986,0.00012813777721021324
1987,0.00013050383131485432
1988,0.00013402194599620998
1989,0.00014113281213212758
1990,0.00013551207666750997
1991,0.00013685092562809587
1992,0.00013567828864324838
1993,0.00013212279009167105
1994,0.0001323126198258251
1995,0.00013573307660408318
1996,0.0001295876718359068
1997,0.00013495885650627315
1998,0.00013227376621216536
1999,0.0001337497669737786
2000,0.00012496004637796432
2001,0.0001317285787081346
2002,0.00012222481018397957
2003,0.00011689534585457295
2004,0.00011172100494150072
2005,0.00011458776862127706
2006,0.00010936317994492128
2007,0.00010431545524625108
2008,0.00010115028999280185
2009,9.447473712498322e-05
2010,8.962905849330127e-05
2011,8.196107955882326e-05
2012,7.573285984108225e-05
2013,7.918354094726965e-05
2014,7.456395542249084e-05
2015,7.579628436360508e-05
2016,7.856208685552701e-05
2017,6.816130189690739e-05
2018,6.513115658890456e-05
2019,6.837162072770298e-05
