,air
1800,0.00021326534624677151
1801,0.00020148478506598622
1802,0.00021295239275787026
1803,0.00016936306201387197
1804,0.00019729827181436121
1805,0.00017371801368426532
1806,0.00020064350974280387
1807,0.00021497442503459752
1808,0.00016604714619461447
1809,0.00026603537844493985
1810,0.00018423581786919385
1811,0.00013570806186180562
1812,0.00010966396075673401
1813,0.00015110860113054514
1814,0.00013120906078256667
1815,0.00017463012773077935
1816,0.00012682373926509172
1817,0.0001408499083481729
1818,0.00015786993026267737
1819,0.00018401569104753435
1820,0.0001448747207177803
1821,0.00015863438602536917
1822,0.00018197968893218786
1823,0.0001724009052850306
1824,0.0001725213514873758
1825,0.00016242115816567093
1826,0.0001568493025843054
1827,0.000164114884682931
1828,0.0001528038119431585
1829,0.00017731792468111962
1830,0.00015731727762613446
1831,0.00016508254338987172
1832,0.00014343156362883747
1833,0.00015694675676058978
1834,0.00015992169210221618
1835,0.00017381184443365782
1836,0.00015559235180262476
1837,0.000146642021718435
1838,0.00016385302296839654
1839,0.00016211248293984681
1840,0.00016411120304837823
1841,0.00016498894547112286
1842,0.00019423055346123874
1843,0.0001558109506731853
1844,0.00015983243065420538
1845,0.00017300904437433928
1846,0.00016569536819588393
1847,0.00016347027849406004
1848,0.0001666185271460563
1849,0.00016990174481179565
1850,0.00017821909568738192
1851,0.0001649950136197731
1852,0.00017527391901239753
1853,0.0001646596792852506
1854,0.00017892266623675823
1855,0.00017696798022370785
1856,0.00017415093316230923
1857,0.00018228580302093178
1858,0.00017657199350651354
1859,0.0001743420580169186
1860,0.0001755040866555646
1861,0.0001664523151703179
1862,0.0001722648012218997
1863,0.00017260632012039423
1864,0.00017777566972654313
1865,0.00017313026182819158
1866,0.00017355603631585836
1867,0.0001789973466657102
1868,0.00017158238915726542
1869,0.00017182664305437356
1870,0.00017141072021331638
1871,0.00017747179663274437
1872,0.0001781489118002355
1873,0.00018470172653906047
1874,0.00017913783085532486
1875,0.00018219345656689256
1876,0.00018118898151442409
1877,0.0001710801589069888
1878,0.00018126201757695526
1879,0.0001785953063517809
1880,0.0001737673010211438
1881,0.00017866362759377807
1882,0.0001819117896957323
1883,0.00018264882965013385
1884,0.00017986960301641375
1885,0.00017745290824677795
1886,0.00016394583508372307
1887,0.0001646425953367725
1888,0.00016343971947208047
1889,0.00016593534382991493
1890,0.0001739334547892213
1891,0.0001688155607553199
1892,0.00017355666204821318
1893,0.00018172764976043254
1894,0.0001802057377062738
1895,0.00017172197112813592
1896,0.00018637905304785818
