,life
1800,0.0005065865116193891
1801,0.0004842650378122926
1802,0.000442865100922063
1803,0.00042325060348957777
1804,0.000548086129128933
1805,0.0004947704146616161
1806,0.0005309846601448953
1807,0.0004915870376862586
1808,0.0005374501342885196
1809,0.00048401017556898296
1810,0.0005380107322707772
1811,0.0005077247624285519
1812,0.00045805188710801303
1813,0.0004487384285312146
1814,0.0004512727609835565
1815,0.0005017903167754412
1816,0.0004951176815666258
1817,0.0004925007233396173
1818,0.000504357973113656
1819,0.000473151623737067
1820,0.0005253300769254565
1821,0.0005106154712848365
1822,0.0005156980478204787
1823,0.0005446088034659624
1824,0.0005253039416857064
1825,0.0005321867647580802
1826,0.0005101507995277643
1827,0.0005122171132825315
1828,0.000504577939864248
1829,0.000476429529953748
1830,0.000545308634173125
1831,0.0005309513071551919
1832,0.0003850626526400447
1833,0.0005133485537953675
1834,0.0004726193146780133
1835,0.0005271265981718898
1836,0.0004971974994987249
1837,0.000493205210659653
1838,0.0004930487484671175
1839,0.0005042776465415955
1840,0.0004983291146345437
1841,0.0004929023561999202
1842,0.0004997134092263877
1843,0.0005116567481309175
1844,0.0005440880195237696
1845,0.0004953168681822717
1846,0.0005177746643312275
1847,0.0005193735705688596
1848,0.0005210908711887896
1849,0.0005198857397772372
1850,0.0005417229840531945
1851,0.0004994612536393106
1852,0.0005127101321704686
1853,0.0005130341742187738
1854,0.0005291344132274389
1855,0.0005189654766581953
1856,0.0005314626614563167
1857,0.0005229132948443294
1858,0.0005093569052405655
1859,0.000527573109138757
1860,0.0005122024449519813
1861,0.0005035444628447294
1862,0.0005031355540268123
1863,0.0005128042539581656
1864,0.0005025884602218866
1865,0.0004972703754901886
1866,0.0005001085810363293
1867,0.0004997763899154961
1868,0.0004938532365486026
1869,0.00052274001063779
1870,0.0005101498099975288
1871,0.0005198361468501389
1872,0.0004936896148137748
1873,0.0005202913889661431
1874,0.0004922279040329158
1875,0.000495809712447226
1876,0.00048371957382187247
1877,0.0004760524316225201
1878,0.0004792721592821181
1879,0.0004789025988429785
1880,0.00049397541442886
1881,0.0005047215381637216
1882,0.000489179277792573
1883,0.0005132121732458472
1884,0.0004842883499804884
1885,0.0004817499138880521
1886,0.0004719501012004912
1887,0.0004837916640099138
1888,0.0004853099526371807
1889,0.0004825686337426305
1890,0.0004971728194504976
1891,0.0004921002546325326
1892,0.0004982511745765805
1893,0.00048655777936801314
1894,0.00048744489322416484
1895,0.000464598648250103
1896,0.0004844242939725518
1897,0.00047314699622802436
1898,0.00048542849253863096
1899,0.0005122183938510716
1900,0.0004934039898216724
1901,0.000468011072371155
1902,0.00047076024929992855
1903,0.0004643024003598839
1904,0.00047335628187283874
1905,0.00045376899652183056
1906,0.00043649025610648096
1907,0.000453530898084864
1908,0.00043575360905379057
1909,0.0004439492477104068
1910,0.00044193328358232975
1911,0.00041344654164277017
1912,0.000432414875831455
1913,0.0004149620945099741
1914,0.0004106147098354995
1915,0.00039587009814567864
1916,0.00039088947232812643
1917,0.00039246887899935246
1918,0.00038792454870417714
1919,0.00039155391277745366
1920,0.00039538825512863696
1921,0.00037443867768161
1922,0.0003914071712642908
1923,0.000405430153477937
1924,0.00040603705565445125
1925,0.00041138665983453393
1926,0.00041810559923760593
1927,0.00042649160604923964
1928,0.00040893410914577544
1929,0.0004210221813991666
1930,0.000406464037951082
1931,0.00039813490002416074
1932,0.00040473591070622206
1933,0.0003878050483763218
1934,0.0003989908436778933
1935,0.0003945215721614659
1936,0.00040143882506527007
1937,0.0003949308884330094
1938,0.0003823389415629208
1939,0.0003585597441997379
1940,0.00036577630089595914
1941,0.0003479223814792931
1942,0.00036858933162875473
1943,0.00034291407791897655
1944,0.00035998670500703156
1945,0.0003469537477940321
1946,0.0003612215514294803
1947,0.0003533899725880474
1948,0.0003575685550458729
1949,0.0003382560971658677
1950,0.0003600794880185276
1951,0.0003548255190253258
1952,0.00035162485437467694
1953,0.00035051864688284695
1954,0.0003463389293756336
1955,0.0003457260027062148
1956,0.0003584016812965274
1957,0.00034227786818519235
1958,0.00034610461443662643
1959,0.0003438516869209707
1960,0.00035319372545927763
1961,0.00035021358053199947
1962,0.0003531628171913326
1963,0.00034950481494888663
1964,0.0003478963044472039
1965,0.0003496081044431776
1966,0.000347341614542529
1967,0.00035505526466295123
1968,0.000367583183106035
1969,0.0003610244020819664
1970,0.00036405923310667276
1971,0.00034704169956967235
1972,0.0003469117800705135
1973,0.0003380672715138644
1974,0.0003351037157699466
1975,0.0003219570207875222
1976,0.00032158676185645163
1977,0.000323637475958094
1978,0.0003251513699069619
1979,0.00031945278169587255
1980,0.00032187820761464536
1981,0.00031916858279146254
1982,0.00032504109549336135
1983,0.00032343610655516386
1984,0.0003224129613954574
1985,0.00031905018840916455
1986,0.00032840261701494455
1987,0.0003329930768813938
1988,0.0003345445147715509
1989,0.00033615826396271586
1990,0.00033660425106063485
1991,0.0003414977400097996
1992,0.00034499753382988274
1993,0.0003510932729113847
1994,0.0003549646935425699
1995,0.00035506353015080094
1996,0.0003790586197283119
1997,0.000381179474061355
1998,0.0003989479155279696
1999,0.00040618254570290446
2000,0.0004256963438820094
2001,0.00042640994070097804
2002,0.00043966539669781923
2003,0.0004525190161075443
2004,0.0004727528430521488
2005,0.0004796172433998436
2006,0.0004929603892378509
2007,0.0004979073419235647
2008,0.0005236675497144461
2009,0.0005577058182097971
2010,0.0005616096896119416
2011,0.0005725102382712066
2012,0.0005374896572902799
2013,0.00055082788458094
2014,0.0005917295929975808
2015,0.0005965572781860828
2016,0.0005795757169835269
2017,0.0005872059846296906
2018,0.0005925758741796017
2019,0.0006012934609316289
