,like
1800,0.0005682763294316828
1801,0.0005387779674492776
1802,0.0004237852699588984
1803,0.0004556864150799811
1804,0.00047477049520239234
1805,0.0004753975081257522
1806,0.0005038421950303018
1807,0.0005103755393065512
1808,0.0005380754009820521
1809,0.0005212333635427058
1810,0.0005173327517695725
1811,0.00048469871398992836
1812,0.0004174449422862381
1813,0.00043407775228843093
1814,0.00043280189856886864
1815,0.00045407610014081
1816,0.0004414742288645357
1817,0.0004472884756978601
1818,0.0004669431655202061
1819,0.0004938745405524969
1820,0.0005055142100900412
1821,0.0005451235920190811
1822,0.0005575056420639157
1823,0.0005396552733145654
1824,0.0005364660173654556
1825,0.0005320435157045722
1826,0.0005198356811888516
1827,0.000516847416292876
1828,0.0005106856115162373
1829,0.0005152719677425921
1830,0.0005195819539949298
1831,0.0005230235983617604
1832,0.0004432149580679834
1833,0.0005420065717771649
1834,0.0005296551389619708
1835,0.0005374960019253194
1836,0.0005241815815679729
1837,0.0005213919212110341
1838,0.0005245048087090254
1839,0.0005411023157648742
1840,0.0005288373795337975
1841,0.000547547999303788
1842,0.0005542467697523534
1843,0.0005405388073995709
1844,0.0005468727904371917
1845,0.0005494818324223161
1846,0.0005423644324764609
1847,0.000546536932233721
1848,0.0005502685089595616
1849,0.00054814392933622
1850,0.0005737211322411895
1851,0.0005524289445020258
1852,0.0005628145881928504
1853,0.0005628772196359932
1854,0.0005723733920603991
1855,0.0005682698101736605
1856,0.0005804576794616878
1857,0.0005779382772743702
1858,0.0005555498646572232
1859,0.0005639285081997514
1860,0.0005694241845048964
1861,0.0005546511383727193
1862,0.0005811792798340321
1863,0.000563955691177398
1864,0.0005752911674790084
1865,0.0005785131943412125
1866,0.0005728663527406752
1867,0.0005627036443911493
1868,0.0005686444928869605
1869,0.0005915775545872748
1870,0.000575056008528918
1871,0.0005869364249520004
1872,0.0005630865343846381
1873,0.0005867212894372642
1874,0.0005709972465410829
1875,0.000570173840969801
1876,0.0005647395737469196
1877,0.0005395106272771955
1878,0.0005486568552441895
1879,0.0005416077328845859
1880,0.0005584897589869797
1881,0.0005448381416499615
1882,0.0005464421701617539
1883,0.0005635885754600167
1884,0.0005333377630449831
1885,0.0005376211483962834
1886,0.0005101396236568689
1887,0.0005231956602074206
1888,0.0005272013368085027
1889,0.0005183324101381004
1890,0.0005267458036541939
1891,0.000515454972628504
1892,0.0005371136940084398
1893,0.0005195841658860445
1894,0.0005208475631661713
1895,0.0005050364998169243
1896,0.0005199560546316206
1897,0.0004969444707967341
1898,0.0005031055770814419
1899,0.0005476059159263968
1900,0.0005258718156255782
1901,0.0004948982386849821
1902,0.0004797550500370562
1903,0.0004752270760945976
1904,0.0004837391315959394
1905,0.0004569982993416488
1906,0.00046203803503885865
1907,0.00044836406596004963
1908,0.0004414958821143955
1909,0.0004496531910263002
1910,0.0004481703508645296
1911,0.00042801458039321005
1912,0.00042807229328900576
1913,0.00041529195732437074
1914,0.00040865212213248014
1915,0.0003869245119858533
1916,0.0004001033375971019
1917,0.0003972959239035845
1918,0.0003926628560293466
1919,0.00040682617691345513
1920,0.0004163573030382395
1921,0.0004044880042783916
1922,0.00041899795178323984
1923,0.00043815624667331576
1924,0.00044956980855204165
1925,0.00044836680172011256
1926,0.0004452015564311296
1927,0.00044518677168525755
1928,0.0004355153942015022
1929,0.00044137760414741933
1930,0.0004328583599999547
1931,0.00042091243085451424
1932,0.00042392010800540447
1933,0.0004089862632099539
1934,0.0004334402037784457
1935,0.00043708374141715467
1936,0.00042705584201030433
1937,0.0004255020176060498
1938,0.0004156373324804008
1939,0.00040904831257648766
1940,0.00040118483593687415
1941,0.0003904724435415119
1942,0.0004198649839963764
1943,0.0004225216107442975
1944,0.00044050649739801884
1945,0.0004367146466393024
1946,0.00044969117152504623
1947,0.0004560090019367635
1948,0.00044920379878021777
1949,0.0004236350650899112
1950,0.00043594534508883953
1951,0.0004483279772102833
1952,0.0004582800029311329
1953,0.00044733277172781527
1954,0.00044072174932807684
1955,0.0004501755756791681
1956,0.0004558468936011195
1957,0.0004438014584593475
1958,0.00044787555816583335
1959,0.00043159560300409794
1960,0.0004284880997147411
1961,0.00042946773464791477
1962,0.00043547700624912977
1963,0.0004295432008802891
1964,0.0004266435862518847
1965,0.0004351926618255675
1966,0.0004413919523358345
1967,0.00044339895248413086
1968,0.00044720774167217314
1969,0.000446462508989498
1970,0.0004442919744178653
1971,0.00042286800453439355
1972,0.0004262592119630426
1973,0.0004189134342595935
1974,0.000425520702265203
1975,0.0004119360528420657
1976,0.0004083197854924947
1977,0.00041306071216240525
1978,0.00041088066063821316
1979,0.00040756227099336684
1980,0.00041651533683761954
1981,0.0004141641838941723
1982,0.00042376123019494116
1983,0.00042823029798455536
1984,0.0004427210951689631
1985,0.000431202061008662
1986,0.00045336762559600174
1987,0.00045590155059471726
1988,0.00046635366743430495
1989,0.00046880252193659544
1990,0.0004750136286020279
1991,0.00048324247472919524
1992,0.00048576624249108136
1993,0.00048379276995547116
1994,0.0004985089180991054
1995,0.0004946300759911537
1996,0.0005221308674663305
1997,0.0005345548852346838
1998,0.0005444107810035348
1999,0.0005628252984024584
2000,0.000619532831478864
2001,0.0006233478197827935
2002,0.0006465567275881767
2003,0.0006646020337939262
2004,0.0006930576637387276
2005,0.000713293207809329
2006,0.0007301857112906873
2007,0.0007665706216357648
2008,0.0008098009275272489
2009,0.0009017456322908401
2010,0.0009429685887880623
2011,0.001024175202473998
2012,0.0009561761980876327
2013,0.0009619906195439398
2014,0.0011124969460070133
2015,0.0010889747645705938
2016,0.0010287114419043064
2017,0.0010938652558252215
2018,0.0010499523486942053
2019,0.0011070412583649158
