,d
1883,0.00010172423208132386
1884,9.685302939033136e-05
1885,9.640851203585044e-05
1886,8.793627057457343e-05
1887,0.00010473933798493817
1888,0.00011831559822894633
1889,9.46563741308637e-05
1890,9.269035217585042e-05
1891,9.933411638485268e-05
1892,8.695117867318913e-05
1893,9.491598029853776e-05
1894,9.143960778601468e-05
1895,8.843057730700821e-05
1896,9.170758130494505e-05
1897,9.834978845901787e-05
1898,9.536333527648821e-05
1899,9.912202222039923e-05
1900,9.98614850686863e-05
1901,9.57480224315077e-05
1902,9.7376097983215e-05
1903,0.00010533933527767658
1904,9.775783837540075e-05
1905,0.00010357925930293277
1906,9.734587365528569e-05
1907,0.00010089088755194098
1908,0.00010096269397763535
1909,0.0001002321150735952
1910,0.00010229596955468878
1911,0.00010718603880377486
1912,0.00010688733891583979
1913,0.00010304456372978166
1914,9.430762293050066e-05
1915,9.365240839542821e-05
1916,9.332426270702854e-05
1917,9.051845700014383e-05
1918,9.279911319026724e-05
1919,9.139263420365751e-05
1920,9.562153718434274e-05
1921,0.00010127590940101072
1922,0.00010010717232944444
1923,0.0001039136914187111
1924,0.00010386626672698185
1925,0.00010495440801605582
1926,0.00010688919428503141
1927,0.00011250950046814978
1928,0.00010377158469054848
1929,0.00010561269300524145
1930,0.0001088737408281304
1931,0.00010870472033275291
1932,0.00011371915752533823
1933,0.00011433389590820298
1934,0.00011603059829212725
1935,0.00011110098421340808
1936,0.0001248768239747733
1937,0.00011620964505709708
1938,0.00011967337195528671
1939,0.0001283080200664699
1940,0.00012706172128673643
1941,0.00013318473065737635
1942,0.00012525416968856007
1943,0.00012967141810804605
1944,0.00013033962750341743
1945,0.0001324311160715297
1946,0.00013271969510242343
1947,0.00012874091044068336
1948,0.00012607059034053236
1949,0.00013334777031559497
1950,0.0001284944883082062
1951,0.0001358166482532397
1952,0.00013306891196407378
1953,0.00013513877638615668
1954,0.00016187348228413612
1955,0.000137457755045034
1956,0.00013391040556598455
1957,0.0001421286433469504
1958,0.00014210576773621142
1959,0.00014454731717705727
1960,0.0001397183077642694
1961,0.0001454313169233501
1962,0.00014717587328050286
1963,0.00014759859186597168
1964,0.00015497776621486992
1965,0.000153104672790505
1966,0.0001507045526523143
1967,0.00014697242295369506
1968,0.00014746077067684382
1969,0.00014978385297581553
1970,0.00014925604045856744
1971,0.00015284275286830962
1972,0.0001544043334433809
1973,0.00015568234084639698
1974,0.00016239994147326797
1975,0.0001671405043452978
1976,0.00016928811965044588
1977,0.00017353279690723866
1978,0.00017287585069425404
1979,0.00017293248674832284
1980,0.0001762090832926333
1981,0.00017723016208037734
1982,0.00017738142923917621
1983,0.00017843434761743993
1984,0.00017267520888708532
1985,0.00017907092114910483
1986,0.00017721702170092613
1987,0.00018243708473164588
1988,0.00018056234694086015
1989,0.0001784006308298558
1990,0.00018132803961634636
1991,0.00017472024774178863
1992,0.00017375526658724993
1993,0.0001658277615206316
1994,0.00017463976109866053
1995,0.00019414201960898936
1996,0.00018060086586046964
1997,0.0001781500322977081
1998,0.00017198103887494653
1999,0.00017388351261615753
2000,0.00017015494813676924
2001,0.00018044663011096418
2002,0.00017233328253496438
2003,0.0001635108928894624
2004,0.00016039679758250713
2005,0.00016639201203361154
2006,0.00016172950563486665
2007,0.00015924566832836717
2008,0.00015985874051693827
2009,0.00015930029621813446
2010,0.00015809385513421148
2011,0.00016123289242386818
2012,0.0001585301070008427
2013,0.00014958943938836455
2014,0.00015630287816748023
2015,0.00015386469021905214
2016,0.0001552199973957613
2017,0.0001640605623833835
2018,0.0001556496717967093
2019,0.00016708532348275185
