,room
1800,0.00014837298658676445
1801,0.00010243958968203515
1802,0.00010802798351505771
1803,9.367947495775297e-05
1804,0.00010072937584482133
1805,9.26009815884754e-05
1806,0.00010967555135721341
1807,9.225972462445498e-05
1808,0.00011145487951580435
1809,0.00010833404667209834
1810,0.00010225625010207295
1811,0.00010267813195241615
1812,9.066431812243536e-05
1813,0.00011438522778917104
1814,9.940761810867116e-05
1815,0.00010576995555311441
1816,0.00011526430898811668
1817,0.00011059966345783323
1818,0.0001137911676778458
1819,0.00011044908023905009
1820,0.00017587885668035597
1821,0.00016245050937868655
1822,0.0001207495661219582
1823,0.00012691598385572433
1824,0.0001286243204958737
1825,0.00012462204904295504
1826,0.00012841007264796644
1827,0.00012464416795410216
1828,0.00011813018500106409
1829,0.00011730366531992331
1830,0.00011546770110726357
1831,0.00012124959175707772
1832,0.00010595857020234689
1833,0.00013156306522432715
1834,0.00012371702177915722
1835,0.00013209099415689707
1836,0.00012422043073456734
1837,0.00013167101133149117
1838,0.0001368823868688196
1839,0.00013829376257490367
1840,0.00013645811122842133
1841,0.00014294186257757246
1842,0.00015282948152162135
1843,0.0001396468869643286
1844,0.00013803048932459205
1845,0.00013019132893532515
1846,0.000133410983835347
1847,0.00013441499322652817
1848,0.0001445250672986731
1849,0.00013598331133835018
1850,0.00015184165386017412
1851,0.00013780183508060873
1852,0.0001526480191387236
1853,0.00015083876496646553
1854,0.00014679867308586836
1855,0.00014827479026280344
1856,0.00014636560808867216
1857,0.00015985612117219716
1858,0.00015023790183477104
1859,0.0001554452901473269
1860,0.00015715906920377165
1861,0.0001528015563962981
1862,0.00016955095634330064
1863,0.00015860266285017133
1864,0.0001656410313444212
1865,0.00016335460531990975
1866,0.00016234579379670322
1867,0.0001686926552793011
1868,0.0001707031624391675
1869,0.00017814467719290406
1870,0.00016993792087305337
1871,0.00016322908049914986
1872,0.00016875907022040337
1873,0.00017006650159601122
1874,0.00016648363089188933
1875,0.0001671288046054542
1876,0.0001628436439204961
1877,0.00015846030146349221
1878,0.00015752750914543867
1879,0.0001653854560572654
1880,0.00015983260527718812
1881,0.000161484262207523
1882,0.0001656772510614246
1883,0.00016656082880217582
1884,0.0001638690591789782
1885,0.0001635847584111616
1886,0.00015896611148491502
1887,0.0001619666873011738
1888,0.00015676194743718952
1889,0.00016228768799919635
1890,0.00016452018462587148
1891,0.00016608422447461635
1892,0.00017052861221600324
1893,0.00017235091945622116
1894,0.00017034726624842733
1895,0.00016656516527291387
1896,0.0001745917834341526
1897,0.0001661360583966598
1898,0.00016984209651127458
1899,0.00019062425417359918
1900,0.00018746811838354915
1901,0.0001768078946042806
1902,0.00016950962890405208
1903,0.00017163294251076877
1904,0.00017197175475303084
1905,0.00016614343621768057
1906,0.00016867111844476312
1907,0.00016429857350885868
1908,0.0001675877720117569
1909,0.00016494750161655247
1910,0.0001646336750127375
1911,0.00016887574747670442
1912,0.00016811073874123394
1913,0.0001675857783993706
1914,0.0001684060407569632
1915,0.00016509155102539808
1916,0.00015800287656020373
1917,0.00015188356337603182
1918,0.00014813645975664258
1919,0.00015158296446315944
1920,0.00015426961181219667
1921,0.00014781371282879263
1922,0.00015563389752060175
1923,0.00015726410492789
1924,0.00015675320173613727
1925,0.0001574957714183256
1926,0.0001526683772681281
1927,0.0001520049263490364
1928,0.0001514180185040459
1929,0.0001591117470525205
1930,0.00015661909128539264
1931,0.00015183301002252847
1932,0.0001484801177866757
1933,0.00013750565994996578
1934,0.00013883830979466438
1935,0.00013823069457430393
1936,0.00014206345076672733
1937,0.00014426311827264726
1938,0.00014384200039785355
1939,0.00013896293239668012
1940,0.00013825220230501145
1941,0.00013168870646040887
1942,0.00013355896226130426
1943,0.00012540729949250817
1944,0.00013480044435709715
1945,0.0001292825909331441
1946,0.0001419840264134109
1947,0.00013313723320607096
1948,0.00013581443636212498
1949,0.00013002383639104664
1950,0.0001299330178881064
1951,0.00013096939073875546
1952,0.00013440493785310537
1953,0.00012982213229406625
1954,0.00013140322698745877
1955,0.00012682053784374148
1956,0.0001240916462847963
1957,0.00012217098264954984
1958,0.00012099868035875261
1959,0.00011533824726939201
1960,0.00011954898945987225
1961,0.00011630987864919007
1962,0.0001135763232014142
1963,0.00010968327114824206
1964,0.00010904741793638095
1965,0.00010839007882168517
1966,0.00010581947572063655
1967,0.00010547715646680444
1968,0.00010779951117001474
1969,0.00010448157991049811
1970,0.00010589000157779083
1971,0.00010004242358263582
1972,0.00010527666745474562
1973,9.747216245159507e-05
1974,9.619045886211097e-05
1975,9.589862747816369e-05
1976,9.737434447742999e-05
1977,9.643138764658943e-05
1978,9.807820606511086e-05
1979,9.935552952811122e-05
1980,0.00010153781477129087
1981,0.00010457551979925483
1982,0.00010588781151454896
1983,0.00011357224866515025
1984,0.00010784743062686175
1985,0.00010770996595965698
1986,0.00011017170618288219
1987,0.00011312082642689347
1988,0.00011462440306786448
1989,0.00011448762961663306
1990,0.000116282761155162
1991,0.00011806771362898871
1992,0.00011822997475974262
1993,0.00012470403453335166
1994,0.00012143958156229928
1995,0.00012053261889377609
1996,0.00012542522745206952
1997,0.00013295178359840065
1998,0.00013147841673344374
1999,0.0001346370263490826
2000,0.0001573457702761516
2001,0.00015857553808018565
2002,0.00015985622303560376
2003,0.00016794020484667271
2004,0.00017753678548615426
2005,0.00018146037473343313
2006,0.00018440843268763274
2007,0.00019450379477348179
2008,0.00021207804093137383
2009,0.00023784181394148618
2010,0.0002524316660128534
2011,0.00028370280051603913
2012,0.0002694857830647379
2013,0.0002625953929964453
2014,0.00031600563670508564
2015,0.00030269744456745684
2016,0.00027822027914226055
2017,0.0003105365904048085
2018,0.0002960988786071539
2019,0.00030067915213294327
