,case
1800,0.00025813281536102295
1801,0.0002605060290079564
1802,0.000292690732749179
1803,0.00028186256531625986
1804,0.00029971133335493505
1805,0.0003185088571626693
1806,0.00032787187956273556
1807,0.0003256681375205517
1808,0.0003707285795826465
1809,0.0004244136216584593
1810,0.00034471225808374584
1811,0.00047746271593496203
1812,0.0004612725169863552
1813,0.00040130713023245335
1814,0.00039935155655257404
1815,0.0004006188246421516
1816,0.0005030312458984554
1817,0.00048690297990106046
1818,0.0004440797492861748
1819,0.00045011373003944755
1820,0.0004468835541047156
1821,0.0004543749091681093
1822,0.00042900751577690244
1823,0.00045826961286365986
1824,0.00044611271005123854
1825,0.00041096218046732247
1826,0.0005036692600697279
1827,0.0004858084430452436
1828,0.0004624699067790061
1829,0.0004524390969891101
1830,0.0004777301801368594
1831,0.000472773564979434
1832,0.0008407625136896968
1833,0.00046713300980627537
1834,0.0004987462307326496
1835,0.00047766309580765665
1836,0.0005030558677390218
1837,0.0005025718710385263
1838,0.0005061161937192082
1839,0.000510222336743027
1840,0.0005048125167377293
1841,0.0004921041545458138
1842,0.0004916619509458542
1843,0.0005518192774616182
1844,0.0005163712194189429
1845,0.0005275110597722232
1846,0.0005466191214509308
1847,0.0005345806712284684
1848,0.0005142071167938411
1849,0.0005303250509314239
1850,0.0005087775061838329
1851,0.0005449047312140465
1852,0.0005458572995848954
1853,0.0005616378039121628
1854,0.0005215505370870233
1855,0.0005414422485046089
1856,0.000531736935954541
1857,0.0005340107600204647
1858,0.000554896832909435
1859,0.0005277046584524214
1860,0.0005324211670085788
1861,0.0005358834750950336
1862,0.000535718456376344
1863,0.0005424416740424931
1864,0.0005655443528667092
1865,0.0005434976192191243
1866,0.0005583422025665641
1867,0.0005558228585869074
1868,0.0005786243127658963
1869,0.0005646523204632103
1870,0.0006067781359888613
1871,0.000603392836637795
1872,0.0006297085783444345
1873,0.0006121665355749428
1874,0.0006154494476504624
1875,0.0006124596111476421
1876,0.0006093348492868245
1877,0.0006456829723902047
1878,0.0006513596745207906
1879,0.0006318413070403039
1880,0.0006087949150241911
1881,0.0006178540643304586
1882,0.0006650278810411692
1883,0.0006492772954516113
1884,0.0006750326720066369
1885,0.0006541788461618125
1886,0.0007213677745312452
1887,0.0007009911350905895
1888,0.0006752703338861465
1889,0.0006464644684456289
1890,0.0006555720465257764
1891,0.0006452072993852198
1892,0.0006611906574107707
1893,0.0006519018788821995
1894,0.0006811393541283906
1895,0.000689430336933583
1896,0.0006676838384009898
1897,0.0006564681534655392
1898,0.0006704432889819145
1899,0.0006130762048996985
1900,0.0006290374440141022
1901,0.0006712242029607296
1902,0.000654652074445039
1903,0.0006715891067869961
1904,0.0006685389671474695
1905,0.0006878353888168931
1906,0.0007203213754110038
1907,0.0006852715741842985
1908,0.0006944424821995199
1909,0.0006871962104924023
1910,0.0006943708285689354
1911,0.0007007202366366982
1912,0.0007225530571304262
1913,0.0006860194844193757
1914,0.000709313724655658
1915,0.000716173613909632
1916,0.0006929093506187201
1917,0.0006678982172161341
1918,0.000663436425384134
1919,0.0006282550166361034
1920,0.0006410876521840692
1921,0.0006503730546683073
1922,0.0006535781431011856
1923,0.0006057872669771314
1924,0.0006071319803595543
1925,0.000578604987822473
1926,0.0006004779716022313
1927,0.000545484246686101
1928,0.000545904622413218
1929,0.0005401801900006831
1930,0.0005502605345100164
1931,0.0005510656046681106
1932,0.0005567043554037809
1933,0.0005512484931387007
1934,0.0005538105615414679
1935,0.0005453804624266922
1936,0.0005540157435461879
1937,0.0005322003271430731
1938,0.0005415662308223546
1939,0.0005554951494559646
1940,0.0005491019692271948
1941,0.0005252821138128638
1942,0.0005033958004787564
1943,0.0005054462817497551
1944,0.000487618992337957
1945,0.00048283921205438673
1946,0.00048130686627700925
1947,0.000487945246277377
1948,0.0004966220585629344
1949,0.00048754544695839286
1950,0.0004943017847836018
1951,0.00048138838610611856
1952,0.0004965790431015193
1953,0.0004901232896372676
1954,0.00048638397129252553
1955,0.0004871842102147639
1956,0.0004786586796399206
1957,0.0004823158378712833
1958,0.00048638987937010825
1959,0.0004832769918721169
1960,0.0004819042806047946
1961,0.00047719074063934386
1962,0.0004783152253367007
1963,0.0004648649482987821
1964,0.00047168671153485775
1965,0.00045113437226973474
1966,0.00046119693433865905
1967,0.00044364132918417454
1968,0.0004546373966149986
1969,0.000445193552877754
