,control
1896,8.04018709459342e-05
1897,8.464955317322165e-05
1898,8.55232501635328e-05
1899,8.437830547336489e-05
1900,9.260852675652131e-05
1901,9.560268517816439e-05
1902,9.622033394407481e-05
1903,9.670091822044924e-05
1904,9.68093445408158e-05
1905,0.00010367966024205089
1906,0.00010781944001791999
1907,0.00010863014176720753
1908,0.00011392908345442265
1909,0.00011391579027986154
1910,0.00011702140182023868
1911,0.00012013749073958024
1912,0.00013128154387231916
1913,0.00013625845895148814
1914,0.00013697874965146184
1915,0.00014335896412376314
1916,0.00014972090139053762
1917,0.00016125290130730718
1918,0.00018567097140476108
1919,0.00020222296006977558
1920,0.00018390656623523682
1921,0.00017749713151715696
1922,0.00017876170750241727
1923,0.00018225763051304966
1924,0.00018536164134275168
1925,0.00018665389507077634
1926,0.0001818579330574721
1927,0.00019359194266144186
1928,0.0001980193192139268
1929,0.00019462684576865286
1930,0.00020766511443071067
1931,0.00020577918621711433
1932,0.0002174473338527605
1933,0.00022819226433057338
1934,0.00023812524159438908
1935,0.00023594763479195535
1936,0.0002376797638135031
1937,0.0002558665000833571
1938,0.0002529103367123753
1939,0.0002577293198555708
1940,0.00026878388598561287
1941,0.0002784619282465428
1942,0.000284658744931221
1943,0.0002894980425480753
1944,0.0003158693725708872
1945,0.0003108426171820611
1946,0.00030591784161515534
1947,0.00031074468279257417
1948,0.0003081168688368052
1949,0.0003045074117835611
1950,0.0003046460042241961
1951,0.0003084806667175144
1952,0.00029781783814541996
1953,0.00029894732870161533
1954,0.00029833015287294984
1955,0.00031071319244802
1956,0.0003109878452960402
1957,0.00031234632479026914
1958,0.0003101029433310032
1959,0.00032351689878851175
1960,0.0003245848056394607
1961,0.00031394691905006766
1962,0.00032488693250343204
1963,0.00030971714295446873
1964,0.00032032825401984155
1965,0.00031499649048782885
1966,0.0003250406589359045
1967,0.00032226406619884074
1968,0.0003179536433890462
1969,0.00031747191678732634
1970,0.00032993347849696875
1971,0.0003445663314778358
1972,0.0003517387085594237
1973,0.0003547248779796064
1974,0.00035270792432129383
1975,0.00035277687129564583
1976,0.00036129375803284347
1977,0.0003608869737945497
1978,0.0003648477722890675
1979,0.0003651826991699636
1980,0.00035792385460808873
1981,0.0003582622448448092
1982,0.0003586293023545295
1983,0.00035962238325737417
1984,0.00035397338797338307
1985,0.000359076278982684
1986,0.0003574502479750663
1987,0.0003580414631869644
1988,0.00034991870052181184
1989,0.00033856407389976084
1990,0.00034519581822678447
1991,0.00034429397783242166
1992,0.0003378363326191902
1993,0.0003266984422225505
1994,0.000328857044223696
1995,0.0003281534882262349
1996,0.0003116372099611908
1997,0.0003124687646050006
1998,0.000306636153254658
1999,0.0002964262675959617
2000,0.00028987578116357327
2001,0.0002827999705914408
2002,0.00029234762769192457
2003,0.0002829204604495317
2004,0.00027452391805127263
2005,0.000273157813353464
2006,0.0002658103476278484
2007,0.00026150484336540103
2008,0.00025131209986284375
2009,0.00025010856916196644
2010,0.0002487964811734855
2011,0.0002489643811713904
2012,0.0002694549912121147
2013,0.0002612181124277413
2014,0.00023630978830624372
2015,0.0002267901145387441
2016,0.0002401194942649454
2017,0.00021955785632599145
2018,0.00021154967544134706
2019,0.0002177672431571409
