,also
1899,0.0007259731646627188
1900,0.0007424182258546352
1901,0.0007580742822028697
1902,0.0007677816320210695
1903,0.0007686901371926069
1904,0.0007655731169506907
1905,0.0007838956662453711
1906,0.0007828749367035925
1907,0.0007852413691580296
1908,0.0007896871538832784
1909,0.0007745707989670336
1910,0.0007878065807744861
1911,0.00079875229857862
1912,0.0007752645178698003
1913,0.0007862917263992131
1914,0.0007871481357142329
1915,0.0007741520530544221
1916,0.0007722110603936017
1917,0.0007634351495653391
1918,0.0007685730815865099
1919,0.0007594743510708213
1920,0.0007733734091743827
1921,0.0007708595367148519
1922,0.0007898937910795212
1923,0.000774401007220149
1924,0.0007726604235358536
1925,0.0007808048976585269
1926,0.0007913575973361731
1927,0.0007855793810449541
1928,0.0007892008870840073
1929,0.0007815882563591003
1930,0.0007887787069194019
1931,0.0007852669805288315
1932,0.0007874660077504814
1933,0.0007929567946121097
1934,0.0007941971998661757
1935,0.000778035435359925
1936,0.0007812663679942489
1937,0.0007986375712789595
1938,0.0008138543926179409
1939,0.0007904834346845746
1940,0.00079663674114272
1941,0.0007979595102369785
1942,0.0008012805483303964
1943,0.0007982506067492068
1944,0.0007928227423690259
1945,0.000794891850091517
1946,0.0008161556906998158
1947,0.0008341122884303331
1948,0.0008321836940012872
1949,0.0008419790538027883
1950,0.0008631955133751035
1951,0.0008617694838903844
1952,0.0008761427015997469
1953,0.0008798806229606271
1954,0.0008960006525740027
1955,0.0008965166634880006
1956,0.0009223691886290908
1957,0.0009118396556004882
1958,0.0009418735280632973
1959,0.0009352670167572796
1960,0.0009558264864608645
1961,0.0009536673896946013
1962,0.0009767278097569942
1963,0.0009728508302941918
1964,0.0009924713522195816
1965,0.0009740411187522113
1966,0.0009808334289118648
1967,0.0009706207783892751
1968,0.0009763770503923297
1969,0.0009762526606209576
1970,0.0009731618338264525
1971,0.0009811214404180646
1972,0.001002989592961967
1973,0.0009902240708470345
1974,0.001008660183288157
1975,0.0010105918627232313
1976,0.0010108199203386903
1977,0.0010143702384084463
1978,0.001019175979308784
1979,0.001021888107061386
1980,0.0010508823907002807
1981,0.0010392040712758899
1982,0.0010461803758516908
1983,0.0010528021957725286
1984,0.0010561832459643483
1985,0.0010603794362396002
1986,0.0010790219530463219
1987,0.0010732284281402826
1988,0.0010894295992329717
1989,0.0010740034049376845
1990,0.001095786690711975
1991,0.0010968736605718732
1992,0.0011051340261474252
1993,0.0010921548819169402
1994,0.001106215757317841
1995,0.0010890759294852614
1996,0.0011235791025683284
1997,0.001126995892263949
1998,0.0011439538793638349
1999,0.0011445379350334406
2000,0.0011393908644095063
2001,0.0011390006402507424
2002,0.0011601789155974984
2003,0.0011586879845708609
2004,0.0011665691854432225
2005,0.0011726920492947102
2006,0.001160303014330566
2007,0.0011537846876308322
2008,0.0011099472176283598
2009,0.0010930040152743459
2010,0.0010933470912277699
2011,0.0010580479865893722
2012,0.0010754027171060443
2013,0.0010977921774610877
2014,0.0010245630983263254
2015,0.0010622581467032433
2016,0.0011225845664739609
2017,0.0010234741494059563
2018,0.0009862460428848863
2019,0.001067740609869361
