,hours
1800,0.00011360526696080342
1801,0.00010369122901465744
1802,9.907891944749281e-05
1803,9.267665882362053e-05
1804,9.704344120109454e-05
1805,9.887020860332996e-05
1806,0.0001015084853861481
1807,9.71095432760194e-05
1808,9.317747753812e-05
1809,0.00010165931598749012
1810,9.419536945642903e-05
1811,8.67266280693002e-05
1812,7.548942812718451e-05
1813,8.912647172110155e-05
1814,8.912706834962592e-05
1815,9.810861956793815e-05
1816,8.945282752392814e-05
1817,9.768834570422769e-05
1818,9.770254837349057e-05
1819,0.00010088967246701941
1820,0.00010026420204667374
1821,0.00010415335418656468
1822,0.00010317137639503926
1823,0.00010270117491018027
1824,9.964188939193264e-05
1825,0.00010187655425397679
1826,0.00010001609189203009
1827,0.0001077647611964494
1828,0.00010225446749245748
1829,0.00010056210885522887
1830,0.00010141048551304266
1831,0.00010154036863241345
1832,0.00010255399683956057
1833,0.00011455386993475258
1834,0.00011538714898051694
1835,0.00011693532724166289
1836,0.00010490006388863549
1837,0.0001065477918018587
1838,0.00010842326446436346
1839,0.00011000628728652373
1840,0.00010486240353202447
1841,0.00010795078560477123
1842,0.00011660580639727414
1843,0.00010851612751139328
1844,0.00011546193854883313
1845,0.00011032778274966404
1846,0.00011262143380008638
1847,0.00011774091399274766
1848,0.00011346657993271947
1849,0.00011219328007427976
1850,0.00011252877447986975
1851,0.00011018144869012758
1852,0.0001149028175859712
1853,0.0001103778849937953
1854,0.00011659835581667721
1855,0.00011409107537474483
1856,0.00011389918654458597
1857,0.0001247586333192885
1858,0.00011483948765089735
1859,0.00011381344666006044
1860,0.0001181006955448538
1861,0.00012050407531205565
1862,0.00011727073433576152
1863,0.0001158001396106556
1864,0.00012421821884345263
1865,0.00011759029439417645
1866,0.00012023229646729305
1867,0.0001169522583950311
1868,0.00011749619443435222
1869,0.00011826701665995643
1870,0.00012141352635808289
1871,0.00012477701238822192
1872,0.00012209881970193237
1873,0.00011685329081956297
1874,0.00012305847485549748
1875,0.00011713122512446716
1876,0.00012070782395312563
1877,0.00012007521581836045
1878,0.00012051822704961523
1879,0.00012460451398510486
1880,0.00011616268602665514
1881,0.00011544009612407535
1882,0.0001224322331836447
1883,0.00011842251115012914
1884,0.0001236708485521376
1885,0.0001313349202973768
1886,0.0001275752147193998
1887,0.00012948749645147473
1888,0.00013021098857279867
1889,0.00013679232506547123
1890,0.0001367572258459404
1891,0.00014553152141161263
1892,0.0001509577559772879
1893,0.00014816760085523129
1894,0.00014728146197739989
1895,0.00013773974205832928
1896,0.0001469735725549981
1897,0.0001370083773508668
1898,0.00014390365686267614
1899,0.00014880995149724185
1900,0.00014985275629442185
1901,0.00015490734949707985
1902,0.00015415041707456112
1903,0.00015562660701107234
1904,0.00015547589282505214
1905,0.00016040568880271167
1906,0.00015464737953152508
1907,0.0001603039854671806
1908,0.00016633073391858488
1909,0.00016274444351438433
1910,0.00016854035493452102
1911,0.00016566331032663584
1912,0.0001730613294057548
1913,0.00018934946274384856
1914,0.00017183336603920907
1915,0.00017615217075217515
1916,0.0001842549827415496
1917,0.00018285587430000305
1918,0.00018453039228916168
1919,0.00019097208860330284
1920,0.00018359540263190866
1921,0.00017925920838024467
1922,0.000173748325323686
1923,0.00017169064085464925
1924,0.00017360081255901605
1925,0.00017272257537115365
1926,0.0001781676255632192
1927,0.0001781523460522294
1928,0.00017678782751318067
1929,0.00018622158677317202
1930,0.00018548750085756183
1931,0.0001850373955676332
1932,0.0001799088786356151
1933,0.0002163911995012313
1934,0.000207105913432315
1935,0.00019323898595757782
1936,0.00020116310042794794
1937,0.00019307770708110183
1938,0.00019946102111134678
1939,0.00019285759481135756
1940,0.00020132331701461226
1941,0.00019442829943727702
1942,0.00020981417037546635
1943,0.00019937763863708824
1944,0.00020354805747047067
1945,0.0001885679375845939
1946,0.0001923201634781435
1947,0.00018745385750662535
1948,0.00019610916206147522
1949,0.00018084129260387272
1950,0.00016541000513825566
1951,0.00016270007472485304
1952,0.0001679474808042869
1953,0.00016413569392170757
1954,0.0001666618773015216
1955,0.00016387057257816195
1956,0.00016397722356487066
1957,0.00016244589642155915
1958,0.00016387496725656092
1959,0.00015418091788887978
1960,0.00016035141015890986
1961,0.00015195120067801327
1962,0.00014903578266967088
1963,0.00014576535613741726
1964,0.00015021261060610414
1965,0.00014308016397990286
1966,0.00014108036702964455
1967,0.00013787286297883838
1968,0.000138270333991386
1969,0.00013098245835863054
1970,0.00013303397281561047
1971,0.00012840438284911215
1972,0.00013101632066536695
1973,0.00012734845222439617
1974,0.0001288513740291819
1975,0.00012969285307917744
1976,0.0001237013202626258
1977,0.00012630336277652532
1978,0.0001271799555979669
1979,0.0001228350301971659
1980,0.0001283547462662682
1981,0.0001256798714166507
1982,0.00012867632904089987
1983,0.00012070458615198731
1984,0.00012030066136503592
1985,0.00012144754873588681
1986,0.00012051448720740154
1987,0.00011823814566014335
1988,0.0001231620117323473
1989,0.00011650244414340705
1990,0.00011954150249948725
1991,0.00011734234431060031
1992,0.00011603997700149193
1993,0.00011901590914931148
1994,0.00011680003080982715
1995,0.00011390809231670573
1996,0.00012008131307084113
1997,0.00012088707444490865
1998,0.0001221815764438361
1999,0.00012077760766260326
2000,0.00012498151045292616
2001,0.00012395603698678315
2002,0.00012119537859689444
2003,0.00011867911234730855
2004,0.00012574004358612
2005,0.0001238773693330586
2006,0.00012258262722752988
2007,0.00012145053187850863
2008,0.00012273903121240437
2009,0.000129250533063896
2010,0.0001333232648903504
2011,0.00013692340871784836
2012,0.00012932252138853073
2013,0.0001238724944414571
2014,0.0001326991623500362
2015,0.00013121555093675852
2016,0.00012396019883453846
2017,0.00012448478082660586
2018,0.00012047492782585323
2019,0.00012130704999435693
