,home
1800,0.00013908678374718875
1801,0.00013095984468236566
1802,0.00011018534860340878
1803,9.954074630513787e-05
1804,0.00011205696500837803
1805,0.00010701442806748673
1806,0.0001168598173535429
1807,0.00010919030319200829
1808,0.00013218623644206673
1809,0.0001151408941950649
1810,0.00011523361172294244
1811,0.00012277814676053822
1812,0.000123655961942859
1813,0.00012520147720351815
1814,0.00012686452828347683
1815,0.00011263258056715131
1816,0.00012007111945422366
1817,0.00011658066796371713
1818,0.00011337745672790334
1819,0.00010950259456876665
1820,0.0001331394596491009
1821,0.000127323335618712
1822,0.00012133978452766314
1823,0.00012930043158121407
1824,0.00012844883895013481
1825,0.00013232527999207377
1826,0.00012265615805517882
1827,0.00012911023804917932
1828,0.000131021675770171
1829,0.00012759014498442411
1830,0.00013333422248251736
1831,0.00012556291767396033
1832,0.00011708383681252599
1833,0.00014579898561351
1834,0.00013783291797153652
1835,0.00014047318836674094
1836,0.00013500702334567904
1837,0.00013980857329443097
1838,0.00014348326658364385
1839,0.00015025041648186743
1840,0.00014652797835879028
1841,0.0001545245322631672
1842,0.0001547805586596951
1843,0.00015418289694935083
1844,0.00015632416761945933
1845,0.0001451966818422079
1846,0.00015258294297382236
1847,0.00015320208331104368
1848,0.0001648428151383996
1849,0.00016055995365604758
1850,0.00017074402421712875
1851,0.00015949206135701388
1852,0.00017347504035569727
1853,0.00017775586456991732
1854,0.00017208693316206336
1855,0.0001779614540282637
1856,0.00018127207295037806
1857,0.00018735059711616486
1858,0.00018052899395115674
1859,0.0001787985529517755
1860,0.0001834716968005523
1861,0.00017709462554194033
1862,0.00018367639859206975
1863,0.00017746903176885098
1864,0.000190149134141393
1865,0.00018500738951843232
1866,0.0001873650762718171
1867,0.00017826087423600256
1868,0.0001824274950195104
1869,0.00018985419592354447
1870,0.00018613187421578914
1871,0.00017739871691446751
1872,0.00018207765242550522
1873,0.00017759535694494843
1874,0.00017483276315033436
1875,0.00017633008246775717
1876,0.00017903726256918162
1877,0.00017442088574171066
1878,0.00018118984007742256
1879,0.00018252679728902876
1880,0.00018511472444515675
