,each
1800,0.0004900023341178894
1801,0.0004607108130585402
1802,0.0004886113456450403
1803,0.0004738206334877759
1804,0.0004580472595989704
1805,0.0004640138358809054
1806,0.0004594810598064214
1807,0.00048459312529303133
1808,0.00043077406007796526
1809,0.0004695693787652999
1810,0.0004609754541888833
1811,0.00039641515468247235
1812,0.00035946324351243675
1813,0.00041996935033239424
1814,0.0004198667302262038
1815,0.00045605283230543137
1816,0.00038943305844441056
1817,0.0004358778824098408
1818,0.0004617420781869441
1819,0.0005112627986818552
1820,0.00043055086280219257
1821,0.0004619031387846917
1822,0.00047191037447191775
1823,0.0004745706683024764
1824,0.0004512662999331951
1825,0.000459705654066056
1826,0.00045190370292402804
1827,0.0004648319445550442
1828,0.00045643761404789984
1829,0.00048236368456855416
1830,0.0004790938983205706
1831,0.0004902531509287655
1832,0.0005341596552170813
1833,0.0004982774262316525
1834,0.000517690961714834
1835,0.000511790334712714
1836,0.0005101381684653461
1837,0.0004950215807184577
1838,0.0005038242088630795
1839,0.0005019274540245533
1840,0.0004972015740349889
1841,0.0005089088808745146
1842,0.0005284595536068082
1843,0.0004976588534191251
1844,0.0004696818068623543
1845,0.0005221943720243871
1846,0.0004986440180800855
1847,0.0005204039043746889
1848,0.0005058854003436863
1849,0.0005203504697419703
1850,0.0005149879143573344
1851,0.0005308309337124228
1852,0.0005357885384000838
1853,0.0004979691584594548
1854,0.0005301678902469575
1855,0.000536665553227067
1856,0.0005352552980184555
1857,0.000537847459781915
1858,0.0005394248873926699
1859,0.0005419988301582634
1860,0.0005367468111217022
1861,0.0005591575754806399
1862,0.0005630033556371927
1863,0.000556908140424639
1864,0.0005478179082274437
1865,0.0005635388079099357
1866,0.0005486978916451335
1867,0.0005623819306492805
1868,0.0005617358256131411
1869,0.0005554264644160867
1870,0.000565909082069993
1871,0.0005607245839200914
1872,0.0005695222062058747
1873,0.0005794836324639618
1874,0.0005859890370629728
1875,0.0005680218455381691
1876,0.0005796028417535126
1877,0.0005770575371570885
1878,0.0005745007656514645
1879,0.0005633446853607893
1880,0.0005611416418105364
1881,0.000572340504731983
1882,0.000568429590202868
1883,0.0005778966005891562
1884,0.0005838048527948558
1885,0.0005823413957841694
1886,0.0005712925340048969
1887,0.0005749441334046423
1888,0.0005793120362795889
1889,0.0006024332251399755
1890,0.0006051702657714486
1891,0.0006161532364785671
1892,0.0006113884155638516
1893,0.0006205773679539561
1894,0.0006152880960144103
1895,0.0006196822505444288
1896,0.0006099810125306249
1897,0.0006226489786058664
1898,0.0006172496941871941
1899,0.0005989408236928284
1900,0.0006084353663027287
1901,0.000618946913164109
1902,0.0006130888359621167
1903,0.0006250932347029448
1904,0.0006353986100293696
1905,0.000647527223918587
1906,0.0006275994819588959
1907,0.000649919209536165
1908,0.0006386042223311961
1909,0.0006555335712619126
1910,0.0006524744094349444
1911,0.0006790081388317049
1912,0.0006552343256771564
1913,0.0006798611138947308
1914,0.0006814791122451425
1915,0.0006989011308178306
1916,0.0006792345666326582
1917,0.0006848789053037763
1918,0.0006679503712803125
1919,0.0006572288111783564
1920,0.0006424478488042951
1921,0.0006476044654846191
1922,0.0006413646042346954
1923,0.0006612339057028294
1924,0.0006507906364277005
1925,0.0006648870185017586
1926,0.0006436693947762251
1927,0.00066772272111848
1928,0.0006444244645535946
1929,0.0006606676033698022
1930,0.0006625320529565215
1931,0.0006635960889980197
1932,0.0006497259601019323
1933,0.0006708921282552183
1934,0.0006439278949983418
1935,0.0006488512735813856
