,group
1913,9.179315384244546e-05
1914,8.75023688422516e-05
1915,9.53615308389999e-05
1916,0.00010320189176127315
1917,0.00010664152796380222
1918,0.00011467385047581047
1919,0.0001183177373604849
1920,0.00013115665933582932
1921,0.00013275191304273903
1922,0.0001415285951225087
1923,0.0001471090072300285
1924,0.00015656034520361573
1925,0.00016265410522464663
1926,0.0001738559949444607
1927,0.00018379509856458753
1928,0.0001923134841490537
1929,0.00019867414084728807
1930,0.0002134878159267828
1931,0.00021507112251129001
1932,0.00022665296273771673
1933,0.00023998093092814088
1934,0.00023780811170581728
1935,0.00024142907932400703
1936,0.000244272145209834
1937,0.00024386246514040977
1938,0.0002611212257761508
1939,0.000267108844127506
1940,0.0002740053168963641
1941,0.0002619864826556295
1942,0.000262990448391065
1943,0.00025398892466910183
1944,0.0002617057180032134
1945,0.0002540823188610375
1946,0.00025006747455336154
1947,0.0002600609150249511
1948,0.0002698948374018073
1949,0.00027344372938387096
1950,0.00027609142125584185
1951,0.0002815728366840631
1952,0.00027883105212822556
1953,0.0002955187519546598
1954,0.0002983042213600129
1955,0.0002941430429928005
1956,0.0003023881290573627
1957,0.0002917938109021634
1958,0.000306646921671927
1959,0.000305920751998201
1960,0.0003112490230705589
1961,0.00030400187824852765
1962,0.0003014766552951187
1963,0.0003033773391507566
1964,0.00031109570409171283
1965,0.0002957318793050945
1966,0.00030168105149641633
1967,0.00029207835905253887
1968,0.00029094761703163385
1969,0.00029005418764427304
1970,0.00030105942278169096
1971,0.0003038058348465711
1972,0.0003128138487227261
1973,0.0002963187580462545
1974,0.0003019599535036832
1975,0.0003033708198927343
1976,0.0002981439174618572
1977,0.00029938804800622165
1978,0.00029252335662022233
1979,0.00029347100644372404
1980,0.0002923973370343447
1981,0.0002848253061529249
1982,0.0002870046009775251
1983,0.0002903703134506941
1984,0.0002821270318236202
1985,0.0002777493209578097
1986,0.0002805687254294753
1987,0.00027862636488862336
1988,0.0002789788704831153
1989,0.00027755580958910286
1990,0.0002794934844132513
1991,0.0002780563081614673
1992,0.00028412853134796023
1993,0.00028879125602543354
1994,0.0002839484077412635
1995,0.0002803594688884914
1996,0.00028019025921821594
1997,0.0002821727830450982
1998,0.0002857285726349801
1999,0.0002823988033924252
2000,0.0002761883952189237
2001,0.00027803791454061866
2002,0.0002819857618305832
2003,0.000278443651041016
2004,0.0002801423252094537
2005,0.0002823315153364092
2006,0.0002765454992186278
2007,0.0002718559990171343
2008,0.00026280086603946984
2009,0.0002600331499706954
2010,0.00026202420121990144
2011,0.0002552983642090112
2012,0.0002663362247403711
2013,0.0002795570471789688
2014,0.00024554773699492216
2015,0.00024336815113201737
2016,0.00025325611932203174
2017,0.0002262298366986215
2018,0.00021228795230854303
2019,0.0002232269471278414
