,level
1911,7.880738121457398e-05
1912,7.856837328290567e-05
1913,8.381723455386236e-05
1914,7.638457464054227e-05
1915,7.560888479929417e-05
1916,7.353707042057067e-05
1917,7.119138172129169e-05
1918,6.995315925450996e-05
1919,7.46203149901703e-05
1920,7.753865065751597e-05
1921,7.829334208508953e-05
1922,8.064095163717866e-05
1923,8.207972859963775e-05
1924,8.17791442386806e-05
1925,9.191674325847998e-05
1926,8.753015572438017e-05
1927,9.19560989132151e-05
1928,9.08410147530958e-05
1929,9.25707645365037e-05
1930,0.0001004307996481657
1931,0.00010013271094067022
1932,0.00010570669110165909
1933,0.00011267765512457117
1934,0.00011137297406094149
1935,0.00011356895993230864
1936,0.00011048552551073954
1937,0.0001140296517405659
1938,0.00011745451774913818
1939,0.00011976536188740283
1940,0.00012549074017442763
1941,0.00012481361045502126
1942,0.00012752789189107716
1943,0.00012950549717061222
1944,0.0001405382645316422
1945,0.00014293243293650448
1946,0.00014437417848967016
1947,0.0001646502350922674
1948,0.00016806653002277017
1949,0.00017162022413685918
1950,0.00018359812384005636
1951,0.00017338724865112454
1952,0.00017412415763828903
1953,0.00018298467330168933
1954,0.0001925185351865366
1955,0.00019968462584074587
1956,0.00020531006157398224
1957,0.0002092884824378416
1958,0.00022185881971381605
1959,0.00022656020883005112
1960,0.00022901617921888828
1961,0.0002338252088520676
1962,0.00023559448891319335
1963,0.00023908722505439073
1964,0.0002451053587719798
1965,0.00023880056687630713
1966,0.0002482123381923884
1967,0.00024992559337988496
1968,0.00024918955750763416
1969,0.00025730306515470147
1970,0.0002664838102646172
1971,0.00027739774668589234
1972,0.00029201715369708836
1973,0.0002919223334174603
1974,0.00030323208193294704
1975,0.00031767331529408693
1976,0.00031794572714716196
1977,0.00032753811683505774
1978,0.0003279031370766461
1979,0.00032486385316587985
1980,0.00033167589572258294
1981,0.00032545076101087034
1982,0.000325248169247061
1983,0.0003310942556709051
1984,0.00032329154782928526
1985,0.00031867949292063713
1986,0.0003238175413571298
1987,0.0003178364713676274
1988,0.00031824767938815057
1989,0.00031348507036454976
1990,0.00032208350603468716
1991,0.0003164501686114818
1992,0.00031906081130728126
1993,0.0003195564786437899
1994,0.0003119820321444422
1995,0.00030365228303708136
1996,0.00030610355315729976
1997,0.0003077210858464241
1998,0.0003011024964507669
1999,0.00029387098038569093
2000,0.0002906468289438635
2001,0.00028782119625248015
2002,0.00029174023075029254
2003,0.00029429784626699984
2004,0.00028826616471633315
2005,0.00029285301570780575
2006,0.0002804089745040983
2007,0.0002774882595986128
2008,0.00025972657022066414
2009,0.0002536473621148616
2010,0.00025218186783604324
2011,0.0002468534803483635
2012,0.0002641781175043434
2013,0.0002623279287945479
2014,0.00022904334764461964
2015,0.00022805543267168105
2016,0.0002463450946379453
2017,0.00021865914459340274
2018,0.0002091611677315086
2019,0.00022825495398137718
