,little
1800,0.0006189814303070307
1801,0.0005931004998274148
1802,0.0005037549417465925
1803,0.0004784744814969599
1804,0.0005333814187906682
1805,0.0005222540930844843
1806,0.0005405374686233699
1807,0.0005414583720266819
1808,0.0005457953666336834
1809,0.000565802794881165
1810,0.0005179083091206849
1811,0.0005117909167893231
1812,0.0004617790982592851
1813,0.0004882611974608153
1814,0.0004980110097676516
1815,0.0005192835815250874
1816,0.0004595527134370059
1817,0.0004969415022060275
1818,0.0005008184816688299
1819,0.0005045734578743577
1820,0.0005373195745050907
1821,0.0005247370572760701
1822,0.0005281378398649395
1823,0.000555863487534225
1824,0.000571865530218929
1825,0.0005460962420329452
1826,0.0005132971564307809
1827,0.0005416853819042444
1828,0.0005248950328677893
1829,0.0005365723627619445
1830,0.0005391218001022935
1831,0.0005311729619279504
1832,0.00042476647649891675
1833,0.0005391538725234568
1834,0.0005418320070020854
1835,0.0005577937699854374
1836,0.000529389304574579
1837,0.0005236495635472238
1838,0.0005360268405638635
1839,0.0005371542647480965
1840,0.0005327946855686605
1841,0.0005407744320109487
1842,0.0005546684842556715
1843,0.0005334853776730597
1844,0.0005403030081652105
1845,0.0005287098465487361
1846,0.0005345459212549031
1847,0.0005399982910603285
1848,0.0005539353587664664
1849,0.0005374228931032121
1850,0.0005531435017473996
1851,0.0005247147055342793
1852,0.0005688609089702368
1853,0.0005604043253697455
1854,0.0005635619745589793
1855,0.0005601924494840205
1856,0.0005618961295112967
1857,0.00057613430544734
1858,0.0005574197857640684
1859,0.0005627985810860991
1860,0.0005742191569879651
1861,0.0005642184405587614
1862,0.0005901260883547366
1863,0.0005558492848649621
1864,0.0005766110261902213
1865,0.0005854708724655211
1866,0.0005742564680986106
1867,0.0005731273558922112
1868,0.0005864720442332327
1869,0.0006122284103184938
1870,0.0005708874086849391
1871,0.0005694819265045226
1872,0.0005583184538409114
1873,0.0005823618266731501
1874,0.0005595649126917124
1875,0.0005596177652478218
1876,0.000562974251806736
1877,0.0005395706975832582
1878,0.0005585434846580029
1879,0.0005481934640556574
1880,0.0005588178755715489
1881,0.0005455574719235301
1882,0.0005621938034892082
1883,0.0005724561051465571
1884,0.00054972805082798
1885,0.0005552677903324366
1886,0.0005212276009842753
1887,0.0005247538792900741
1888,0.0005245081847533584
1889,0.0005347447586245835
1890,0.0005415294435806572
1891,0.0005261680926196277
1892,0.0005435821367427707
1893,0.0005313079454936087
1894,0.0005332512082532048
1895,0.0005115319509059191
1896,0.0005421078531071544
1897,0.0005075119552202523
1898,0.0005280174664221704
1899,0.0005668313824571669
1900,0.0005460609099827707
1901,0.000503722345456481
1902,0.0005051850457675755
1903,0.0005013131885789335
1904,0.0005046044243499637
1905,0.0004807942605111748
1906,0.0004734747053589672
1907,0.0004700378340203315
1908,0.0004663689760491252
1909,0.00046568294055759907
1910,0.0004595726204570383
1911,0.00044348262599669397
1912,0.0004454423615243286
1913,0.000435950409155339
1914,0.000429326988523826
1915,0.000413544854382053
1916,0.00041246588807553053
1917,0.00040958175668492913
1918,0.00040277320658788085
1919,0.000410056731197983
1920,0.0004244385636411607
1921,0.00041043790406547487
1922,0.00042518036207184196
1923,0.00043298458331264555
1924,0.00042941645369865
1925,0.0004257904947735369
1926,0.0004266360483597964
1927,0.0004290601355023682
1928,0.00041817614692263305
1929,0.0004114144539926201
1930,0.0004080111684743315
1931,0.00038480592775158584
1932,0.0003880854637827724
1933,0.0003664145478978753
1934,0.0003835476527456194
1935,0.00037075107684358954
1936,0.0003713056503329426
1937,0.0003662204835563898
1938,0.00035546597791835666
1939,0.00034183613024652004
1940,0.0003369565529283136
1941,0.0003226438129786402
1942,0.0003367736062500626
