,long
1800,0.0005177061539143324
1801,0.0005079286056570709
1802,0.00046623864909633994
1803,0.00041935750050470233
1804,0.0004756968410219997
1805,0.0004782874893862754
1806,0.0004967979621142149
1807,0.0005043255514465272
1808,0.0004791660176124424
1809,0.0004988582222722471
1810,0.0005282465717755258
1811,0.00045281052007339895
1812,0.0004575478087645024
1813,0.0004639910184778273
1814,0.00047660988639108837
1815,0.00047132372856140137
1816,0.00044405279913917184
1817,0.00046978783211670816
1818,0.0004621111729647964
1819,0.0004930478753522038
1820,0.0004917039768770337
1821,0.0005026486469432712
1822,0.0004955338081344962
1823,0.00047707377234473825
1824,0.0005198668222874403
1825,0.0004898023908026516
1826,0.000471439678221941
1827,0.0004894905723631382
1828,0.0004862285277340561
1829,0.000498741923365742
1830,0.0004906015819869936
1831,0.0004978958750143647
1832,0.00043734192149713635
1833,0.0004912444856017828
1834,0.00048508160398341715
1835,0.0004946605185978115
1836,0.0004776202258653939
1837,0.0004830466059502214
1838,0.0004929003189317882
1839,0.0004970204317942262
1840,0.0004938498605042696
1841,0.0005029938765801489
1842,0.0005089181358925998
1843,0.0004953345051035285
1844,0.0004925707471556962
1845,0.00049990089610219
1846,0.00048576615517959
1847,0.000493993575219065
1848,0.0004945793771184981
1849,0.0004976575146429241
1850,0.0004946601111441851
1851,0.0004837674496229738
1852,0.0004974125185981393
1853,0.0004946456174366176
1854,0.0005045617581345141
1855,0.0005013871705159545
1856,0.0005044066929258406
1857,0.0005040678661316633
1858,0.0004962058155797422
1859,0.0004982368554919958
1860,0.0005018765805289149
1861,0.0004913428565487266
1862,0.0005167368217371404
1863,0.0005035783397033811
1864,0.0005071866908110678
1865,0.0004971981979906559
1866,0.0004966322449035943
1867,0.0004928326234221458
1868,0.0004945683758705854
1869,0.0005082288407720625
1870,0.0004919213242828846
1871,0.0004917092155665159
1872,0.00047821542830206454
1873,0.0004927079426124692
1874,0.0004956502234563231
1875,0.0004920136998407543
1876,0.0004969865549355745
1877,0.00048806946142576635
1878,0.000500839960295707
1879,0.00048597159911878407
1880,0.0005078230169601738
1881,0.00047734921099618077
1882,0.0005022516124881804
1883,0.000503521878272295
1884,0.0004873090947512537
1885,0.00048601001617498696
1886,0.00046668550930917263
1887,0.00047338855802081525
1888,0.0004787987854797393
1889,0.0004747200582642108
1890,0.0004925359389744699
1891,0.0004745650803670287
1892,0.00048561886069364846
1893,0.0004762790631502867
1894,0.00047768751392140985
1895,0.0004692671645898372
1896,0.0004868264077231288
1897,0.00046644697431474924
1898,0.00047406149678863585
1899,0.0004780999443028122
1900,0.00047839066246524453
1901,0.00044872224680148065
1902,0.0004570406163111329
1903,0.00045152127859182656
1904,0.0004576360515784472
1905,0.0004578041553031653
1906,0.00043936196016147733
1907,0.0004385512147564441
1908,0.00042926325113512576
1909,0.0004335048433858901
1910,0.0004341122112236917
1911,0.00042002444388344884
1912,0.0004154536291025579
1913,0.000411773391533643
1914,0.0004043043591082096
1915,0.00039837078657001257
1916,0.0003984191862400621
1917,0.00039195187855511904
1918,0.00039697784814052284
1919,0.00039485874003730714
1920,0.0004113205068279058
1921,0.0003927457146346569
1922,0.00040465063648298383
1923,0.00041340861935168505
1924,0.00042250982369296253
1925,0.0004261335125193
1926,0.0004256560350768268
1927,0.00042733439477160573
1928,0.00041978087392635643
1929,0.000407056970288977
1930,0.0004132094618398696
1931,0.0004005415248684585
1932,0.000401320488890633
1933,0.000393543770769611
1934,0.00040806623292155564
1935,0.00040321412961930037
1936,0.00042269768891856074
1937,0.00040349498158320785
1938,0.00041202158899977803
1939,0.00038427641266025603
1940,0.0003968670207541436
1941,0.00039096485124900937
1942,0.0004059872298967093
1943,0.0003974551218561828
1944,0.00040989782428368926
1945,0.0004067902045790106
1946,0.00041469043935649097
1947,0.0004135590570513159
1948,0.00041021962533704937
1949,0.000398356030927971
1950,0.0004140935488976538
1951,0.0004094798059668392
1952,0.0004167963343206793
1953,0.0004011934797745198
1954,0.000408288644393906
1955,0.00039819430094212294
1956,0.00040941796032711864
1957,0.0003968707751482725
1958,0.00041010999120771885
1959,0.0004002717323601246
1960,0.0003946703509427607
1961,0.00039815952186472714
1962,0.00039777366328053176
1963,0.00039865539292804897
1964,0.00039711687713861465
1965,0.00039086112519726157
1966,0.000385671213734895
1967,0.00038562060217373073
1968,0.0003917448048014194
1969,0.0003966039512306452
1970,0.00038537889486178756
1971,0.00037233493640087545
1972,0.0003695982741191983
1973,0.0003644759126473218
1974,0.00037218513898551464
1975,0.000359405908966437
1976,0.0003589265688788146
1977,0.0003568091487977654
1978,0.0003511683607939631
1979,0.00034944177605211735
1980,0.0003579007461667061
1981,0.0003545033687260002
1982,0.0003557290474418551
1983,0.0003620485367719084
1984,0.00036160938907414675
1985,0.00035415738238953054
1986,0.0003595890593715012
1987,0.0003608397382777184
1988,0.00036195985740050673
1989,0.0003569920372683555
1990,0.00036526366602629423
1991,0.0003562140045687556
1992,0.000360029807779938
1993,0.00035755621502175927
1994,0.00035842726356349885
1995,0.0003544442297425121
1996,0.00036006016307510436
1997,0.0003663036914076656
1998,0.0003694541228469461
1999,0.0003720711392816156
2000,0.00038797370507381856
2001,0.00038947322173044086
2002,0.0003927236539311707
2003,0.000394553440855816
2004,0.0004036142199765891
2005,0.0004071851435583085
2006,0.00041335512651130557
2007,0.000423540361225605
2008,0.00044234335655346513
2009,0.0004586096038110554
2010,0.0004729821812361479
2011,0.00048970797797665
2012,0.0004670657217502594
2013,0.0004679544654209167
2014,0.0005020745447836816
2015,0.0004950953298248351
2016,0.0004733167006634176
2017,0.0004927936242893338
2018,0.00048601411981508136
2019,0.0005145351751707494
