,large
1800,0.00030589726520702243
1801,0.00029385864036157727
1802,0.00028589903376996517
1803,0.00026178613188676536
1804,0.00026940475800074637
1805,0.0002821272937580943
1806,0.0002724149380810559
1807,0.0002965073217637837
1808,0.0002535169187467545
1809,0.00028972633299417794
1810,0.0002772610168904066
1811,0.0002430157910566777
1812,0.0002530135971028358
1813,0.0002936633536592126
1814,0.0002763114753179252
1815,0.00029885413823649287
1816,0.00024434886290691793
1817,0.00027720199432224035
1818,0.00029179485864005983
1819,0.0003258187498431653
1820,0.00027990329544991255
1821,0.0002690100809559226
1822,0.0002925566805060953
1823,0.0002748668484855443
1824,0.000301504711387679
1825,0.0002803181705530733
1826,0.0002808466088026762
1827,0.00029003212694078684
1828,0.00029890795121900737
1829,0.0003224732936359942
1830,0.00030121710733510554
1831,0.0003148023970425129
1832,0.0002911014889832586
1833,0.00030976664857007563
1834,0.00032669780193828046
1835,0.00032264040783047676
1836,0.000333322532242164
1837,0.00032829144038259983
1838,0.0003422795853111893
1839,0.0003353981883265078
1840,0.00033014899236150086
1841,0.0003409952623769641
1842,0.00036179966991767287
1843,0.0003389722260180861
1844,0.00033187176450155675
1845,0.00034722452983260155
1846,0.0003400129789952189
1847,0.00036132746026851237
1848,0.0003657984489109367
1849,0.0003782302956096828
1850,0.00035587651655077934
1851,0.00036687450483441353
1852,0.00037311279447749257
1853,0.0003617318579927087
1854,0.0003648253623396158
1855,0.0003779834369197488
1856,0.00037474435521289706
1857,0.00037935093860141933
1858,0.00038355818833224475
1859,0.0003906889178324491
1860,0.0003822272992692888
1861,0.0003912290558218956
1862,0.00040950902621261775
1863,0.00039996980922296643
1864,0.00038918029167689383
1865,0.00040423349128104746
1866,0.000393316411646083
1867,0.0004082852101419121
1868,0.0004062091466039419
1869,0.00040730219916440547
1870,0.0004066753026563674
1871,0.0004025162779726088
1872,0.00039829639717936516
1873,0.000413368281442672
1874,0.00042443847632966936
1875,0.0004132719768676907
1876,0.0004334836849011481
1877,0.0004250702913850546
1878,0.0004423007776495069
1879,0.00043279462261125445
1880,0.00043460726737976074
1881,0.0004311534285079688
1882,0.0004459831689018756
1883,0.00044739514123648405
1884,0.00044798190356232226
1885,0.0004509404534474015
1886,0.00043948888196609914
1887,0.00043471608660183847
1888,0.00044385535875335336
1889,0.00044693448580801487
1890,0.0004547669959720224
1891,0.0004509940918069333
1892,0.00044654656085185707
1893,0.0004546048294287175
1894,0.00044891989091411233
1895,0.0004436038143467158
1896,0.0004541057860478759
1897,0.00044958878424949944
1898,0.0004549812583718449
1899,0.0004280507564544678
1900,0.00045788378338329494
1901,0.0004445439262781292
1902,0.000467249978100881
1903,0.0004649288021028042
1904,0.00046077376464381814
1905,0.0004786369390785694
1906,0.00046515552094206214
1907,0.00046434529940597713
1908,0.00047174294013530016
1909,0.0004752512613777071
1910,0.000467069010483101
1911,0.0004767766804434359
1912,0.0004667796310968697
1913,0.0004704523307736963
1914,0.0004678119730670005
1915,0.00046781080891378224
1916,0.0004758632858283818
1917,0.0004619064857251942
1918,0.00047062267549335957
1919,0.0004776609130203724
1920,0.0004787983780261129
1921,0.0004695446405094117
1922,0.000469694088678807
1923,0.0004501042130868882
1924,0.00044762284960597754
1925,0.00043576970347203314
1926,0.0004348696966189891
1927,0.0004336799029260874
1928,0.0004398929886519909
1929,0.0004340259183663875
1930,0.00043619549251161516
1931,0.0004145137791056186
1932,0.0004159425152465701
1933,0.0004022419743705541
1934,0.00040363779407925904
1935,0.0003929667000193149
1936,0.00039481642306782305
1937,0.0004039561317767948
1938,0.0004037778708152473
1939,0.0003898542490787804
1940,0.0003965555224567652
1941,0.00038735297857783735
1942,0.00039819630910642445
1943,0.0003818667319137603
1944,0.00038934728945605457
1945,0.0003853956295643002
1946,0.00037973927101120353
1947,0.00038058037171140313
1948,0.0003777048841584474
1949,0.0003770770563278347
1950,0.00037781373248435557
1951,0.00037474490818567574
1952,0.00036563005414791405
1953,0.0003701023233588785
1954,0.0003630104474723339
1955,0.0003621175419539213
1956,0.0003705255512613803
1957,0.0003620703937485814
1958,0.0003702757821884006
1959,0.0003683383692987263
1960,0.0003633325395639986
1961,0.00036128159263171256
1962,0.0003663947863969952
1963,0.0003632361185736954
1964,0.0003576828457880765
1965,0.00035613367799669504
1966,0.0003539051685947925
1967,0.0003529315290506929
1968,0.0003559552424121648
1969,0.0003612954751588404
1970,0.00034417639835737646
1971,0.000348543981090188
1972,0.0003467336355242878
1973,0.00033290337887592614
1974,0.00033890086342580616
1975,0.0003380024281796068
1976,0.00033402512781322
1977,0.00033013764186762273
1978,0.0003278020885773003
1979,0.00032733072293922305
1980,0.0003353037463966757
1981,0.00032358727185055614
1982,0.00032137500238604844
1983,0.00032390831620432436
1984,0.00032195099629461765
1985,0.0003164040681440383
1986,0.00031681964173913
1987,0.0003106975636910647
1988,0.0003078973095398396
1989,0.00029945088317617774
1990,0.0003043512115254998
1991,0.0003017093113157898
1992,0.0002982107689604163
1993,0.0002953876100946218
1994,0.00029342054040171206
1995,0.00028736935928463936
1996,0.00029091251781210303
1997,0.00028948523686267436
1998,0.0002892934426199645
1999,0.0002823184186127037
2000,0.00028306336025707424
2001,0.0002827295975293964
2002,0.00028255785582587123
2003,0.000283278088318184
2004,0.00028203308465890586
