,action
1800,0.0001626515295356512
1801,0.00017120657139457762
1802,0.00015501056623179466
1803,0.00013646905426867306
1804,0.0001747763599269092
1805,0.0001747998467180878
1806,0.0001673462538747117
1807,0.00018290711159352213
1808,0.00015695478941779584
1809,0.00020236846467014402
1810,0.00016693217912688851
1811,0.0002034879580605775
1812,0.00014981371350586414
1813,0.00016900345508474857
1814,0.0001656110107433051
1815,0.0001733301323838532
1816,0.00016219723329413682
1817,0.00019351467199157923
1818,0.00017101663979701698
1819,0.00017968127212952822
1820,0.00016264191071968526
1821,0.00016095038154162467
1822,0.00019317805708851665
1823,0.00020172818040009588
1824,0.0001954313920577988
1825,0.00017777783796191216
1826,0.00020152867364231497
1827,0.00019231106853112578
1828,0.00018371769692748785
1829,0.00019696766685228795
1830,0.00019395211711525917
1831,0.00021091345115564764
1832,0.00031187478452920914
1833,0.0001881791977211833
1834,0.0002060792758129537
1835,0.00020796827448066324
1836,0.0002099508128594607
1837,0.00022152153542265296
1838,0.00021407479653134942
1839,0.0002182208700105548
1840,0.00021570624085143209
1841,0.00021549979283008724
1842,0.00022069888655096292
1843,0.0002232661354355514
1844,0.0002119958371622488
1845,0.00022047718812245876
1846,0.00023900663654785603
1847,0.00022893196728546172
1848,0.00022383814211934805
1849,0.00021802874107379466
1850,0.00021622830536216497
1851,0.0002338321937713772
1852,0.0002335591270821169
1853,0.00022406471543945372
1854,0.0002195018605561927
1855,0.00023611374490428716
1856,0.0002350593713345006
1857,0.00022968837583903223
1858,0.0002476124791428447
1859,0.00024403241695836186
1860,0.00024831233895383775
1861,0.00023849726130720228
1862,0.0002423145342618227
1863,0.0002472293854225427
1864,0.0002758156042546034
1865,0.0002476821537129581
1866,0.00025623850524425507
1867,0.00025448884116485715
1868,0.0002670843678060919
1869,0.000247426942223683
1870,0.0002672404807526618
1871,0.00026651605730876327
1872,0.0002761260839179158
1873,0.00027629631222225726
1874,0.00029294879641383886
1875,0.00028221154934726655
1876,0.0002899249957408756
1877,0.00031067978125065565
1878,0.0003136928426101804
1879,0.0003143213107250631
1880,0.00030710696591995656
1881,0.00031135929748415947
1882,0.00030927645275369287
1883,0.00032200448913499713
1884,0.00032956479117274284
1885,0.0003165965899825096
1886,0.0003573728317860514
1887,0.0003385877062100917
1888,0.0003317906812299043
1889,0.0003132083220407367
1890,0.0003321937983855605
1891,0.0003244432155042887
1892,0.0003375127271283418
1893,0.00032891554292291403
1894,0.0003211496223229915
1895,0.0003358878311701119
1896,0.0003206364926882088
1897,0.00032374219154007733
1898,0.00033410332980565727
1899,0.00029449924477376044
1900,0.0002994581882376224
1901,0.00031636582571081817
1902,0.0003198782214894891
1903,0.00031461240723729134
1904,0.00031511453562416136
1905,0.00032647355692461133
1906,0.0003643977106548846
1907,0.0003208484558854252
1908,0.00032396067399531603
1909,0.0003174341982230544
1910,0.00032328604720532894
1911,0.0003127068921457976
1912,0.00033977185375988483
1913,0.00031174716423265636
1914,0.0003307111037429422
1915,0.00034185335971415043
1916,0.00032871749135665596
1917,0.0003211763105355203
1918,0.00032632157672196627
1919,0.0003137052699457854
1920,0.0003114141582045704
1921,0.0003055448178201914
1922,0.00031195333576761186
1923,0.0002831173478625715
