,last
1800,0.0004846766241826117
1801,0.0004627685120794922
1802,0.0004638710233848542
1803,0.0004812120459973812
1804,0.00047094153705984354
1805,0.0004434800648596138
1806,0.0004625178989954293
1807,0.0004386703949421644
1808,0.0004825742798857391
1809,0.00047481071669608355
1810,0.00047109989100135863
1811,0.00047436534077860415
1812,0.000524298578966409
1813,0.0004994893679395318
1814,0.0005474646459333599
1815,0.0004990883753634989
1816,0.0005092624924145639
1817,0.0005018883966840804
1818,0.00048150267684832215
1819,0.0004913345910608768
1820,0.0005017563817091286
1821,0.0004976657219231129
1822,0.00048475104267708957
1823,0.0004968859720975161
1824,0.0004858649044763297
1825,0.0004963912069797516
1826,0.0004895548918284476
1827,0.0004863126087002456
1828,0.0005017080693505704
1829,0.0004901907523162663
1830,0.0004832128179259598
1831,0.000491366779897362
1832,0.0004280249704606831
1833,0.0005073203938081861
1834,0.0005055193905718625
1835,0.0005010030581615865
1836,0.0005117818946018815
1837,0.0005212070536799729
1838,0.0005144682945683599
1839,0.000502034614328295
1840,0.0005135499523021281
1841,0.0005176016129553318
1842,0.0005049263127148151
1843,0.0005135927349328995
1844,0.0004965512198396027
1845,0.0005095116794109344
1846,0.0005127116455696523
1847,0.0005199696170166135
1848,0.0005282292258925736
1849,0.0005216073477640748
1850,0.0005046496517024934
1851,0.0005091426428407431
1852,0.0005145917530171573
1853,0.0005210941890254617
1854,0.000507821561768651
1855,0.0005165035254321992
1856,0.0005093347281217575
1857,0.000519070599693805
1858,0.0005196446436457336
1859,0.0005074698710814118
1860,0.000522446702234447
1861,0.0005368951824493706
1862,0.0005357768968679011
1863,0.0005350564606487751
1864,0.0005287588573992252
1865,0.0005454957718029618
1866,0.0005289824330247939
1867,0.0005340652423910797
1868,0.000525340554304421
1869,0.0005366757977753878
1870,0.0005263189668767154
1871,0.0005281214253045619
1872,0.0005256620934233069
1873,0.0005131078651174903
1874,0.0005252682603895664
1875,0.0005161523586139083
1876,0.0005188133800402284
1877,0.0005235455464571714
1878,0.0005225742934271693
1879,0.0005176694830879569
1880,0.0005132053047418594
1881,0.0004993834882043302
1882,0.0005179921863600612
1883,0.0005031448090448976
1884,0.0004997718497179449
1885,0.0004987050779163837
1886,0.000497583532705903
1887,0.0004957750206813216
1888,0.0004928216803818941
1889,0.0004984153201803565
1890,0.0004926897236146033
1891,0.00048609887016937137
1892,0.00048783441889099777
1893,0.0004871906421612948
1894,0.0004891706048510969
1895,0.0004799037124030292
1896,0.000483120878925547
1897,0.00048407944268547
1898,0.0004778727306984365
1899,0.0004885697271674871
1900,0.000478334870422259
1901,0.00046157624456100166
1902,0.0004678723053075373
1903,0.00046539923641830683
1904,0.0004665085580199957
1905,0.0004506549157667905
1906,0.00044398457976058125
1907,0.00044077029451727867
1908,0.00044158147647976875
1909,0.00044297747081145644
1910,0.0004311229567974806
1911,0.0004262790607754141
1912,0.0004231144848745316
1913,0.0004207453166600317
1914,0.00041862562648020685
1915,0.0004169854801148176
1916,0.000411156564950943
1917,0.00040654451004229486
1918,0.00040798200643621385
1919,0.000399880955228582
1920,0.0004122255777474493
1921,0.00041816249722614884
1922,0.0004137704963795841
1923,0.00040674422052688897
1924,0.0004106145934201777
1925,0.0003961608454119414
1926,0.0003955572610720992
1927,0.0003928033693227917
1928,0.0003908595535904169
1929,0.0003906150523107499
1930,0.0003951356920879334
1931,0.0003917234716936946
1932,0.0003936048597097397
1933,0.00037891260581091046
1934,0.000386718224035576
1935,0.00037241721292957664
1936,0.00037127858377061784
1937,0.0003687785647343844
1938,0.00036770637962035835
1939,0.0003561984922271222
1940,0.00035041660885326564
1941,0.00033889408223330975
1942,0.00035165544250048697
1943,0.0003460898296907544
1944,0.00034322397550567985
1945,0.00034015384153462946
1946,0.00033956774859689176
1947,0.00033939466811716557
1948,0.0003386856405995786
1949,0.000320283230394125
1950,0.0003330861800350249
1951,0.0003370767517480999
1952,0.000334922136971727
1953,0.0003255386254750192
1954,0.0003221138031221926
1955,0.0003266485291533172
1956,0.0003235243202652782
1957,0.00031999542261473835
1958,0.0003153773141093552
1959,0.0003100266621913761
1960,0.0003009717620443553
1961,0.0003010895161423832
1962,0.00029786775121465325
1963,0.00029916546191088855
1964,0.0002948011097032577
1965,0.0002979964192491025
1966,0.00029899796936661005
1967,0.0002975831739604473
1968,0.0003044342447537929
1969,0.00030429320759139955
1970,0.00029251366504468024
1971,0.0002870152238756418
1972,0.0002745461242739111
1973,0.00026959271053783596
1974,0.00027161839534528553
1975,0.0002623792679514736
1976,0.000256368046393618
1977,0.0002520927519071847
1978,0.00024647772079333663
1979,0.00025135872419923544
1980,0.0002497226232662797
1981,0.0002463349956087768
1982,0.00024874022346921265
1983,0.0002564087335485965
1984,0.0002472190244589001
1985,0.00024507465423084795
1986,0.00024651200510561466
1987,0.0002459482930134982
1988,0.0002479601535014808
1989,0.00024240063794422895
1990,0.00024276947078760713
1991,0.00024330346786882728
1992,0.00024203959037549794
1993,0.00023619098647031933
1994,0.00023723236517980695
1995,0.00023276466527022421
1996,0.00023550059995613992
1997,0.00023684976622462273
1998,0.00023383802908938378
1999,0.0002385749394306913
2000,0.00024753386969678104
2001,0.00024861173005774617
2002,0.0002460562973283231
2003,0.00025046156952157617
2004,0.0002568763156887144
2005,0.0002544873859733343
2006,0.0002631765673868358
2007,0.00026697159046307206
2008,0.0002814672770909965
2009,0.000290838215732947
2010,0.0002932772331405431
2011,0.0003042984171770513
2012,0.00028542676591314375
2013,0.0002895886718761176
2014,0.0003249973233323544
2015,0.0003170496493112296
2016,0.00029822508804500103
2017,0.0003256569616496563
2018,0.00032779554021544755
2019,0.00031679790117777884
