,only
1800,0.0011595896212384105
1801,0.0011166968615725636
1802,0.001114965882152319
1803,0.0010153570910915732
1804,0.0011279674945399165
1805,0.0010870374972000718
1806,0.001116003724746406
1807,0.0010892933933064342
1808,0.001049613580107689
1809,0.0011248058872297406
1810,0.0010481496574357152
1811,0.0011218939907848835
1812,0.0011174920946359634
1813,0.0010550980223342776
1814,0.0011170129291713238
1815,0.001095638726837933
1816,0.0010916332248598337
1817,0.001116557396017015
1818,0.0011031250469386578
1819,0.0010690753115341067
1820,0.0010816811118274927
1821,0.0010245846351608634
1822,0.0010811900720000267
1823,0.0011079352116212249
1824,0.001107270596548915
1825,0.001104825991205871
1826,0.0010903505608439445
1827,0.001089871278963983
1828,0.0010694734519347548
1829,0.0010951908770948648
1830,0.00110827072057873
1831,0.0010896376334130764
1832,0.0010415696306154132
1833,0.0011018328368663788
1834,0.0010832835687324405
1835,0.0011067874729633331
1836,0.0011044490383937955
1837,0.0010882166679948568
1838,0.0011004166444763541
1839,0.001089734025299549
1840,0.001083450042642653
1841,0.0010870422702282667
1842,0.0011000739177688956
1843,0.001075861742720008
1844,0.0010997491190209985
1845,0.0010952898301184177
1846,0.001082280883565545
1847,0.0010868307435885072
1848,0.0010937574552372098
1849,0.0010920813074335456
1850,0.0010651549091562629
1851,0.0010690566850826144
1852,0.0010784193873405457
1853,0.0010833810083568096
1854,0.0010836493456736207
1855,0.0010924735106527805
1856,0.0010808838997036219
1857,0.0010518624912947416
1858,0.0010757182026281953
1859,0.0010652219643816352
1860,0.001077030086889863
1861,0.0010805148631334305
1862,0.0010868035024031997
1863,0.001088349032215774
1864,0.0010759872384369373
1865,0.0010800687596201897
1866,0.0010798550210893154
1867,0.0010812851833179593
1868,0.0010775671107694507
1869,0.0010956967016682029
1870,0.0010888481047004461
1871,0.001091255689971149
1872,0.0010837203590199351
1873,0.001092422055080533
1874,0.0011025866260752082
1875,0.0010930002899840474
1876,0.0011001048842445016
1877,0.0010967366397380829
1878,0.0011064624413847923
1879,0.0010910145938396454
1880,0.0010828234953805804
1881,0.0010769390501081944
1882,0.001097803353331983
1883,0.0010919580236077309
1884,0.001097794040106237
1885,0.001081830938346684
1886,0.001089770346879959
1887,0.0010654275538399816
1888,0.0010746326297521591
1889,0.0010520906653255224
1890,0.0010899967746809125
1891,0.0010598973603919148
1892,0.0010714724194258451
1893,0.001072034239768982
1894,0.0010843488853424788
1895,0.0010449388064444065
1896,0.0010583121329545975
1897,0.0010242139687761664
1898,0.001048258156515658
1899,0.0010366261703893542
1900,0.0010346395429223776
1901,0.0010121148079633713
1902,0.0010301455622538924
1903,0.0010169071611016989
1904,0.001029136823490262
1905,0.0010241428390145302
1906,0.0010263359872624278
1907,0.0010131754679605365
1908,0.0010295964311808348
1909,0.0010187019361183047
1910,0.0010271891951560974
1911,0.0010270461207255721
1912,0.0010172469774261117
1913,0.0010136776836588979
1914,0.0010113823227584362
1915,0.0009958796435967088
1916,0.0010036294115707278
1917,0.0009961342439055443
1918,0.0010164055274799466
1919,0.0010141493985429406
1920,0.0010346624767407775
1921,0.001018677605316043
1922,0.0010329015785828233
1923,0.0010058879852294922
1924,0.0010169685119763017
1925,0.000995011068880558
1926,0.00101874687243253
1927,0.000997380819171667
1928,0.0010098012862727046
1929,0.001002436620183289
1930,0.0010104691609740257
1931,0.000990101252682507
1932,0.001024410710670054
1933,0.001004170742817223
1934,0.001023656688630581
1935,0.0010015335865318775
1936,0.0010107816196978092
1937,0.0010020156623795629
1938,0.0010184069396927953
1939,0.0009944253833964467
1940,0.0009947988437488675
1941,0.0009702281095087528
1942,0.001009004539810121
1943,0.0010000859620049596
1944,0.001009792205877602
1945,0.0010013823630288243
1946,0.0010234484216198325
1947,0.0010269347112625837
1948,0.0010317715350538492
1949,0.0010129517177119851
1950,0.0010201287223026156
1951,0.0010139804799109697
1952,0.0010438855970278382
1953,0.0010211558546870947
1954,0.0010220898548141122
1955,0.0010211896151304245
1956,0.0010428819805383682
1957,0.0010256244568154216
1958,0.0010430237744003534
1959,0.00102844403591007
1960,0.0010497764451429248
1961,0.0010467139072716236
1962,0.0010518846102058887
1963,0.0010451724519953132
1964,0.0010407218942418694
1965,0.0010359167354181409
1966,0.0010491948341950774
1967,0.001028864411637187
1968,0.0010490790009498596
1969,0.0010424212086945772
1970,0.0010331603698432446
1971,0.0010175361530855298
1972,0.0010202649282291532
1973,0.0009883642196655273
1974,0.0009954270208254457
1975,0.000985326711088419
1976,0.0009691350278444588
1977,0.0009691061568446457
1978,0.0009566334192641079
1979,0.0009513945551589131
1980,0.0009577819146215916
1981,0.0009457285632379353
1982,0.0009515045094303787
1983,0.0009580783080309629
1984,0.0009441900765523314
1985,0.0009285684209316969
1986,0.0009379241964779794
1987,0.0009348975727334619
1988,0.0009343567653559148
1989,0.0009133390849456191
1990,0.0009186664246954024
1991,0.0009181011118926108
1992,0.0009203527006320655
1993,0.0009153520804829895
1994,0.0009032576344907284
1995,0.0008885235292837024
1996,0.000910462811589241
1997,0.0009139718604274094
1998,0.0009232803131453693
1999,0.0009250217117369175
2000,0.0009357280796393752
2001,0.0009311114554293454
2002,0.0009495981503278017
2003,0.0009563801577314734
2004,0.0009582238853909075
2005,0.0009527302463538945
2006,0.0009651687578298151
2007,0.0009667127160355449
2008,0.0009738937951624393
2009,0.0009852815419435501
2010,0.0009868291672319174
2011,0.0009859194979071617
2012,0.0009829498594626784
2013,0.0009967632358893752
2014,0.0010004935320466757
2015,0.0009880152065306902
2016,0.000981885939836502
2017,0.0009768307209014893
2018,0.0009693177998997271
2019,0.0010121281957253814
