,him
1977,0.00048414620687253773
1978,0.00048374629113823175
1979,0.00047889206325635314
1980,0.0004756620619446039
1981,0.0004964586696587503
1982,0.00048795074690133333
1983,0.000489693833515048
1984,0.0005000791279599071
1985,0.000498371955472976
1986,0.0005061010597273707
1987,0.0005211193929426372
1988,0.0005301076453179121
1989,0.0005319571937434375
1990,0.0005261216429062188
1991,0.0005454416968859732
1992,0.0005508504109457135
1993,0.0005505338194780052
1994,0.0005508759059011936
1995,0.0005480105173774064
1996,0.0005817500059492886
1997,0.000587720307521522
1998,0.0006189033156260848
1999,0.0006542279734276235
2000,0.0007454302976839244
2001,0.0007628474850207567
2002,0.0007618825766257942
2003,0.0008134107338264585
2004,0.000886610068846494
2005,0.0008917888044379652
2006,0.0009667800622992218
2007,0.0010123391402885318
2008,0.001165119931101799
2009,0.0012811513151973486
2010,0.0013683205470442772
2011,0.0015142650809139013
2012,0.001426445203833282
2013,0.0014262323966249824
2014,0.0017907230649143457
2015,0.0017115958034992218
2016,0.0015237751649692655
2017,0.001879742369055748
2018,0.0019195314962416887
2019,0.001754357130266726
