,women
1908,0.00011594005627557635
1909,0.00012030067591695115
1910,0.000129693653434515
1911,0.00012142186460550874
1912,0.00012935827544424683
1913,0.00014077310333959758
1914,0.00013554618635680526
1915,0.00013748908531852067
1916,0.00014151919458527118
1917,0.00014733175339642912
1918,0.00017149910854641348
1919,0.00016114760364871472
1920,0.00014326328528113663
1921,0.00013571720046456903
1922,0.00013670435873791575
1923,0.00013613241026178002
1924,0.00013997424684930593
1925,0.0001305120822507888
1926,0.0001372787810396403
1927,0.00014073090278543532
1928,0.00014370019198395312
1929,0.0001504909887444228
1930,0.0001431292184861377
1931,0.00013266793393995613
1932,0.00013862208288628608
1933,0.00013485681847669184
1934,0.0001313410175498575
1935,0.00013031535490881652
1936,0.00013440805196296424
1937,0.00012837456597480923
1938,0.000134527450427413
1939,0.0001215214651892893
1940,0.0001204578293254599
1941,0.00012569173122756183
1942,0.0001567920990055427
1943,0.00015228222764562815
1944,0.00015315948985517025
1945,0.00013576813216786832
1946,0.00012889252684544772
1947,0.0001254332746611908
1948,0.00011975920642726123
1949,0.00010760247823782265
1950,0.0001087892524083145
1951,0.00010658099927240983
1952,0.00010734155512182042
1953,0.0001076679618563503
1954,0.00010253208893118426
1955,0.0001022540163830854
1956,0.000107798827229999
1957,9.654898894950747e-05
1958,0.00010031042620539665
1959,9.743607370182872e-05
1960,0.00010457173630129546
1961,9.673007298260927e-05
1962,9.735955973155797e-05
1963,0.00010226976883132011
1964,9.929657244356349e-05
1965,0.00010391188698122278
1966,0.00010282392759108916
1967,0.00010318629210814834
1968,0.00011008175351889804
1969,0.0001135665806941688
1970,0.0001221686543431133
1971,0.0001316872367169708
1972,0.00013450899859890342
1973,0.00013911674614064395
1974,0.00015134047134779394
1975,0.00017298414604738355
1976,0.0001714468962745741
1977,0.0001735238911351189
1978,0.00018240133067592978
1979,0.00018876742979045957
1980,0.00020215420227032155
1981,0.00019667271408252418
1982,0.00020199106074869633
1983,0.00020565468003042042
1984,0.00021646266395691782
1985,0.00021643056243192405
1986,0.00021415598166640848
1987,0.0002234456333098933
1988,0.000227410884690471
1989,0.0002300994237884879
1990,0.0002428183943266049
1991,0.0002526290190871805
1992,0.0002702752535697073
1993,0.00029015078325755894
1994,0.00029771277331747115
1995,0.00030129661899991333
1996,0.00030369104933924973
1997,0.0003073772822972387
1998,0.00030992081156000495
1999,0.00030527403578162193
2000,0.00030783566762693226
2001,0.00029576561064459383
2002,0.0003098251763731241
2003,0.00030447490280494094
2004,0.0003119188768323511
2005,0.00031272441265173256
2006,0.0003001609002240002
2007,0.0002950306807179004
2008,0.0002820467052515596
2009,0.00027953661628998816
2010,0.0002777780464384705
2011,0.00026231471565552056
2012,0.0002466383157297969
2013,0.0002803246898110956
2014,0.0002744216180872172
2015,0.00026984544820152223
2016,0.0002972426591441035
2017,0.00027248362312093377
2018,0.00027454100199975073
2019,0.00026775040896609426
