,when
1902,0.0011723898351192474
1903,0.0011692617554217577
1904,0.0011684709461405873
1905,0.0011626173509284854
1906,0.0011469321325421333
1907,0.0011540879495441914
1908,0.001154355937615037
1909,0.0011603663442656398
1910,0.001145072397775948
1911,0.0011286233784630895
1912,0.0011325010564178228
1913,0.0011056591756641865
1914,0.001109976670704782
1915,0.0010886217933148146
1916,0.0010963500244542956
1917,0.0010966584086418152
1918,0.0010989640140905976
1919,0.0010833508567884564
1920,0.001096259686164558
1921,0.0010794821428135037
1922,0.0010930177522823215
1923,0.0010823796037584543
1924,0.0010844443459063768
1925,0.0010573782492429018
1926,0.0010620993562042713
1927,0.0010533755412325263
1928,0.0010496661998331547
1929,0.001036701025441289
1930,0.0010437293676659465
1931,0.0010124226100742817
1932,0.0010217728558927774
1933,0.0009893415262922645
1934,0.0010094080353155732
1935,0.0010041672503575683
1936,0.001013695728033781
1937,0.0009979341411963105
1938,0.0009978587040677667
1939,0.0009893756359815598
1940,0.0009883132297545671
1941,0.0009644638048484921
1942,0.0010006839875131845
1943,0.0010177280055359006
1944,0.0010236342204734683
1945,0.0009937211871147156
1946,0.0010044898372143507
1947,0.0009917517891153693
1948,0.0009932779939845204
1949,0.0009561092010699213
1950,0.0009762370609678328
1951,0.0009718877263367176
1952,0.001005806028842926
1953,0.0009668463608250022
1954,0.0009580337791703641
1955,0.0009575324947945774
1956,0.0009472770616412163
1957,0.0009411937207914889
1958,0.0009347842424176633
1959,0.0009167732205241919
1960,0.0009184468653984368
1961,0.0009114437270909548
1962,0.0009067376377061009
1963,0.0009065525373443961
1964,0.0009033370879478753
1965,0.0008992282091639936
1966,0.0009080242598429322
1967,0.0008960384293459356
1968,0.0009123568888753653
1969,0.0008937516249716282
1970,0.0008917572558857501
1971,0.0008714658906683326
1972,0.0008617238490842283
1973,0.000836520513985306
1974,0.0008429562440142035
1975,0.0008244728669524193
1976,0.0008187341736629605
1977,0.000810380035545677
1978,0.0008043896523304284
1979,0.0008055291837081313
1980,0.0008129761554300785
1981,0.0008122299332171679
1982,0.0008196142152883112
1983,0.0008252487168647349
1984,0.000819179869722575
1985,0.0008193993126042187
1986,0.0008253733394667506
1987,0.0008326989482156932
1988,0.0008335250313393772
1989,0.000828381918836385
1990,0.0008331850403919816
1991,0.0008450192399322987
1992,0.000841389293782413
1993,0.0008360247011296451
1994,0.0008454240742139518
1995,0.0008454976486973464
1996,0.0008720832411199808
1997,0.000895639939699322
1998,0.0009187863324768841
1999,0.0009321658289991319
2000,0.0009618829353712499
2001,0.0009706076816655695
2002,0.0009889535140246153
2003,0.0010149311274290085
2004,0.001043034833855927
2005,0.0010473040165379643
2006,0.001074685249477625
2007,0.0010973162716254592
2008,0.0011543685104697943
2009,0.0012180876219645143
2010,0.0012502706376835704
2011,0.0012862851144745946
2012,0.001226344844326377
2013,0.0012299271766096354
2014,0.0013125278055667877
2015,0.0013035709271207452
2016,0.0012507528299465775
2017,0.0013093192828819156
2018,0.0013087132247164845
2019,0.001291009015403688
