,point
1800,0.00021890056086704135
1801,0.000254417973337695
1802,0.00024771413882263005
1803,0.0002240307949250564
1804,0.00022308681218419224
1805,0.00022820830054115504
1806,0.00023622086155228317
1807,0.00022903057106304914
1808,0.00021403373102657497
1809,0.00028328868211247027
1810,0.00022221595281735063
1811,0.00021970306988805532
1812,0.00023868976859375834
1813,0.00024027320614550263
1814,0.0002659423334989697
1815,0.0002731264103204012
1816,0.000237795858993195
1817,0.0002438303199596703
1818,0.00023456262715626508
1819,0.0002556373947300017
1820,0.00022626103600487113
1821,0.00023121350386645645
1822,0.00024070902145467699
1823,0.00023992669594008476
1824,0.00023617074475623667
1825,0.00023570405028294772
1826,0.0002486386219970882
1827,0.00025283152353949845
1828,0.00024680665228515863
1829,0.00024792144540697336
1830,0.00025675210054032505
1831,0.0002487965684849769
1832,0.0002930706541519612
1833,0.0002642682520672679
1834,0.00026438117492944
1835,0.000261054519796744
1836,0.0002732021384872496
1837,0.00025493057910352945
1838,0.00026699205045588315
1839,0.000250085984589532
1840,0.0002451915934216231
1841,0.0002612523385323584
1842,0.00026592359063215554
1843,0.0002623985055834055
1844,0.0002494438667781651
1845,0.00026781123597174883
1846,0.00025991094298660755
1847,0.0002644328633323312
1848,0.00026235036784783006
1849,0.00025808357167989016
1850,0.0002663418708834797
1851,0.0002687103406060487
1852,0.00028065871447324753
1853,0.0002687450032681227
1854,0.000265883601969108
1855,0.0002773714659269899
1856,0.0002786105324048549
1857,0.00027326628332957625
1858,0.0002800987276714295
1859,0.0002637300349306315
1860,0.00028000655584037304
1861,0.0002759334456641227
1862,0.00028238134109415114
1863,0.0002882185799535364
1864,0.0002815909101627767
1865,0.0002879287349060178
1866,0.000292306300252676
1867,0.00028602962265722454
1868,0.0002875068166758865
1869,0.00028755274252034724
1870,0.00028671915060840547
1871,0.00028816136182285845
1872,0.00029497977811843157
1873,0.0003046233323402703
1874,0.0002973782829940319
1875,0.00030262733343988657
1876,0.0003019178402610123
1877,0.0002993170346599072
1878,0.0003160501946695149
1879,0.0003139478212688118
1880,0.00030444111325778067
1881,0.0003023711033165455
1882,0.0003200194041710347
1883,0.000304286164464429
1884,0.00031781860161572695
1885,0.0003134522121399641
1886,0.00031785984174348414
1887,0.0003095596912316978
1888,0.00030761247035115957
1889,0.0003050878003705293
1890,0.0003214512253180146
1891,0.00031701812986284494
1892,0.0003143451758660376
1893,0.0003214743628632277
1894,0.0003191176219843328
1895,0.00031034465064294636
1896,0.00030748205608688295
1897,0.00031015175045467913
1898,0.0003126536903437227
1899,0.00029983228887431324
1900,0.0003022391756530851
1901,0.00030265384702943265
1902,0.00032489714794792235
1903,0.0003179154300596565
1904,0.00032305208151228726
1905,0.000322437786962837
1906,0.00034483990748412907
1907,0.00034368090564385056
1908,0.00034906150540336967
1909,0.00033155089477077127
1910,0.00033453991636633873
1911,0.0003466474881861359
1912,0.00034834930556826293
1913,0.00033560331212356687
1914,0.0003364885051269084
1915,0.0003287858562543988
1916,0.00033334604813717306
1917,0.00032733805710449815
1918,0.00032836757600307465
1919,0.0003227700653951615
1920,0.00033814029302448034
1921,0.0003294898197054863
1922,0.000333016476361081
1923,0.0003239427460357547
1924,0.0003259961085859686
1925,0.00032136100344359875
1926,0.0003297555958852172
1927,0.00031519311596639454
1928,0.0003194746095687151
1929,0.0003140476765111089
1930,0.00032355915755033493
1931,0.00031023245537653565
1932,0.0003213820746168494
1933,0.0003241855010855943
1934,0.00031923287315294147
1935,0.0003172877477481961
1936,0.0003165745292790234
1937,0.0003121747577097267
1938,0.00031966064125299454
1939,0.00031547402613796294
1940,0.00031484357896260917
1941,0.0003024049801751971
1942,0.0003173678705934435
1943,0.00032469231518916786
1944,0.0003209344286005944
1945,0.0003195878234691918
1946,0.0003294209891464561
1947,0.0003391933278180659
1948,0.0003368278266862035
1949,0.00033688900293782353
1950,0.00034120198688469827
1951,0.00034428868093527853
1952,0.0003445280890446156
