,house
1800,0.00035336805740371346
1801,0.00035566266160458326
1802,0.0003731271717697382
1803,0.00033039815025404096
1804,0.0003792124625761062
1805,0.000438544899225235
1806,0.0004963016835972667
1807,0.00046622531954199076
1808,0.0005876979557797313
1809,0.0004799760354217142
1810,0.0004180890682619065
1811,0.0004151114553678781
1812,0.0005964736337773502
1813,0.0003923368058167398
1814,0.0003717814397532493
1815,0.00035585719160735607
1816,0.0004803401534445584
1817,0.00039050765917636454
1818,0.00038223995943553746
1819,0.0003752917982637882
1820,0.0004592676996253431
1821,0.00041280355071648955
1822,0.00040437091956846416
1823,0.00039757831837050617
1824,0.0003892052045557648
1825,0.00039254341390915215
1826,0.0004074701282661408
1827,0.0003895810805261135
1828,0.0003883994650095701
1829,0.00036359598743729293
1830,0.00033917464315891266
1831,0.0003602224460337311
1832,0.00029475303017534316
1833,0.000366380118066445
1834,0.00035462071537040174
1835,0.0003542570921126753
1836,0.00037196557968854904
1837,0.000379750708816573
1838,0.00037038445589132607
1839,0.00037072430131956935
1840,0.00037202652310952544
1841,0.00036293602897785604
1842,0.0003795720112975687
1843,0.000364588137017563
1844,0.0003509129455778748
1845,0.0003309944295324385
1846,0.00034651090390980244
1847,0.0003351191116962582
1848,0.0003296286449767649
1849,0.000323766958899796
1850,0.00033649898250587285
1851,0.0003182740183547139
1852,0.0003453005338087678
1853,0.00034329877234995365
1854,0.0003219698555767536
1855,0.0003290683962404728
1856,0.0003379684058018029
1857,0.0003474022087175399
1858,0.000320449355058372
1859,0.0003291733155492693
1860,0.0003347925958223641
1861,0.0003283994155935943
1862,0.00033536998671479523
1863,0.0003211945004295558
1864,0.00032113949418999255
1865,0.0003421207657083869
1866,0.00033096352126449347
1867,0.0003185010573361069
1868,0.0003157949249725789
1869,0.0003336457593832165
1870,0.00033120260923169553
1871,0.0003316787478979677
1872,0.0003548871027305722
1873,0.00032249302603304386
1874,0.00033190325484611094
1875,0.0003255158371757716
1876,0.00033123668981716037
1877,0.0003331343177706003
1878,0.0003100488393101841
1879,0.00033044302836060524
1880,0.0003206399269402027
1881,0.00034744193544611335
1882,0.000324384804116562
1883,0.0003259426448494196
1884,0.0003176365280523896
1885,0.0003138088504783809
1886,0.0003112271660938859
1887,0.00030986766796559095
1888,0.00029931223252788186
1889,0.00031245456193573773
1890,0.00030403738492168486
1891,0.0003037462884094566
1892,0.0003012603847309947
1893,0.000296399142825976
1894,0.0002873655466828495
1895,0.0002995393006131053
1896,0.00029347429517656565
1897,0.000290504889562726
1898,0.00027803616831079125
1899,0.00030622744816355407
1900,0.0002965134917758405
1901,0.0002892264456022531
1902,0.0002765539975371212
1903,0.00027478442643769085
1904,0.000276081555057317
1905,0.0002668411179911345
1906,0.0002685623476281762
1907,0.00026097314548678696
1908,0.00026022930978797376
1909,0.00026401743525639176
1910,0.00025211149477399886
1911,0.00024992148973979056
1912,0.00024452354409731925
1913,0.00023835997853893787
1914,0.00024140907044056803
1915,0.00023077987134456635
1916,0.00022521044593304396
1917,0.00021370172908063978
1918,0.00020177580881863832
1919,0.0002051596384262666
1920,0.00020851651788689196
1921,0.00020611776562873274
1922,0.00021024637680966407
1923,0.00022150292352307588
1924,0.00021166205988265574
1925,0.0002134910027962178
1926,0.00020529933681245893
1927,0.00020971617777831852
1928,0.00020619352289941162
1929,0.00020427133131306618
1930,0.0002041869593085721
1931,0.0001944993855431676
1932,0.0001944993855431676
1933,0.00018383641145192087
1934,0.00018455932149663568
1935,0.0001884558005258441
1936,0.00018510712834540755
1937,0.00018675178580451757
1938,0.0001817787706386298
1939,0.00016608672740403563
1940,0.00016239516844507307
1941,0.0001566526771057397
1942,0.0001554043119540438
1943,0.00014572599320672452
1944,0.00015501044981647283
1945,0.00015669890854042023
1946,0.00016843975754454732
1947,0.0001591595064383
1948,0.00016108271665871143
1949,0.0001517273485660553
1950,0.0001628618483664468
1951,0.00015667054685764015
1952,0.0001603196724317968
1953,0.00015101622557267547
1954,0.00014469744928646833
1955,0.00014558753173332661
1956,0.00014321706839837134
1957,0.00013860271428711712
1958,0.00013358029536902905
1959,0.00012912790407426655
1960,0.00013365283666644245
1961,0.0001299639989156276
1962,0.00012986265937797725
1963,0.00013216666411608458
1964,0.00013582535029854625
1965,0.00013231983757577837
1966,0.00013648232561536133
1967,0.00013562612002715468
1968,0.0001459729828638956
1969,0.00013433479762170464
1970,0.00013526214752346277
1971,0.00012543726188596338
1972,0.0001270339562324807
1973,0.00011787135008489713
1974,0.00011725306103471667
1975,0.00011540381819941103
1976,0.00011662198812700808
1977,0.00011222819739487022
1978,0.00011619325232459232
1979,0.00011629093933152035
1980,0.0001137957806349732
1981,0.00011534278019098565
1982,0.00011994066153420135
1983,0.0001262801670236513
1984,0.00011877979704877362
1985,0.00011905529390787706
1986,0.00011856677156174555
1987,0.00012152694398537278
1988,0.00012176271411590278
1989,0.00012437475379556417
1990,0.00012392060307320207
1991,0.00012605379743035883
1992,0.0001280392607441172
1993,0.00013541599037125707
1994,0.0001278489944525063
1995,0.0001260691205970943
1996,0.00013270642375573516
1997,0.00013526834663935006
1998,0.0001384653733111918
1999,0.00014321359049063176
2000,0.00015722778334748
2001,0.000158290597028099
2002,0.00015742224059067667
2003,0.0001652225764701143
2004,0.0001771449897205457
2005,0.00017766781093087047
2006,0.00018567225197330117
2007,0.0001885952369775623
2008,0.00020731030963361263
2009,0.00022160049411468208
2010,0.0002307993418071419
2011,0.00024331093300133944
2012,0.0002228971425211057
2013,0.000219800160266459
2014,0.0002550942881498486
2015,0.0002514083171263337
2016,0.00023012587917037308
2017,0.00028838767320849
2018,0.0002738756302278489
2019,0.0002541672147344798
