,another
1800,0.00044311885721981525
1801,0.0004303151508793235
1802,0.0003914542612619698
1803,0.0003787896712310612
1804,0.00039594218833371997
1805,0.0003972980775870383
1806,0.00041769733070395887
1807,0.00040588341653347015
1808,0.0004153505142312497
1809,0.00043099603499285877
1810,0.0004153371846769005
1811,0.0004431839333847165
1812,0.00041396592860110104
1813,0.00039976934203878045
1814,0.0004017715691588819
1815,0.00041315268026664853
1816,0.0004244888259563595
1817,0.00041657747351564467
1818,0.00041373580461367965
1819,0.000408557360060513
1820,0.0004209458129480481
1821,0.00040445319609716535
1822,0.0004197660309728235
1823,0.0004423544160090387
1824,0.0004346995265223086
1825,0.000423696095822379
1826,0.0004193968197796494
1827,0.0004092610615771264
1828,0.0004093280585948378
1829,0.00041383059578947723
1830,0.00042669553658924997
1831,0.00041180779226124287
1832,0.00036184352939017117
1833,0.00040960090700536966
1834,0.00040837336564436555
1835,0.0004278652195353061
1836,0.0004161107644904405
1837,0.0004102154343854636
1838,0.0004159923701081425
1839,0.0004199107061140239
1840,0.0004148125881329179
1841,0.0004163378616794944
1842,0.0004167484294157475
1843,0.0004187073209322989
1844,0.0004093688912689686
1845,0.00041031191358342767
1846,0.0004078853235114366
1847,0.00040645047556608915
1848,0.0004026017268188298
1849,0.00039852276677265763
1850,0.00040169424028135836
1851,0.0003990699187852442
1852,0.00039886587182991207
1853,0.00040874548722058535
1854,0.00039486936293542385
1855,0.0003930874518118799
1856,0.0003967756638303399
1857,0.00039351265877485275
1858,0.00038649424095638096
1859,0.00038618649705313146
1860,0.00038870362914167345
1861,0.0003800351405516267
1862,0.00038532871985808015
1863,0.000380501413019374
1864,0.00038233146187849343
1865,0.0003834625531453639
1866,0.0003758298698812723
1867,0.0003719454980455339
1868,0.0003754227072931826
1869,0.0003791509661823511
1870,0.0003757505037356168
1871,0.00038211001083254814
1872,0.00037793556111864746
1873,0.00037665912532247603
1874,0.0003739150706678629
1875,0.00037338066613301635
1876,0.00037022275500930846
1877,0.00036404846468940377
1878,0.00036414735950529575
1879,0.00036614591954275966
1880,0.00036640194593928754
1881,0.00036514963721856475
1882,0.00036925115273334086
1883,0.00037081202026456594
1884,0.00036105280742049217
1885,0.00036073289811611176
1886,0.0003607490798458457
1887,0.0003547398664522916
1888,0.00035858177579939365
1889,0.0003517327131703496
1890,0.0003604567900765687
1891,0.00034971741843037307
1892,0.0003608063270803541
1893,0.00034790096106007695
1894,0.0003540362522471696
1895,0.0003439718275330961
1896,0.00035273184766992927
1897,0.00034329856862314045
1898,0.000347076915204525
1899,0.0003519881865940988
1900,0.00034537006285972893
1901,0.00033848569728434086
1902,0.0003376069653313607
1903,0.00033881847048178315
1904,0.0003440621658228338
1905,0.00033704674569889903
1906,0.00033526140032336116
1907,0.0003304173587821424
1908,0.00032934712362475693
1909,0.00032877136254683137
1910,0.00033056491520255804
1911,0.0003197926271241158
1912,0.0003226839762646705
1913,0.0003113693092018366
1914,0.0003168451366946101
1915,0.00031055646832101047
1916,0.000306550384266302
1917,0.0003031618252862245
1918,0.00030366083956323564
1919,0.0002974807284772396
1920,0.0003053403052035719
1921,0.00030091608641669154
1922,0.0003087027289438993
1923,0.0003062187461182475
1924,0.0003139662730973214
1925,0.0003065683413296938
1926,0.0003137539606541395
1927,0.0003124890208709985
1928,0.0003134871367365122
1929,0.00030790313030593097
1930,0.0003073775733355433
1931,0.0003012589004356414
1932,0.00030454914667643607
1933,0.0002944785519503057
1934,0.0003035900881513953
1935,0.00029962678672745824
1936,0.00030531620723195374
1937,0.00030043715378269553
1938,0.0003009802021551877
1939,0.0002939686819445342
1940,0.0002948872570414096
1941,0.00028377113630995154
1942,0.00029212256777100265
1943,0.00029223071760497987
1944,0.00029258636641316116
1945,0.0002912611817009747
1946,0.0002923556894529611
1947,0.00029844348318874836
1948,0.00029873879975639284
1949,0.0002877939259633422
1950,0.00029512803303077817
1951,0.0002937168756034225
1952,0.00031620688969269395
1953,0.0002983110898640007
1954,0.0002969459455925971
1955,0.0002989617350976914
1956,0.00029872130835428834
1957,0.00029718552832491696
1958,0.0002952138311229646
1959,0.0002917497477028519
1960,0.0002965095918625593
1961,0.00029511575121432543
1962,0.00029616113170050085
1963,0.00029847375117242336
1964,0.00029535358771681786
1965,0.0002951073693111539
1966,0.0003017423441633582
1967,0.00029970708419568837
1968,0.0003040515584871173
1969,0.00029869237914681435
1970,0.000295467849355191
1971,0.00028827961068600416
1972,0.000286322261672467
1973,0.0002774839522317052
1974,0.00027859065448865294
1975,0.0002733583387453109
1976,0.0002681525656953454
1977,0.00026712522958405316
1978,0.00026521910331211984
1979,0.00026330092805437744
1980,0.00026458632783032954
1981,0.00026225505280308425
1982,0.0002676176663953811
1983,0.0002676866133697331
1984,0.00026763678761199117
1985,0.0002641197061166167
1986,0.00026938217342831194
1987,0.0002714712463784963
1988,0.00027199971373192966
1989,0.00026936305221170187
1990,0.00027261479408480227
1991,0.00027532997773960233
1992,0.0002786510740406811
1993,0.0002761556825134903
1994,0.0002797610650304705
1995,0.0002784501702990383
1996,0.0002887195732910186
1997,0.0002971482172142714
1998,0.0003019013674929738
1999,0.00030952494125813246
2000,0.0003188826667610556
2001,0.00032298246514983475
2002,0.00033066351898014545
2003,0.00033587231882847846
2004,0.0003439979918766767
2005,0.00034377051633782685
2006,0.0003510973765514791
2007,0.0003579095646273345
2008,0.0003687160206027329
2009,0.00039012636989355087
2010,0.0003992868878412992
2011,0.00040751922642812133
2012,0.00038342163315974176
2013,0.00039428763557225466
2014,0.0004209071339573711
2015,0.0004139539960306138
2016,0.0003999392210971564
2017,0.0004084136162418872
2018,0.0004055260505992919
2019,0.00039604894118383527
