,without
1800,0.0007974512409418821
1801,0.0008477939409203827
1802,0.0008273972780443728
1803,0.0007947612321004272
1804,0.0008144485182128847
1805,0.0008359372150152922
1806,0.0008410555892623961
1807,0.0008183186873793602
1808,0.0008235936984419823
1809,0.0008203492034226656
1810,0.0007897212053649127
1811,0.0008332115830853581
1812,0.0008488958119414747
1813,0.0008037004736252129
1814,0.0008117203251458704
1815,0.0008120036218315363
1816,0.0008123128209263086
1817,0.0008223484619520605
1818,0.0007943749660626054
1819,0.0007937879418022931
1820,0.0008138008997775614
1821,0.0007757668499834836
1822,0.0007940663490444422
1823,0.0008271964616142213
1824,0.0008105586166493595
1825,0.0008273105486296117
1826,0.0007999222725629807
1827,0.0008082943968474865
1828,0.0007730692741461098
1829,0.0007750301738269627
1830,0.0007833378040231764
1831,0.0007794512785039842
1832,0.0007269312627613544
1833,0.000760651018936187
1834,0.0007619777461513877
1835,0.00077241868712008
1836,0.0007852848502807319
1837,0.0007701931754127145
1838,0.0007510558352805674
1839,0.0007593294722028077
1840,0.0007534697069786489
1841,0.0007486890535801649
1842,0.0007388233207166195
1843,0.0007580282399430871
1844,0.0007595602655783296
1845,0.0007367517100647092
1846,0.0007516076439060271
1847,0.0007492068107239902
1848,0.0007408426608890295
1849,0.0007436308078467846
1850,0.0007171658799052238
1851,0.0007184257265180349
1852,0.0007191028562374413
1853,0.0007209748728200793
1854,0.0007210609619505703
1855,0.0007179589592851698
1856,0.000714613648597151
1857,0.0006896303966641426
1858,0.0006907749339006841
1859,0.0006819218979217112
1860,0.00068271643249318
1861,0.0006870628567412496
1862,0.0006746642175130546
1863,0.0006746014696545899
1864,0.0006771000917069614
1865,0.0006610980490222573
1866,0.0006672362796962261
1867,0.0006582385394722223
1868,0.0006563412025570869
1869,0.0006564868381246924
1870,0.0006499312585219741
1871,0.0006630507414229214
1872,0.0006367503083311021
1873,0.0006405743188224733
1874,0.0006390343769453466
1875,0.0006303006084635854
1876,0.0006268880679272115
1877,0.0006270520971156657
1878,0.0006219074712134898
1879,0.0006254281033761799
1880,0.0006178478943184018
1881,0.0006160067277960479
1882,0.0006165603408589959
1883,0.0006093700067140162
1884,0.0006163735524751246
1885,0.0006001844885759056
1886,0.000610596442129463
1887,0.0006064434419386089
1888,0.000601920997723937
1889,0.0005894363857805729
1890,0.0005950834602117538
1891,0.0005796130863018334
1892,0.0005897873779758811
1893,0.0005807345150969923
1894,0.0005851575988344848
1895,0.0005732206627726555
1896,0.0005797464982606471
1897,0.0005679404712282121
1898,0.0005783013184554875
1899,0.0005787762347608805
1900,0.0005742151406593621
1901,0.0005685720243491232
1902,0.0005540134734474123
1903,0.0005543575389310718
1904,0.0005631460226140916
1905,0.000552231736946851
1906,0.0005548723274841905
1907,0.0005399287329055369
1908,0.0005352029111236334
1909,0.0005363728851079941
1910,0.0005377539782784879
1911,0.0005182208842597902
1912,0.0005275116418488324
1913,0.0005105397431179881
1914,0.0005208365037105978
1915,0.0005201793974265456
1916,0.0005150003125891089
1917,0.0005259402678348124
1918,0.0005169094656594098
1919,0.0005095506203360856
1920,0.0005109236226417124
1921,0.0005074437358416617
1922,0.0005060011753812432
1923,0.0004990557208657265
1924,0.0004954635514877737
1925,0.0004879301704932004
1926,0.0004949816502630711
1927,0.0004851234261877835
1928,0.0004887261311523616
1929,0.0004786300123669207
1930,0.00047295246622525156
1931,0.00048222177429124713
1932,0.0004806548240594566
