,return
1800,0.00019352222443558276
1801,0.00018780591199174523
1802,0.00019786346820183098
1803,0.0001759245787980035
1804,0.00019532203441485763
1805,0.00019542478548828512
1806,0.00019321354920975864
1807,0.00018110685050487518
1808,0.00018911974621005356
1809,0.0001742723397910595
1810,0.00018468104826752096
1811,0.00019270314078312367
1812,0.00019164786499459296
1813,0.00019190064631402493
1814,0.00019651006732601672
1815,0.00020543925347737968
1816,0.0002087689790641889
1817,0.00019926164532080293
1818,0.00018906022887676954
1819,0.00019311050709802657
1820,0.0002090527705149725
1821,0.0001974786864593625
1822,0.00018732427270151675
1823,0.00019403111946303397
1824,0.00019357043493073434
1825,0.00018963575712405145
1826,0.0001829110406106338
1827,0.0001987177092814818
1828,0.00018790819740388542
1829,0.00018314342014491558
1830,0.00018737661594059318
1831,0.00019167765276506543
1832,0.00018178016762249172
1833,0.00018652004655450583
1834,0.0001846173545345664
1835,0.00018530539819039404
1836,0.00018245635146740824
1837,0.00019039165636058897
1838,0.00018556875875219703
1839,0.00018824781000148505
1840,0.00018790678586810827
1841,0.00017762840434443206
1842,0.00017620464495848864
1843,0.00017839671636465937
1844,0.0001809799432521686
1845,0.00017627720080781728
1846,0.0001776042190613225
1847,0.00018405669834464788
1848,0.0001796418655430898
1849,0.00017609796486794949
1850,0.00016978014900814742
1851,0.00016917494940571487
1852,0.0001727614289848134
1853,0.00018115685088559985
1854,0.00016614203923381865
1855,0.00016623431292828172
1856,0.0001674172526691109
1857,0.0001704653986962512
1858,0.00016510635032318532
1859,0.00016490690177306533
1860,0.00016685921582393348
1861,0.00016243620484601706
1862,0.0001587778388056904
1863,0.00015917864220682532
1864,0.00016040110494941473
1865,0.00016001010953914374
1866,0.00016025024524424225
1867,0.00015471679216716439
1868,0.0001544982078485191
1869,0.00015114298730622977
1870,0.00015320946113206446
1871,0.0001536100171506405
1872,0.0001469071430619806
1873,0.00014979520346969366
1874,0.00015066842024680227
1875,0.0001520581281511113
1876,0.00014822339289821684
1877,0.00015340567915700376
1878,0.00014170554641168565
1879,0.00014815852046012878
1880,0.00014979120169300586
1881,0.00014385327813215554
1882,0.00014124540030024946
1883,0.00014730218390468508
1884,0.00014251688844524324
1885,0.00014271933468990028
1886,0.00014248400111682713
1887,0.00014365871902555227
