,work
1800,0.0003614319721236825
1801,0.00034054581192322075
1802,0.0003354553191456944
1803,0.0003044979239348322
1804,0.00036012622877024114
1805,0.0003498792939353734
1806,0.00033303158124908805
1807,0.0003392971702851355
1808,0.00034258083906024694
1809,0.0003090790705755353
1810,0.0003285890561528504
1811,0.00031274635693989694
1812,0.0002815181214828044
1813,0.00030736139160580933
1814,0.0003565903170965612
1815,0.0003462207969278097
1816,0.00031585220131091774
1817,0.0003349481848999858
1818,0.0003285418206360191
1819,0.00032405753154307604
1820,0.0003073295229114592
1821,0.00032118012313731015
1822,0.0003121611662209034
1823,0.0003294365596957505
1824,0.0003640121722128242
1825,0.0003552875714376569
1826,0.0003429863427300006
1827,0.00034167207195423543
1828,0.0003570069675333798
1829,0.00034993680310435593
1830,0.0003962877672165632
1831,0.00036778097273781896
1832,0.00036938072298653424
1833,0.00037698016967624426
1834,0.00040438465657643974
1835,0.0004049001436214894
1836,0.0003777962119784206
1837,0.0003623214433901012
1838,0.00038823115755803883
1839,0.0003740224346984178
1840,0.00036830181488767266
1841,0.0003883362514898181
1842,0.0004108389839529991
1843,0.00040297978557646275
1844,0.00039912527427077293
1845,0.0003791811759583652
1846,0.00039370107697322965
1847,0.00041880784556269646
1848,0.00040966583765111864
1849,0.00041798382881097496
1850,0.00042191470856778324
1851,0.0004245247400831431
1852,0.0004186745791230351
1853,0.0004017471510451287
1854,0.0004144255944993347
1855,0.00041700928704813123
1856,0.000428507337346673
1857,0.00042974387179128826
1858,0.0004356684803497046
1859,0.00046016357373446226
1860,0.00044972068280912936
1861,0.00045951837091706693
1862,0.0004761846794281155
1863,0.0004776857967954129
1864,0.00046248751459643245
1865,0.0004746499180328101
1866,0.0004634015494957566
1867,0.000487168988911435
1868,0.0004915455356240273
1869,0.0005095031228847802
1870,0.0005098131368868053
1871,0.0005178737337701023
1872,0.0005205077468417585
1873,0.0005293813301250339
1874,0.0005624313489533961
1875,0.0005528192850761116
1876,0.0005827154964208603
1877,0.0005621000891551375
1878,0.0005770712741650641
1879,0.0005737816682085395
1880,0.0005939914262853563
1881,0.0006014780374243855
1882,0.0006091929972171783
1883,0.0006116722943261266
1884,0.0006338576204143465
1885,0.0006542154005728662
1886,0.0006743246922269464
1887,0.00065563153475523
1888,0.0006798665272071958
1889,0.0007045575766824186
1890,0.0006972452974878252
1891,0.0007385850185528398
1892,0.0007389156962744892
1893,0.0007423990755341947
1894,0.0007490330026485026
1895,0.0007254319498315454
1896,0.0007447839598171413
1897,0.0007547928835265338
1898,0.0007544516702182591
1899,0.0007405960350297391
1900,0.0007723821909166873
1901,0.000795337138697505
1902,0.0008215542766265571
1903,0.0008370295399799943
1904,0.0008286713273264468
1905,0.0008365641115233302
1906,0.00083034677663818
1907,0.0008592471713200212
1908,0.0008851003949530423
1909,0.0008955341181717813
1910,0.0009145884541794658
1911,0.0009091917891055346
1912,0.0009286428685300052
1913,0.0009792638011276722
1914,0.0009646011749282479
1915,0.0009775144280865788
1916,0.0010069310665130615
1917,0.0009792166529223323
1918,0.0010463534854352474
1919,0.0010281373979523778
1920,0.0009868741035461426
1921,0.0009498262079432607
1922,0.0009127047378569841
1923,0.0008972996147349477
1924,0.0009016336407512426
1925,0.0008560360292904079
1926,0.0008773518493399024
1927,0.0008585508912801743
1928,0.0008463511476293206
1929,0.0008328292751684785
1930,0.0008486934239044785
1931,0.0008097916143015027
1932,0.0008033192716538906
1933,0.0007847496890462935
1934,0.0007839318714104593
1935,0.0007621731492690742
1936,0.0007989751757122576
1937,0.0007774381665512919
1938,0.0007893440197221935
1939,0.000780736212618649
1940,0.0007832542760297656
1941,0.0007781335734762251
1942,0.0008273299317806959
1943,0.0008020653622224927
1944,0.000822225003503263
1945,0.0007980417576618493
1946,0.0007919006166048348
1947,0.000777568609919399
1948,0.000788139586802572
1949,0.0007353327237069607
1950,0.0007279784185811877
1951,0.0007240374106913805
1952,0.0007048101397231221
1953,0.0007088701822794974
1954,0.0007094587199389935
1955,0.0006880182190798223
1956,0.0006958559388294816
1957,0.0006664430256932974
1958,0.0006854960811324418
1959,0.0006620768690481782
1960,0.0006801368435844779
1961,0.000656355987302959
1962,0.0006529012462124228
1963,0.0006403205334208906
1964,0.0006369841867126524
1965,0.0006294000195339322
1966,0.0006246349075809121
1967,0.0006188398692756891
1968,0.0006297499057836831
1969,0.0006101009785197675
1970,0.0006065905326977372
1971,0.0005873997579328716
1972,0.0005951128550805151
1973,0.0005811131559312344
1974,0.000579944287892431
1975,0.0005734817823395133
1976,0.0005700464826077223
1977,0.0005801250808872283
1978,0.0005712711717933416
1979,0.0005657699075527489
1980,0.0005933669744990766
1981,0.0005756939644925296
1982,0.0005820040823891759
1983,0.0005820549558848143
1984,0.0005729855038225651
1985,0.0005588830099441111
1986,0.0005684879724867642
1987,0.000555488106328994
1988,0.0005679265013895929
1989,0.0005540968268178403
