,form
1800,0.00028036811272613704
1801,0.0002760562638286501
1802,0.0002900875988416374
1803,0.00025314983213320374
1804,0.0002908052993007004
1805,0.0002764597593341023
1806,0.00027556970599107444
1807,0.00029547157464548945
1808,0.0002523499133531004
1809,0.00029148912290111184
1810,0.00027260815841145813
1811,0.00025916501181200147
1812,0.00023162791330832988
1813,0.0002705678634811193
1814,0.000271943979896605
1815,0.000279561267234385
1816,0.0002583619498182088
1817,0.0002808602002914995
1818,0.0002897033409681171
1819,0.0003202210064046085
1820,0.00026255109696649015
1821,0.00027347038849256933
1822,0.00030892391805537045
1823,0.000292291515506804
1824,0.0002831525634974241
1825,0.00029002930386923254
1826,0.0002857913204934448
1827,0.0002817778440658003
1828,0.0002870118187274784
1829,0.0003077391011174768
1830,0.0002994295791722834
1831,0.0003056899586226791
1832,0.0002884544664993882
1833,0.0003028384817298502
1834,0.00030696491012349725
1835,0.0003150086267851293
1836,0.00031568168196827173
1837,0.0003052206302527338
1838,0.0003122856141999364
1839,0.0003131195262540132
1840,0.00031289481557905674
1841,0.00032225166796706617
1842,0.0003423998423386365
1843,0.0003181102511007339
1844,0.00030704258824698627
1845,0.00034460812457837164
1846,0.00032027781708166003
1847,0.00033549778163433075
1848,0.00033504641032777727
1849,0.00034167259582318366
1850,0.00033502266160212457
1851,0.0003419227141421288
1852,0.00034060736652463675
1853,0.00031987103284336627
1854,0.00033742882078513503
1855,0.0003429276403039694
1856,0.0003438632993493229
1857,0.0003378873807378113
1858,0.0003490216040518135
1859,0.00033725379034876823
1860,0.0003350439656060189
1861,0.0003339465765748173
1862,0.00034329830668866634
1863,0.00033941358560696244
1864,0.00033697037724778056
1865,0.00033222147612832487
1866,0.00033134882687591016
1867,0.00033767902641557157
1868,0.0003348728350829333
1869,0.00032473262399435043
1870,0.0003342731506563723
1871,0.0003430290089454502
1872,0.0003395005187485367
1873,0.00035541661782190204
1874,0.00034719586255960166
1875,0.0003513922565616667
1876,0.00034830140066333115
1877,0.00034219369990751147
1878,0.0003464462351985276
1879,0.00034552632132545114
1880,0.0003473609103821218
1881,0.00034670712193474174
1882,0.0003434951649978757
1883,0.00035115465288981795
1884,0.00034364807652309537
1885,0.00034851746750064194
1886,0.0003364250296726823
1887,0.00032517319777980447
1888,0.0003298831870779395
1889,0.0003268082218710333
1890,0.0003456386912148446
1891,0.0003385248128324747
1892,0.0003407831536605954
1893,0.0003359177499078214
1894,0.0003404004091862589
1895,0.0003390914062038064
1896,0.00033564140903763473
1897,0.0003362034331075847
1898,0.00033332587918266654
1899,0.0003131275298073888
1900,0.0003245625412091613
1901,0.00032104289857670665
1902,0.0003245465341024101
1903,0.00032726916833780706
1904,0.00032479516812600195
1905,0.0003323560522403568
1906,0.00032797528547234833
1907,0.00033187904045917094
1908,0.0003285315178800374
1909,0.00032831946737132967
1910,0.00034309577313251793
1911,0.0003423273446969688
1912,0.0003275071212556213
1913,0.0003248350403737277
1914,0.00032575338263995945
1915,0.00031459768069908023
1916,0.00031628707074560225
1917,0.00031631437013857067
1918,0.0003177209000568837
1919,0.0003106013755314052
1920,0.0003206060500815511
1921,0.0003183138614986092
1922,0.00032255853875540197
1923,0.0003171545686200261
1924,0.00031421342282556
1925,0.0003158427425660193
1926,0.0003301046963315457
1927,0.00031588220736011863
1928,0.0003133842255920172
1929,0.00031314458465203643
1930,0.0003182836517225951
1931,0.0003146952949464321
1932,0.0003174746234435588
1933,0.0003192023141309619
1934,0.000323419866617769
1935,0.0003198889608029276
1936,0.00031170196598395705
1937,0.0003195788012817502
1938,0.00032139275572262704
1939,0.000317459343932569
1940,0.0003112198319286108
1941,0.000295447331154719
1942,0.0003031738451682031
1943,0.0002968398912344128
1944,0.00029522168915718794
1945,0.0002926220477093011
1946,0.00029434426687657833
1947,0.00030268297996371984
1948,0.00030543998582288623
1949,0.0003084401832893491
1950,0.0003145458467770368
1951,0.0003047505742870271
1952,0.0003098607121501118
1953,0.00031226707505993545
1954,0.00031509020482189953
1955,0.00030453369254246354
1956,0.0003118980675935745
1957,0.00031107576796784997
1958,0.0003205245884601027
1959,0.0003228982677683234
1960,0.0003276975476182997
1961,0.000327442743582651
1962,0.0003361338167451322
1963,0.00033618140150792897
1964,0.00033656597952358425
1965,0.0003306591243017465
1966,0.00033060499117709696
1967,0.00032516225473955274
1968,0.0003270024317316711
1969,0.0003211315197404474
1970,0.00031946590752340853
1971,0.0003173043660353869
1972,0.00032242864836007357
1973,0.000316230725729838
1974,0.0003138346364721656
1975,0.00031529745319858193
1976,0.00030528547358699143
1977,0.0003154509759042412
1978,0.000300040643196553
1979,0.0003022731689270586
1980,0.0003084931231569499
1981,0.00030600675381720066
1982,0.0003034852270502597
1983,0.00030845761648379266
1984,0.00030520986183546484
1985,0.00030154481646604836
1986,0.0003018178977072239
1987,0.00030373685876838863
1988,0.0003017362905666232
1989,0.00029851580620743334
1990,0.0003025261976290494
1991,0.0002984703460242599
1992,0.0003005944308824837
1993,0.0002975609677378088
1994,0.00029659230494871736
1995,0.00029719225130975246
1996,0.0003031999513041228
1997,0.00030460275593213737
1998,0.0003027423517778516
1999,0.00030438925023190677
2000,0.00029860567883588374
2001,0.00029495611670427024
2002,0.0003023729077540338
2003,0.0003045299381483346
2004,0.0002981914731208235
2005,0.00029825957608409226
2006,0.00029908400028944016
2007,0.0002959926496259868
2008,0.00028722151182591915
2009,0.0002800417132675648
2010,0.0002774624153971672
2011,0.00026498493389226496
2012,0.0002816084015648812
2013,0.00029590874328278005
2014,0.0002573116507846862
2015,0.0002554167003836483
2016,0.0002725633094087243
2017,0.0002465861907694489
2018,0.0002461459080222994
2019,0.00025113706942647696
