,support
1800,0.00012303830590099096
1801,0.00013261653657536954
1802,0.00014965290029067546
1803,0.00012504332698881626
1804,0.00013508267875295132
1805,0.00014441402163356543
1806,0.00013316937838681042
1807,0.00013072726142127067
1808,0.0001242663274751976
1809,0.00012578100722748786
1810,0.00012133784912293777
1811,0.0001472210860811174
1812,0.00016713653167244047
1813,0.00015563188935630023
1814,0.0001617734378669411
1815,0.00015256345795933157
1816,0.00014331488637253642
1817,0.00015602694475091994
1818,0.00015123032790143043
1819,0.00014433101750910282
1820,0.00014368726988323033
1821,0.0001367013610433787
1822,0.0001328727084910497
1823,0.00013803546607960016
1824,0.0001244425802724436
1825,0.0001364816998830065
1826,0.00014049114543013275
1827,0.00014002237003296614
1828,0.00013873707212042063
1829,0.00013826647773385048
1830,0.0001393021666444838
1831,0.00014928735618013889
1832,0.00015412048378493637
1833,0.0001418462343281135
1834,0.00014704454224556684
1835,0.00013561898958869278
1836,0.000142588178277947
1837,0.00013125121768098325
1838,0.0001345346972811967
1839,0.00012769219756592065
1840,0.000126871804241091
1841,0.00012589618563652039
1842,0.00011772509606089443
1843,0.0001187844027299434
1844,0.00011820506188087165
1845,0.00011888706649187952
1846,0.00012298843648750335
1847,0.0001222661230713129
1848,0.00012179857731098309
1849,0.00012324345880188048
1850,0.00011406960402382538
1851,0.00011920436372747645
1852,0.00011822633678093553
1853,0.00011912207992281765
1854,0.0001149431336671114
1855,0.00011641887977020815
1856,0.00011385898687876761
1857,0.00010633954661898315
1858,0.0001129482698161155
1859,0.00010837172158062458
1860,0.00010729437053669244
1861,0.00010973434837069362
1862,0.00010871844278881326
1863,0.00011223112232983112
1864,0.00011378699855413288
1865,0.00010596511856419966
1866,0.00011213948164368048
1867,0.0001059819696820341
1868,0.00010758325515780598
1869,9.904720354825258e-05
1870,0.00010441616177558899
1871,0.00010093843593494967
1872,0.00010320329602109268
1873,9.811732161324471e-05
1874,9.858936391538009e-05
1875,0.00010353370453231037
1876,0.00010424523497931659
1877,0.00010552030289545655
1878,0.00010163463593926281
1879,0.00010487090185051784
1880,0.00010040427150670439
1881,0.00010450118134031072
1882,0.00010364082118030638
1883,0.00010009805555455387
1884,0.00010751519585028291
1885,0.00010640155232977122
1886,0.00011081988486694172
1887,0.00010809526429511607
1888,0.00010621785622788593
1889,0.0001051451254170388
1890,0.00010721579019445926
1891,0.00010721000580815598
1892,0.00010347987699788064
1893,0.00010554814070928842
1894,0.00010452110291225836
1895,0.00010657383973011747
1896,0.00010153376933885738
1897,0.00010680517152650282
1898,0.00010693778312997892
1899,0.00010439931065775454
1900,0.00010331007069908082
1901,0.00010477902833372355
1902,0.00010688013571780175
1903,0.00011126825120300055
1904,0.00010983461106661707
1905,0.00010960951476590708
1906,0.00010988121357513592
1907,0.00010743504390120506
1908,0.00011067718878621235
1909,0.00011052026093238965
1910,0.00011288437963230535
1911,0.00011033765622414649
1912,0.00011391418956918642
1913,0.0001121556997532025
1914,0.0001163142587756738
1915,0.00012107365910196677
1916,0.00012008330668322742
1917,0.00012202700600028038
1918,0.00012482926831580698
1919,0.00011981231364188716
1920,0.00011489808093756437
1921,0.00011610276851570234
1922,0.00011599692516028881
1923,0.00011253530828980729
1924,0.00011596162221394479
1925,0.00011148110206704587
1926,0.00011227074719499797
1927,0.00010822120384545997
1928,0.00011297351738903672
1929,0.00011101909331046045
1930,0.00011470743629615754
1931,0.00011450060992501676
1932,0.00012152983981650323
1933,0.00011983589502051473
1934,0.00012190330016892403
1935,0.00011924553837161511
1936,0.00012733953190036118
1937,0.00012162085477029905
1938,0.00012688449351117015
1939,0.0001283113961108029
1940,0.0001296550763072446
1941,0.0001292174420086667
1942,0.00012775704090017825
1943,0.00013067529653199017
1944,0.00013495430175680667
1945,0.00013658568786922842
1946,0.00013540314103011042
1947,0.0001507005945313722
1948,0.00014386051043402404
1949,0.00015823911235202104
1950,0.0001488013513153419
1951,0.0001470284623792395
1952,0.00015129882376641035
1953,0.00015513414109591395
1954,0.00015805376460775733
1955,0.00016127915296237916
1956,0.00016301438154187053
1957,0.00016515231982339174
1958,0.00017030102026183158
1959,0.0001742005260894075
1960,0.00017572562501300126
1961,0.00017789525736588985
1962,0.00018049262871500105
1963,0.0001797210134100169
1964,0.0001841040066210553
1965,0.0001990342716453597
1966,0.0002010740718105808
1967,0.00020805795793421566
1968,0.00020113047503400594
1969,0.0002132741647073999
1970,0.00020950334146618843
