,time
1938,0.001141225453466177
1939,0.0011816022451967
1940,0.0011538509279489517
1941,0.0011900517856702209
1942,0.0011948923347517848
1943,0.0012409730115905404
1944,0.0012161247432231903
1945,0.0012333134654909372
1946,0.001212278031744063
1947,0.001219174824655056
1948,0.0011803261004388332
1949,0.0011654888512566686
1950,0.0011429123114794493
1951,0.0011869510635733604
1952,0.0011623165337368846
1953,0.0011695007560774684
1954,0.0011585118481889367
1955,0.001171931391581893
1956,0.0011420645751059055
1957,0.001183513319119811
1958,0.0011323050130158663
1959,0.0011492285411804914
1960,0.0011220076121389866
1961,0.0011323156068101525
1962,0.0011134808883070946
1963,0.0011111872736364603
1964,0.0011134446831420064
1965,0.0011107436148449779
1966,0.0011074235662817955
1967,0.0011189969955012202
1968,0.0011127780890092254
1969,0.0011135744862258434
1970,0.0010997470235452056
1971,0.0010998459765687585
1972,0.001095589017495513
1973,0.001083709066733718
1974,0.0010785320773720741
1975,0.0010813046246767044
1976,0.0010544932447373867
1977,0.0010628446470946074
1978,0.0010392088443040848
1979,0.0010448213433846831
1980,0.0010401519248262048
1981,0.0010376143036410213
1982,0.0010369503870606422
1983,0.0010484472149983048
1984,0.0010173885384574533
1985,0.0010304253082722425
1986,0.0010194898350164294
1987,0.0010375715792179108
1988,0.0010289278579875827
1989,0.001021173200570047
1990,0.0010287616169080138
1991,0.0010262717260047793
1992,0.0010218208190053701
1993,0.001024638651870191
1994,0.0010153198381885886
1995,0.0010310477809980512
1996,0.0010331051889806986
1997,0.0010554323671385646
1998,0.0010506423423066735
1999,0.0010698953410610557
2000,0.0010862092021852732
2001,0.0010990672744810581
2002,0.0011035739444196224
2003,0.0011471784673631191
2004,0.0011477405205368996
2005,0.0011536612873896956
2006,0.0011546669993549585
2007,0.001164006069302559
2008,0.001176444930024445
2009,0.0012315434869378805
2010,0.0012549738166853786
2011,0.0013104001991450787
2012,0.0012702542589977384
2013,0.0012390614720061421
2014,0.0012959064915776253
2015,0.001263072364963591
2016,0.0012354106875136495
2017,0.001243308186531067
2018,0.0012263958342373371
2019,0.0012873774394392967
