,find
1800,0.0002886741131078452
1801,0.0003092914121225476
1802,0.0002603387110866606
1803,0.0002672929549589753
1804,0.0002990580105688423
1805,0.0002901134721469134
1806,0.00030776625499129295
1807,0.000289782474283129
1808,0.00034171922015957534
1809,0.00031761612626723945
1810,0.00031161640072241426
1811,0.00032305505010299385
1812,0.00029498705407604575
1813,0.000287056143861264
1814,0.0003038930881302804
1815,0.00027892462094314396
1816,0.0002840919478330761
1817,0.0002916242810897529
1818,0.000286780355963856
1819,0.00027990667149424553
1820,0.0002957225951831788
1821,0.0002959548437502235
1822,0.00029816216556355357
1823,0.00030897228862158954
1824,0.0003028932260349393
1825,0.00029441367951221764
1826,0.00028661524993367493
1827,0.0002786120749078691
1828,0.0002874292549677193
1829,0.0002879383973777294
1830,0.0002907927555497736
1831,0.000286299706203863
1832,0.00026678244466893375
1833,0.0002937768294941634
1834,0.0002931696071755141
1835,0.0002949814952444285
1836,0.0002952123759314418
1837,0.00029952445765957236
1838,0.00028975348686799407
1839,0.00029263042961247265
1840,0.0002881131658796221
1841,0.0002901980478782207
1842,0.00028720550471916795
1843,0.0002899562241509557
1844,0.0002906362642534077
1845,0.0002850332821253687
1846,0.0002891327312681824
1847,0.0002902092528529465
1848,0.0002962286816909909
1849,0.00029099808307364583
1850,0.00029278252623043954
1851,0.000284858193481341
1852,0.00028730047051794827
1853,0.0002923581632785499
1854,0.0002892689954023808
1855,0.0002863630943465978
1856,0.0002853124460671097
1857,0.00028632080648094416
1858,0.00028877457953058183
1859,0.00028908124659210443
1860,0.000295337667921558
1861,0.0002905817818827927
1862,0.00028959993505850434
1863,0.0002863437694031745
1864,0.0002877904917113483
1865,0.0002895742654800415
1866,0.0002825206029228866
1867,0.000280291133094579
1868,0.00028335247770883143
1869,0.00029215021640993655
1870,0.0002868610026780516
1871,0.00029646389884874225
1872,0.00029728192021138966
1873,0.00029668351635336876
1874,0.0002969368943013251
1875,0.0002944391162600368
1876,0.0002956360694952309
1877,0.0002933163195848465
1878,0.0002952709037344903
1879,0.00028956038295291364
1880,0.0002878741070162505
1881,0.00028707028832286596
1882,0.00029443667153827846
1883,0.0002923948341049254
1884,0.0002865471469704062
1885,0.00028697229572571814
1886,0.00028457900043576956
1887,0.00028546081739477813
1888,0.00028473124257288873
1889,0.0002834289625752717
1890,0.0002877913066186011
