,old
1800,0.0003513996780384332
1801,0.0003108265809714794
1802,0.0002593672543298453
1803,0.0002616363053675741
1804,0.00026687272475101054
1805,0.00028845120687037706
1806,0.0002919603721238673
1807,0.00028892612317577004
1808,0.00030229968251660466
1809,0.0002773180021904409
1810,0.0002738910843618214
1811,0.00027797004440799356
1812,0.00023723712365608662
1813,0.00027975175180472434
1814,0.00026780288317240775
1815,0.00026116735534742475
1816,0.0002534383675083518
1817,0.00026212146622128785
1818,0.0002689693064894527
1819,0.0002705695806071162
1820,0.00029658860876224935
1821,0.0003661415248643607
1822,0.0003213227028027177
1823,0.0003143942740280181
1824,0.0003129187971353531
1825,0.0003061982279177755
1826,0.0003032841195818037
1827,0.00032690411899238825
1828,0.00030136838904581964
1829,0.00031817820854485035
1830,0.00031020233291201293
1831,0.00032371943234466016
1832,0.00026006283587776124
1833,0.00032565370202064514
1834,0.0003350172482896596
1835,0.00033667549723759294
1836,0.0003242368111386895
1837,0.00034494101419113576
1838,0.0003481778549030423
1839,0.00035358063178136945
1840,0.0003556158335413784
1841,0.00036954667302779853
1842,0.00038101806421764195
1843,0.0003663871029857546
1844,0.00037630004226230085
1845,0.00036782072857022285
1846,0.0003705604176502675
1847,0.0003702161193359643
1848,0.00038367242086678743
1849,0.0003846474864985794
1850,0.0003951045509893447
1851,0.0003807802277151495
1852,0.0003991129924543202
1853,0.00039571375236846507
1854,0.00039812520844861865
1855,0.00040538725443184376
1856,0.00040396166150458157
1857,0.0004343374166637659
1858,0.0004098037024959922
1859,0.000419968506321311
1860,0.0004283529706299305
1861,0.00041617333772592247
1862,0.0004337712307460606
1863,0.00043125791125930846
1864,0.000436496629845351
1865,0.00044016403262503445
1866,0.00043662823736667633
1867,0.0004313868994358927
1868,0.00043967878445982933
1869,0.00046063109766691923
1870,0.00043635713518597186
1871,0.0004399451136123389
1872,0.0004257998079992831
1873,0.0004488096456043422
1874,0.0004366848152130842
1875,0.000446843245299533
1876,0.0004377043806016445
1877,0.00041920531657524407
1878,0.00043425121111795306
1879,0.0004351947864051908
1880,0.00044930115109309554
1881,0.0004446683742571622
1882,0.0004448589461389929
1883,0.00045740109635517
1884,0.00043534612632356584
1885,0.00042886449955403805
1886,0.0004247195029165596
1887,0.00042237050365656614
1888,0.0004238919646013528
1889,0.0004288337077014148
1890,0.0004336799611337483
1891,0.00043259188532829285
1892,0.000440733740106225
1893,0.0004271329671610147
1894,0.0004237742396071553
1895,0.0004083090752828866
1896,0.0004315852711442858
1897,0.00040685891872271895
1898,0.00042173752444796264
1899,0.0004561249807011336
1900,0.00043776960228569806
1901,0.00040603976231068373
1902,0.00040006282506510615
1903,0.0003965991490986198
1904,0.00039846450090408325
1905,0.0003787199384532869
1906,0.0003746860602404922
1907,0.00038340649916790426
1908,0.0003759568789973855
1909,0.000371722097042948
1910,0.00037117162719368935
1911,0.00035711319651454687
1912,0.00035754049895331264
1913,0.0003427170740906149
1914,0.00033937886473722756
1915,0.0003238036879338324
1916,0.0003262890095356852
1917,0.0003200107312295586
1918,0.0003223777748644352
1919,0.0003279404481872916
1920,0.00033573160180822015
1921,0.0003236358461435884
1922,0.0003398449334781617
1923,0.0003480447630863637
