,s
1800,0.0005746377864852548
1801,0.00048766349209472537
1802,0.00045816850615665317
1803,0.0004880473134107888
1804,0.00048637110739946365
1805,0.0005236033466644585
1806,0.0005297733587212861
1807,0.0005142173613421619
1808,0.0005286813247948885
1809,0.0004725538310594857
1810,0.00044570022146217525
1811,0.00046347506577149034
1812,0.0005379435606300831
1813,0.000564922287594527
1814,0.00047827520756982267
1815,0.00047026434913277626
1816,0.0004795172717422247
1817,0.00040982707287184894
1818,0.0004902568180114031
1819,0.0004885137896053493
1820,0.0004624713910743594
1821,0.0005068294703960419
1822,0.0005307785468176007
1823,0.00042372255120426416
1824,0.00048018485540524125
1825,0.0004757776332553476
1826,0.00047305712359957397
1827,0.00047084991820156574
1828,0.0004215113876853138
1829,0.00041443362715654075
1830,0.0004251839709468186
1831,0.0004487170372158289
1832,0.00043795781675726175
1833,0.00040750810876488686
1834,0.0003999511827714741
1835,0.00046033127000555396
1836,0.0003959260939154774
1837,0.000404205871745944
1838,0.0004145244020037353
1839,0.00043657992500811815
1840,0.0004303998430259526
1841,0.00043311374611221254
1842,0.00042462325654923916
1843,0.0004335041739977896
1844,0.0004184153222013265
1845,0.0004186992300674319
1846,0.00043157083564437926
1847,0.0004127572465222329
1848,0.0004293444799259305
1849,0.0004260943387635052
1850,0.0004323857428971678
1851,0.00045908629545010626
1852,0.00045660824980586767
1853,0.00045942061115056276
1854,0.0004682222206611186
1855,0.0004539129731711
1856,0.0004486560064833611
1857,0.0004787605721503496
1858,0.0004490525461733341
1859,0.00046816124813631177
1860,0.0004829604586120695
1861,0.0004510462167672813
1862,0.0004741267766803503
1863,0.00048073817742988467
1864,0.0004891406861133873
1865,0.0004960874211974442
1866,0.00048770805005915463
1867,0.00045875177602283657
1868,0.00046530476538464427
1869,0.000466060359030962
1870,0.0004505949036683887
1871,0.0004487012338358909
1872,0.0004280293651390821
1873,0.00045634384150616825
1874,0.0004491760046221316
1875,0.0004691426584031433
1876,0.0004473483422771096
1877,0.0004677505639847368
1878,0.000484350515762344
1879,0.0004722581070382148
1880,0.00048754006274975836
1881,0.00047637158422730863
1882,0.00045706654782406986
1883,0.00047316725249402225
1884,0.0004676174430642277
1885,0.0004587487783282995
1886,0.0004574361664708704
1887,0.0004792081017512828
1888,0.00048137386329472065
1889,0.0004521189839579165
1890,0.00046304555144160986
1891,0.00046196518815122545
1892,0.00046429975191131234
1893,0.00044063065433874726
1894,0.00046900767483748496
1895,0.000434503162978217
1896,0.00047274003736674786
1897,0.00046228012070059776
1898,0.00047349315718747675
1899,0.0004828572564292699
1900,0.0004607774899341166
1901,0.00046267613652162254
1902,0.0004563521360978484
1903,0.000462000461993739
1904,0.0004680801066569984
1905,0.0004413104907143861
1906,0.0004515191831160337
1907,0.0004462782817427069
1908,0.0004394796851556748
1909,0.0004111450398340821
1910,0.00040893323603086174
1911,0.00040809152415022254
1912,0.00040838521090336144
1913,0.0004071137518621981
1914,0.0004128105647396296
1915,0.0003914675035048276
1916,0.0003818279365077615
1917,0.00038291345117613673
1918,0.0003698847140185535
1919,0.00038336592842824757
1920,0.000379699602490291
1921,0.0003748784656636417
1922,0.0003955580177716911
1923,0.0004134173796046525
1924,0.0003969050303567201
1925,0.00039393806946463883
1926,0.0003766385780181736
1927,0.0003944253548979759
1928,0.0003808038018178195
1929,0.0003937947330996394
1930,0.0003971019177697599
1931,0.00039063551230356097
1932,0.0003850851207971573
1933,0.00038102359394542873
1934,0.00038480368675664067
1935,0.00039689522236585617
1936,0.000417390518123284
1937,0.0003921158204320818
1938,0.0003967795637436211
1939,0.00039943252340890467
1940,0.0004215172666590661
1941,0.0003946860961150378
1942,0.0003980910696554929
1943,0.00039322205702774227
1944,0.0004245852760504931
1945,0.0004069996066391468
1946,0.0003995492297690362
1947,0.0004074569442309439
1948,0.0004036812169943005
1949,0.00040491041727364063
1950,0.000424202939029783
1951,0.00042093941010534763
1952,0.00044868618715554476
1953,0.00044468126725405455
1954,0.00042273133294656873
1955,0.00043644089601002634
1956,0.00043315350194461644
1957,0.0004585442948155105
1958,0.0004454771406017244
1959,0.0004388545930851251
1960,0.0004599838284775615
1961,0.00046297983499243855
1962,0.00046641004155389965
1963,0.00046926678624004126
1964,0.0004732508969027549
1965,0.00046553253196179867
1966,0.00047308873035945
1967,0.00046987144742161036
1968,0.00047496482147835195
1969,0.00046160363126546144
1970,0.0004834725405089557
1971,0.00046696278150193393
1972,0.0004883852088823915
1973,0.0004773458349518478
1974,0.00048509801854379475
1975,0.0004903681692667305
1976,0.0005024688434787095
1977,0.0005056664813309908
1978,0.0005107338656671345
1979,0.0005361069343052804
1980,0.0005410068552009761
1981,0.0005550266359932721
1982,0.0005643009790219367
1983,0.0005597940762527287
1984,0.0005493126227520406
1985,0.0005827771383337677
1986,0.000574513163883239
1987,0.0005816530319862068
1988,0.0005894803325645626
1989,0.0006012071389704943
1990,0.0006073802360333502
1991,0.0005939732654951513
1992,0.0006242516683414578
1993,0.0006026331102475524
1994,0.0006171093555167317
1995,0.0006316426442936063
1996,0.000641943421214819
1997,0.0006370696937665343
1998,0.0006464842008426785
1999,0.0006539334426634014
2000,0.000659812823869288
2001,0.0006503982585854828
2002,0.0006577438907697797
2003,0.0006493989494629204
2004,0.0006617179606109858
2005,0.0006532041006721556
2006,0.000643426610622555
2007,0.0006637774058617651
2008,0.0006614092853851616
2009,0.0006679114885628223
2010,0.0006547134253196418
2011,0.0006821089773438871
2012,0.0006577188614755869
2013,0.000665670377202332
2014,0.0006828214391134679
2015,0.000698014278896153
2016,0.0007214717916212976
2017,0.000651489244773984
2018,0.0006485591875389218
2019,0.0006688200519420207
