,services
1946,0.0001944569667102769
1947,0.00019310247444082052
1948,0.00018131772230844945
1949,0.00018656848988030106
1950,0.00017480789392720908
1951,0.00018572113185655326
1952,0.00017832887533586472
1953,0.0001812543923733756
1954,0.00018783578707370907
1955,0.00018599223403725773
1956,0.00018251649453304708
1957,0.00018967001233249903
1958,0.00017971658962778747
1959,0.00018671972793526947
1960,0.00019635747594293207
1961,0.00018651937716640532
1962,0.0001780573365977034
1963,0.0001785860804375261
1964,0.00018361346155870706
1965,0.00019784504547715187
1966,0.00019652358605526388
1967,0.0002105038147419691
1968,0.00019632540352176875
1969,0.0002075987431453541
1970,0.00021379755344241858
1971,0.000228760254685767
1972,0.00023477847571484745
1973,0.0002498449175618589
1974,0.00025292043574154377
1975,0.00026028003776445985
1976,0.00027514813700690866
1977,0.0002897177473641932
1978,0.0002881973923649639
1979,0.000277778715826571
1980,0.00027233382570557296
1981,0.0002752472064457834
1982,0.00026391728897579014
1983,0.00025664104032330215
1984,0.00029043565155006945
1985,0.00026606646133586764
1986,0.00025905758957378566
1987,0.00026166706811636686
1988,0.0002724334772210568
1989,0.0002981385914608836
1990,0.00027326398412697017
1991,0.0002741065400186926
1992,0.00027509525534696877
1993,0.00028656795620918274
1994,0.00031619120272807777
1995,0.00030906812753528357
1996,0.00030147910001687706
1997,0.00030829652678221464
1998,0.0002912707277573645
1999,0.0002827606222126633
2000,0.00027007769676856697
2001,0.0002692199486773461
2002,0.0002596308768261224
2003,0.000245845498284325
2004,0.00023396573669742793
2005,0.00023980603145901114
2006,0.00022701807029079646
2007,0.00021790503524243832
2008,0.00019577985221985728
2009,0.0001790482783690095
2010,0.0001669281773502007
2011,0.0001484486710978672
2012,0.00013472142745740712
2013,0.00013292730727698654
2014,0.00012095847341697663
2015,0.00011899968376383185
2016,0.00012971990508958697
2017,0.00010747808846645057
2018,0.00010297721746610478
2019,0.00011035675561288372
