,people
1800,0.0005431400495581329
1801,0.0005487829330377281
1802,0.0005206185160204768
1803,0.00046029131044633687
1804,0.0005542911239899695
1805,0.0005257336306385696
1806,0.0005025891005061567
1807,0.0005407621501944959
1808,0.0005364976241253316
1809,0.0005155685357749462
1810,0.0005081851850263774
1811,0.0005560158751904964
1812,0.0005531260394491255
1813,0.0005332714063115418
1814,0.0005729625700041652
1815,0.000525801966432482
1816,0.0005263388738967478
1817,0.0005816512857563794
1818,0.0005815481999889016
1819,0.0004806516517419368
1820,0.0005392099265009165
1821,0.0004901913926005363
1822,0.0005203029722906649
1823,0.0005095129017718136
1824,0.0004819576279260218
1825,0.0005327500985004008
1826,0.0004889324773102999
1827,0.0004809189704246819
1828,0.0005026759463362396
1829,0.0005077609675936401
1830,0.0005372567102313042
1831,0.0005719344480894506
1832,0.0004509459831751883
1833,0.0005685904179699719
1834,0.00053362239850685
1835,0.0005085859447717667
1836,0.0005380119546316564
1837,0.000538643856998533
1838,0.0005234297714196146
1839,0.0005027087172493339
1840,0.0005153578240424395
1841,0.0005208607180975378
1842,0.0004786102508660406
1843,0.0005058927345089614
1844,0.0005385885597206652
1845,0.00046074215788394213
1846,0.000490289821755141
1847,0.0004907507100142539
1848,0.0005286277737468481
1849,0.0004962075618095696
1850,0.0004949108115397394
1851,0.00047454889863729477
1852,0.00046643809764645994
1853,0.000494364183396101
1854,0.0004693723749369383
1855,0.00045113000669516623
1856,0.00046980459592305124
1857,0.00042479042895138264
1858,0.00044817713205702603
1859,0.00042460174881853163
1860,0.00044919978245161474
1861,0.00044338093721307814
1862,0.00043672736501321197
1863,0.0004373994015622884
1864,0.00042600848246365786
1865,0.0004434500297065824
1866,0.0004732557281386107
1867,0.0004307097406126559
1868,0.00045166254858486354
1869,0.0004284274473320693
1870,0.00043663845281116664
1871,0.00042767389095388353
1872,0.00045799341751262546
1873,0.00039583593024872243
1874,0.0004058792255818844
1875,0.0004172488406766206
1876,0.00042508210754022
1877,0.0004256881366018206
1878,0.0004064728564117104
1879,0.0004024174122605473
1880,0.00040594369056634605
1881,0.00041887364932335913
1882,0.00041996565414592624
1883,0.0003976610314566642
1884,0.0004021869972348213
1885,0.0004105408734176308
1886,0.00040613114833831787
1887,0.00038981251418590546
1888,0.0004099507350474596
1889,0.00040624363464303315
1890,0.0004049236886203289
1891,0.0003969665558543056
1892,0.00039354112232103944
1893,0.00039339816430583596
1894,0.00040492566768079996
1895,0.00037662973045371473
1896,0.0003923978947568685
1897,0.00038721345481462777
1898,0.00039091845974326134
1899,0.0004091000009793788
1900,0.00041955619235523045
1901,0.00039626151556149125
1902,0.00039033323992043734
1903,0.0003788627509493381
1904,0.00038948620203882456
1905,0.00037045846693217754
1906,0.0003662796225398779
1907,0.00037030442035757005
1908,0.0003762634878512472
1909,0.00038002594374120235
1910,0.00036260366323404014
1911,0.0003578726318664849
1912,0.00036864925641566515
1913,0.0003683022514451295
1914,0.0003627566038630903
1915,0.00034869942464865744
1916,0.0003729728632606566
1917,0.00036988130887039006
1918,0.00038298717117868364
1919,0.00039794185431674123
1920,0.0003865485778078437
1921,0.00035610012128017843
1922,0.00035893835593014956
1923,0.0003535870637279004
1924,0.0003829569905065
1925,0.00034936630981974304
1926,0.00036055390955880284
1927,0.00035110130556859076
1928,0.00035403217771090567
1929,0.0003515067510306835
1930,0.0003582501085475087
1931,0.00034088458050973713
1932,0.0003697869542520493
1933,0.0003415272803977132
1934,0.000373095361283049
1935,0.000376308336853981
1936,0.00037133306614123285
1937,0.00037655801861546934
1938,0.00039862337871454656
1939,0.0003932335239369422
1940,0.0003903091710526496
1941,0.00039707086398266256
1942,0.00042300301720388234
1943,0.0004429647233337164
1944,0.0004546622803900391
1945,0.00045436384971253574
1946,0.0004530394508037716
1947,0.00046226027188822627
1948,0.0004482863296288997
1949,0.00042440573452040553
1950,0.00044144195271655917
1951,0.0004526401753537357
1952,0.0004460215277504176
1953,0.00044331199023872614
1954,0.00043638909119181335
1955,0.00044974617776460946
1956,0.0004642946005333215
1957,0.00043894958798773587
1958,0.0004440925258677453
1959,0.00045035965740680695
1960,0.00046094413846731186
1961,0.0004543539835140109
1962,0.0004537328495644033
1963,0.00045318721095100045
1964,0.00046389480121433735
1965,0.00047983339754864573
1966,0.0004846027004532516
