,l
1800,0.00012002624134765938
1801,7.850866677472368e-05
1802,0.0001063542440533638
1803,0.00014496127550955862
1804,0.00012500649609137326
1805,0.00010947896225843579
1806,0.00013273449440021068
1807,0.00013167757424525917
1808,0.00012131794937886298
1809,0.00013007216330152005
1810,0.00013144323020242155
1811,0.0001532889873487875
1812,0.0002025154826696962
1813,0.00015279433864634484
1814,0.0001583197881700471
1815,0.00015814279322512448
1816,0.00019275984959676862
1817,0.00013878017489332706
1818,0.00013783622125629336
1819,0.0001670707279117778
1820,0.00013835819845553488
1821,0.00014117168029770255
1822,0.00013624147686641663
1823,0.0001312762760790065
1824,0.0001222891587531194
1825,0.00012542818149086088
1826,0.00013826410577166826
1827,0.00011763103248085827
1828,0.00011843950778711587
1829,0.00011766946408897638
1830,0.00013210519682615995
1831,0.00013633734488394111
1832,0.00012080176384188235
1833,0.00014295033179223537
1834,0.00013494250015355647
1835,0.0001377307780785486
1836,0.00014697313599754125
1837,0.00013890911941416562
1838,0.0001372987899230793
1839,0.0001397397427354008
1840,0.00013909972039982677
1841,0.0001368270313832909
1842,0.00013249125913716853
1843,0.00014008075231686234
1844,0.00012536559370346367
1845,0.00013450715050566941
1846,0.0001372378465021029
1847,0.00015505609917454422
1848,0.0001608246675459668
1849,0.00014959971304051578
1850,0.00016194320050999522
1851,0.00012071801029378548
1852,0.00012954887642990798
1853,0.0001324611803283915
1854,0.00012978166341781616
1855,0.00012144858919782564
1856,0.00011077608360210434
1857,0.00012415942910593003
1858,0.0001220890408148989
1859,0.00011773487494792789
1860,0.00012613029684871435
1861,0.00011659884330583736
1862,0.00011493007332319394
1863,0.00011074869689764455
1864,0.00010991359158651903
1865,0.00011921671102754772
1866,0.00011774810991482809
1867,0.00011538140097400174
1868,0.00011527274909894913
1869,0.00011857235949719325
1870,0.00011011835158569738
1871,0.00010213137284154072
1872,0.00010264466254739091
1873,0.00010368865332566202
1874,0.00010350710363127291
1875,0.00010876299347728491
1876,0.00010349731746828184
1877,0.00011276674194959924
1878,0.00011181607260368764
1879,0.00011251572141190991
1880,0.00011579741112655029
1881,0.00010779984586406499
1882,0.00010778749856399372
1883,0.00011088255268987268
1884,0.00011562196596059948
1885,0.00011698921298375353
1886,0.00011594485840760171
1887,0.00011594504758249968
1888,0.00011993379303021356
1889,0.00012043253082083538
1890,0.00011477843509055674
1891,0.00010637529339874163
1892,0.00011720640759449452
1893,0.00011979287228314206
1894,0.00012390146730467677
1895,0.00011824306420749053
1896,0.00011299267498543486
1897,0.00011314922448946163
1898,0.00010827645746758208
1899,0.00011225433263462037
1900,0.00011832820746349171
1901,0.00012492785754147917
1902,0.00012834137305617332
1903,0.00012525345664471388
1904,0.00011562096915440634
1905,0.00011119470582343638
1906,0.00010993287287419662
1907,0.00010560914961388335
1908,0.00010938940977212042
1909,0.0001110985831473954
1910,0.00011060261749662459
1911,0.0001117737265303731
1912,0.00010798223956953734
1913,0.00011542579159140587
1914,0.00010825657955138013
1915,0.00010533355816733092
1916,0.00010569091682555154
1917,0.00010380186722613871
1918,0.00010873402789002284
1919,0.00011231825919821858
1920,0.00010901272617047653
1921,0.00011647119390545413
1922,0.0001120764936786145
1923,9.783803398022428e-05
1924,9.02606116142124e-05
1925,9.950326784746721e-05
1926,8.383606473216787e-05
1927,7.698030094616115e-05
1928,8.326651732204482e-05
1929,7.796145655447617e-05
1930,8.635456470074132e-05
1931,8.71990923769772e-05
1932,8.411987801082432e-05
1933,9.01195962796919e-05
1934,9.553902054904029e-05
1935,0.00010330961231375113
1936,0.00011914800415979698
1937,0.0001249132474185899
1938,0.00011223016190342605
1939,0.00011265152716077864
1940,0.00012837976100854576
1941,0.00013378830044530332
1942,0.00012140811304561794
1943,0.00010578265937510878
1944,0.00011477613588795066
1945,0.0001169223032775335
1946,0.0001287106570089236
1947,0.00014550947526004165
1948,0.0001309744402533397
1949,0.000130714921397157
1950,0.00013858545571565628
1951,0.00014258723240345716
1952,0.00014642365567851812
1953,0.00014091840421315283
1954,0.0001506427797721699
1955,0.00014604743046220392
1956,0.00014493768685497344
1957,0.0001540415978524834
1958,0.00015339934907387942
1959,0.00015812853234820068
1960,0.00015401732525788248
1961,0.00016588799189776182
1962,0.0001547175634186715
1963,0.00015568165690638125
1964,0.00015909000649116933
1965,0.00015832790813874453
1966,0.00015433818043675274
1967,0.0001546955172671005
1968,0.00016739264538045973
1969,0.00016866877558641136
1970,0.00018192814604844898
1971,0.00017937898519448936
1972,0.00019914537551812828
1973,0.0001947849668795243
1974,0.00021308519353624433
1975,0.0002188808866776526
1976,0.0002267404634039849
1977,0.0002374811883782968
1978,0.00023716481518931687
1979,0.00023117403907235712
1980,0.00022520223865285516
1981,0.0002243791677756235
1982,0.00020425561524461955
1983,0.00020862490055151284
1984,0.00020096269145142287
1985,0.0001972184982150793
1986,0.00018047282355837524
1987,0.0001757545251166448
1988,0.00016234107897616923
1989,0.0001616096415091306
1990,0.0001481132785556838
1991,0.0001446341339033097
1992,0.00014648627256974578
1993,0.00014352393918670714
1994,0.00012837386748287827
1995,0.0001277272531297058
1996,0.0001307804195675999
1997,0.0001345180644420907
1998,0.00013448104436974972
1999,0.00013169411977287382
2000,0.0001251520443474874
2001,0.00012725901615340263
2002,0.00012032212543999776
