,type
1940,0.00027506082551553845
1941,0.0002675230207387358
1942,0.00026818839251063764
1943,0.00026798428734764457
1944,0.0002792143786791712
1945,0.00026815844466909766
1946,0.00027101486921310425
1947,0.0002714493894018233
1948,0.0002836587082128972
1949,0.0002881863620132208
1950,0.0002879351086448878
1951,0.00028363632736727595
1952,0.0002818341599777341
1953,0.00028915307484567165
1954,0.000292337586870417
1955,0.0002841754467226565
1956,0.00029320447356440127
1957,0.0002896352962125093
1958,0.00029596593230962753
1959,0.0002923088031820953
1960,0.0002884104906115681
1961,0.00027858634712174535
1962,0.0002784338139463216
1963,0.00027323616086505353
1964,0.0002742509823292494
1965,0.00025707940221764147
1966,0.000256374420132488
1967,0.0002469505707267672
1968,0.0002434777852613479
1969,0.0002386086998740211
1970,0.0002392507449258119
1971,0.00023720513854641467
1972,0.00024331390159204602
1973,0.00023534908541478217
1974,0.00023985384905245155
1975,0.00024107620993163437
1976,0.0002378541830694303
1977,0.0002385868865530938
1978,0.00023428919666912407
1979,0.00023189307830762118
1980,0.0002378938952460885
1981,0.00023327535018324852
1982,0.00022864164202474058
1983,0.00023764450452290475
1984,0.0002298055769642815
1985,0.00022680785332340747
1986,0.00022652535699307919
1987,0.00022376597917173058
1988,0.00021865006419830024
1989,0.00021564732014667243
1990,0.0002205482596764341
1991,0.00021734795882366598
1992,0.0002174190158257261
1993,0.0002160724252462387
1994,0.00021462466975208372
1995,0.0002069761249003932
1996,0.00020838601631112397
1997,0.00021011165517847985
1998,0.00020570805645547807
1999,0.0002008307201322168
2000,0.00019965287356171757
2001,0.00019578557112254202
2002,0.00020100879191886634
2003,0.00020390946883708239
2004,0.00019567651906982064
2005,0.00019301580323372036
2006,0.00019251881167292595
2007,0.00018700356304179877
2008,0.00018099226872436702
2009,0.00017456375644542277
2010,0.0001769729278748855
2011,0.00017738407768774778
2012,0.0002026064757956192
2013,0.000187744022696279
2014,0.0001581599353812635
2015,0.00015586016525048763
2016,0.0001608423190191388
2017,0.00014364648086484522
2018,0.000141224343678914
2019,0.00014731554256286472
