,m
1950,0.00012194828741485253
1951,9.865889296634123e-05
1952,9.739847882883623e-05
1953,9.576618322171271e-05
1954,0.00010174424096476287
1955,9.665100515121594e-05
1956,0.00010007101809605956
1957,0.00010532214218983427
1958,0.00011817647464340553
1959,0.00010182688856730238
1960,0.00010902918438659981
1961,0.00011333786824252456
1962,0.00011669711966533214
1963,0.00011841572995763272
1964,0.00013026836677454412
1965,0.00012572662672027946
1966,0.0001234601513715461
1967,0.00012079454609192908
1968,0.00011154238745803013
1969,0.0001288468629354611
1970,0.00012547349615488201
1971,0.00013469719851855189
1972,0.00013914244482293725
1973,0.0001341874012723565
1974,0.00014627276686951518
1975,0.00014968900359235704
1976,0.00015945338236633688
1977,0.00015802514099050313
1978,0.00016261609562207013
1979,0.00016067411343101412
1980,0.0001635165244806558
1981,0.00017210899386554956
1982,0.0001665648160269484
1983,0.0001745901390677318
1984,0.0001613734639249742
1985,0.00017272702825721353
1986,0.00016236248484347016
1987,0.00016958526975940913
1988,0.00016554923786316067
1989,0.000154988985741511
1990,0.00015468502533622086
1991,0.0001510449219495058
1992,0.0001483617816120386
1993,0.00014992404612712562
1994,0.0001519962097518146
1995,0.00014856032794341445
1996,0.00014578936679754406
1997,0.00015068234642967582
1998,0.00013800369924865663
1999,0.00013470853446051478
2000,0.00013553386088460684
2001,0.0001357825385639444
2002,0.00012832351785618812
2003,0.00013253168435767293
2004,0.0001237145479535684
2005,0.00012567623343784362
2006,0.00012186879030195996
2007,0.00011754264414776117
2008,0.00010641277185641229
2009,0.00010950778232654557
2010,0.00010456390009494498
2011,0.00011609322245931253
2012,0.00012745687854476273
2013,0.00012530575622804463
2014,0.00011261037434451282
2015,0.00010540557559579611
2016,0.00012117761798435822
2017,0.0001248584158020094
2018,0.00014578690752387047
2019,0.00014077528612688184
