,times
1800,0.0002461639232933521
1801,0.0002557951956987381
1802,0.0002403000253252685
1803,0.00022095319582149386
1804,0.00023500270617660135
1805,0.0002516867534723133
1806,0.00024135354033205658
1807,0.0002517826505936682
1808,0.0002406745625194162
1809,0.0002635178971104324
1810,0.00024724070681259036
1811,0.00023778484319336712
1812,0.00022981432266533375
1813,0.00023413586313836277
1814,0.0002443902485538274
1815,0.00024168399977497756
1816,0.000245546514634043
1817,0.00024138906155712903
1818,0.00023357027384918183
1819,0.0002464467252139002
1820,0.00023316497390624136
1821,0.00023886204871814698
1822,0.0002415633061900735
1823,0.00023792193678673357
1824,0.00022886283113621175
1825,0.00023603418958373368
1826,0.00023163939476944506
1827,0.00022868455562274903
1828,0.00023474388581234962
1829,0.00024241778010036796
1830,0.0002398386423010379
1831,0.00023722588957753032
1832,0.0002173174434574321
1833,0.00023345810768660158
1834,0.0002350543363718316
1835,0.00023662378953304142
1836,0.00022837570577394217
1837,0.00023149291519075632
1838,0.00023334783327300102
1839,0.00023585213057231158
1840,0.00023837426851969212
1841,0.00023892904573585838
1842,0.00024243489315267652
1843,0.0002348449925193563
1844,0.00023802219948265702
1845,0.00023822624643798918
1846,0.0002338655904168263
1847,0.00023504380078520626
1848,0.00024039376876316965
1849,0.00023599783889949322
1850,0.0002344501845072955
1851,0.00023231242084875703
1852,0.0002304075169377029
1853,0.00022633424669038504
1854,0.0002325073874089867
1855,0.00022878276649862528
1856,0.00022934591106604785
1857,0.00023133220383897424
1858,0.00023057351063471287
1859,0.0002327979455003515
1860,0.000228766817599535
1861,0.0002322400250704959
1862,0.0002298580075148493
1863,0.0002383160317549482
1864,0.0002229738311143592
1865,0.00022066023666411638
1866,0.00022000999888405204
1867,0.00021721419761888683
1868,0.00021946696506347507
1869,0.00022283793077804148
1870,0.00022209457529243082
1871,0.00022181983513291925
1872,0.00022152578458189964
1873,0.0002229607052868232
1874,0.0002194340922869742
1875,0.00021803566778544337
1876,0.00022384879412129521
1877,0.00021648718393407762
1878,0.00022107569384388626
1879,0.00021835313236806542
1880,0.00021773521439172328
1881,0.0002162100572604686
1882,0.00021395416115410626
1883,0.00021618581376969814
1884,0.0002097074902849272
1885,0.00020996206148993224
1886,0.00020709795353468508
1887,0.0002027713053394109
1888,0.00020469885203056037
1889,0.00020854115427937359
1890,0.00021361798280850053
1891,0.000213515930227004
1892,0.00021081932936795056
1893,0.0002118013653671369
1894,0.00021833878417965025
1895,0.00021329082665033638
1896,0.00021253291924949735
1897,0.00020942107948940247
1898,0.00020912906620651484
1899,0.00021037380793131888
1900,0.00020444890833459795
1901,0.00020429751020856202
1902,0.00020221143495291471
1903,0.00020347570534795523
1904,0.00020161501015536487
1905,0.0002003046975005418
1906,0.00019489492115098983
1907,0.00020169820345472544
1908,0.00020415835024323314
1909,0.00020363506337162107
1910,0.00020267975924070925
1911,0.00019990932196378708
1912,0.00019536982290446758
1913,0.00019882351625710726
1914,0.00019492246792651713
1915,0.00019924022490158677
1916,0.00020113518985453993
1917,0.0002029104216489941
1918,0.00020845892140641809
1919,0.00020312097331043333
1920,0.00020273654081393033
1921,0.00020425319962669164
1922,0.0002024074929067865
1923,0.00019910003175027668
1924,0.0001971407764358446
1925,0.00019825676281470805
1926,0.0001976117491722107
1927,0.00020055630011484027
1928,0.00019906670786440372
1929,0.00019944227824453264
1930,0.00020081688126083463
1931,0.00020099557877983898
1932,0.00020644196774810553
1933,0.00020196492550894618
1934,0.00019916625751648098
1935,0.00019339605933055282
1936,0.00019373733084648848
1937,0.00019339304708410054
1938,0.00019211330800317228
1939,0.00019311188952997327
1940,0.00019473514112178236
1941,0.0001941714290296659
1942,0.00019756538677029312
1943,0.00019826470816042274
1944,0.00019466389494482428
1945,0.00018815435760188848
1946,0.00018931084196083248
1947,0.000190502789337188
1948,0.00019417016301304102
1949,0.00018650037236511707
1950,0.0001888072001747787
1951,0.00019101354700978845
1952,0.0001908512640511617
1953,0.00018913560779765248
1954,0.0001910212595248595
1955,0.00018888700287789106
1956,0.00019001291366294026
1957,0.0001900725910672918
1958,0.00019407091895118356
1959,0.0001921044895425439
1960,0.00019011100812349468
1961,0.00019035799778066576
1962,0.00019045719818677753
1963,0.0001891924621304497
1964,0.00019014341523870826
1965,0.00018824623839464039
1966,0.00018456572433933616
1967,0.0001835242292145267
1968,0.00018537680443841964
1969,0.00018554212874732912
1970,0.00018333338084630668
1971,0.00018113062833435833
1972,0.00018008572806138545
1973,0.0001768615038599819
1974,0.00017955899238586426
1975,0.000177160429302603
1976,0.00017440927331335843
1977,0.00017287247464992106
1978,0.00016988834249787033
1979,0.00016958727792371064
1980,0.00017292052507400513
1981,0.00017265854694414884
1982,0.00017092442431021482
1983,0.00017191082588396966
1984,0.0001713661040412262
1985,0.00016893638530746102
1986,0.00017054997442755848
1987,0.00017173246305901557
1988,0.00017017136269714683
1989,0.0001683874725131318
1990,0.00016977683117147535
1991,0.00017101876437664032
1992,0.0001700071443337947
1993,0.0001695181999821216
1994,0.0001701014261925593
1995,0.00016722202417440712
1996,0.0001718237908789888
1997,0.00017411989392712712
1998,0.00017697492148727179
1999,0.00017628412751946598
2000,0.0001811183465179056
2001,0.0001815162249840796
2002,0.00018357930821366608
2003,0.00018864928279072046
2004,0.000190753533388488
2005,0.00019022122432943434
2006,0.0001932739542098716
2007,0.0001920514041557908
2008,0.00019639302627183497
2009,0.00020469755691010505
2010,0.0002100605925079435
2011,0.000211847378523089
2012,0.00020686713105533272
2013,0.00020521177793852985
2014,0.00020628988568205386
2015,0.0002055236982414499
2016,0.00020136291277594864
2017,0.00020069925813004375
2018,0.00019894950673915446
2019,0.00020531397603917867
