,class
1800,6.717818178003654e-05
1801,5.648962178383954e-05
1802,5.715541556128301e-05
1803,4.892748984275386e-05
1804,5.775931276730262e-05
1805,6.251599552342668e-05
1806,6.471491360571235e-05
1807,7.02508186805062e-05
1808,5.3350740927271545e-05
1809,7.536761404480785e-05
1810,5.587106352322735e-05
1811,5.210352537687868e-05
1812,5.3545241826213896e-05
1813,7.631021435372531e-05
1814,6.20114296907559e-05
1815,7.434091094182804e-05
1816,6.81453529978171e-05
1817,7.475602615159005e-05
1818,8.065942529356107e-05
1819,8.543033618479967e-05
1820,7.255969831021503e-05
1821,7.397899753414094e-05
1822,6.946372013771906e-05
1823,7.594509224873036e-05
1824,7.59075628593564e-05
1825,7.616243237862363e-05
1826,8.241512114182115e-05
1827,8.438107033725828e-05
1828,8.819835056783631e-05
1829,9.303451224695891e-05
1830,9.027099440572783e-05
1831,9.920568845700473e-05
1832,0.00011220841406611726
1833,0.00010320595902157947
1834,0.00010299119458068162
1835,0.00010618503438308835
1836,0.00010696234676288441
1837,0.00010429070971440524
1838,0.00010450554691487923
1839,0.00010581021342659369
1840,9.936019341694191e-05
1841,0.0001112098980229348
1842,0.00011206338967895135
1843,0.00011213306424906477
1844,0.00010604519047774374
1845,0.00011842176900245249
1846,0.0001130781602114439
1847,0.0001176511577796191
1848,0.00011843588436022401
1849,0.00012704281834885478
1850,0.00012526652426458895
1851,0.00012534279085230082
1852,0.0001239731936948374
1853,0.00012307731958571821
1854,0.00012858859554398805
1855,0.0001261388824786991
1856,0.00012651659199036658
1857,0.00012750507448799908
1858,0.0001356278226012364
1859,0.0001374050189042464
1860,0.0001388625823892653
1861,0.00014844592078588903
1862,0.000148612933116965
1863,0.00014678081788588315
1864,0.0001512834132881835
1865,0.0001503514649812132
1866,0.00015019821876194328
1867,0.00015778203669469804
1868,0.0001612381893210113
1869,0.00015603340580128133
1870,0.0001602235424797982
1871,0.00015427032485604286
1872,0.00016237105592153966
1873,0.000158601877046749
1874,0.00016175647033378482
1875,0.00015904981410130858
1876,0.00016004557255655527
1877,0.00015403020370285958
1878,0.00016150511510204524
1879,0.000158940049004741
1880,0.00015420146519318223
1881,0.00015729558072052896
1882,0.00015518530562985688
1883,0.00015522244211751968
1884,0.00016766006592661142
1885,0.00016540400974918157
1886,0.00016809694352559745
1887,0.00016267319733742625
1888,0.00016437649901490659
1889,0.00016172802133951336
1890,0.0001646956370677799
1891,0.0001750112569425255
1892,0.00017436491907574236
1893,0.00017443537944927812
1894,0.00017809757264330983
1895,0.00016817168216221035
1896,0.00017105434380937368
1897,0.0001738336868584156
1898,0.0001712904340820387
1899,0.00016602272808086127
1900,0.0001726495975162834
1901,0.00018353009363636374
1902,0.0001844342186814174
1903,0.00018721475498750806
1904,0.00018596411973703653
1905,0.00018991265096701682
1906,0.00018904665193986148
1907,0.0001972280879272148
1908,0.00019683039863593876
1909,0.00020146448514424264
1910,0.00019592963508330286
1911,0.00019995130423922092
1912,0.00020051884348504245
1913,0.00020737620070576668
1914,0.0002037196682067588
1915,0.00020213572133798152
1916,0.00020283904450479895
1917,0.00019914961012545973
1918,0.000198802663362585
1919,0.00020226753258612007
1920,0.00020046391000505537
1921,0.00019974556926172227
1922,0.00018899758288171142
1923,0.00018983607878908515
1924,0.00019127866835333407
1925,0.00019374304974917322
1926,0.00018648547120392323
1927,0.00018959339649882168
1928,0.00019226614676881582
1929,0.00018665932293515652
1930,0.00019325334869790822
1931,0.0001939929206855595
1932,0.0001891065330710262
1933,0.00018995154823642224
1934,0.00018595859000924975
1935,0.0001819384633563459
1936,0.0001790551032172516
1937,0.00017366019892506301
1938,0.00016944922390393913
1939,0.00017486432625446469
1940,0.00017074125935323536
1941,0.0001827256055548787
1942,0.0001572854380356148
1943,0.00015600596088916063
1944,0.000148367413203232
1945,0.0001560438540764153
1946,0.00014286660007201135
1947,0.00014478758384939283
1948,0.00014633660612162203
1949,0.00015123237972147763
1950,0.00014104227011557668
1951,0.00014313534484244883
1952,0.00014045840362086892
1953,0.00014467294386122376
1954,0.000149262385093607
1955,0.0001392682606820017
1956,0.0001426033559255302
1957,0.0001414900179952383
1958,0.0001440954947611317
1959,0.0001420790795236826
1960,0.00014556852693203837
1961,0.00014426936104428023
1962,0.00014539327821694314
1963,0.0001476542529417202
1964,0.00014725101937074214
1965,0.00014626608754042536
1966,0.00014643768372479826
1967,0.00015286332927644253
1968,0.00016704494191799313
1969,0.00015984511992428452
1970,0.0001649016485316679
1971,0.00016371185483876616
1972,0.00016438026796095073
