,children
1800,0.000264696660451591
1801,0.0002080710546579212
1802,0.0001886536629172042
1803,0.00016263441648334265
1804,0.00019841639732476324
1805,0.00018193820142187178
1806,0.0001870317355496809
1807,0.00017656668205745518
1808,0.0001828049134928733
1809,0.00018054890097118914
1810,0.00017070778994821012
1811,0.0002041107218246907
1812,0.0001634320942685008
1813,0.0001679279375821352
1814,0.000174475644598715
1815,0.00018848069885279983
1816,0.0002051448536803946
1817,0.00019370920199435204
1818,0.0002099984121741727
1819,0.00024105799093376845
1820,0.00020128884352743626
1821,0.00019907030218746513
1822,0.000197800894966349
1823,0.00020792400755453855
1824,0.00019263545982539654
1825,0.00021053403906989843
1826,0.000203210991458036
1827,0.0002100992714986205
1828,0.00022137998894322664
1829,0.00021212654246482998
1830,0.00020727587980218232
1831,0.00021897554688621312
1832,0.0001741165469866246
1833,0.00021869047486688942
1834,0.00021726770501118153
1835,0.0002650635433383286
1836,0.00022935200831852853
1837,0.00021703413221985102
1838,0.00023622394655831158
1839,0.00022695820371154696
1840,0.00021996055147610605
1841,0.0002217583532910794
1842,0.00023019588843453676
1843,0.00022071639250498265
1844,0.00024375140492338687
1845,0.00020433306053746492
1846,0.00021556027058977634
1847,0.00022609997540712357
1848,0.00022189471928868443
1849,0.00021713483147323132
1850,0.00022799370344728231
1851,0.0002099583944072947
1852,0.00021662740618921816
1853,0.00021681183716282248
1854,0.00022838477161712945
1855,0.00022195119527168572
1856,0.00021225617092568427
1857,0.0002191003004554659
1858,0.00021869331249035895
1859,0.0002162950113415718
1860,0.00022332119988277555
1861,0.00023107268498279154
1862,0.00021279991779010743
1863,0.0002079757978208363
1864,0.000199773334315978
1865,0.0002032646007137373
1866,0.00020122157002333552
1867,0.00020471622701734304
1868,0.00021357151854317635
1869,0.00021845661103725433
1870,0.0002297066675964743
1871,0.00022042896307539195
1872,0.00021315233607310802
1873,0.00021242709772195667
1874,0.00020578093244694173
1875,0.00021130770619492978
1876,0.00021798863599542528
1877,0.0002007919829338789
1878,0.0001978940999833867
1879,0.0002071377239190042
1880,0.0002092956128763035
1881,0.00022363541938830167
1882,0.00021338324586395174
1883,0.00021699245553463697
1884,0.00021701041259802878
1885,0.0002178316208301112
1886,0.00021860891138203442
1887,0.00021137586736585945
1888,0.000207866367418319
1889,0.00021812263003084809
1890,0.0002135895483661443
1891,0.00020871878950856626
1892,0.00021081218437757343
1893,0.00019880833860952407
1894,0.00020053927437402308
1895,0.0001981038658414036
1896,0.00021277749328874052
1897,0.00020793837029486895
1898,0.00021150038810446858
1899,0.0002155713300453499
1900,0.00021658737387042493
1901,0.00021635059965774417
1902,0.00021837324311491102
1903,0.00021384646242950112
1904,0.00022212510521057993
1905,0.0002123219455825165
1906,0.00022391320089809597
1907,0.00021672005823347718
1908,0.0002254240243928507
1909,0.00022908933169674128
1910,0.00023336052254308015
1911,0.00021866500901523978
1912,0.00023423225502483547
1913,0.00022678142704535276
1914,0.0002435587375657633
1915,0.00022963486844673753
1916,0.00023077499645296484
1917,0.00022559323406312615
1918,0.00022264450672082603
1919,0.00021574809215962887
1920,0.00021249261044431478
1921,0.0002253145503345877
1922,0.00022870625252835453
1923,0.00022998210624791682
1924,0.000248247612034902
1925,0.0002429194573778659
1926,0.0002473646600265056
1927,0.0002474138746038079
1928,0.00023502513067796826
1929,0.0002500313858035952
1930,0.000257269071880728
1931,0.0002503898285795003
1932,0.0002524817828088999
1933,0.00023319052706938237
