,them
1928,0.0010273236548528075
1929,0.0010148485889658332
1930,0.0010033724829554558
1931,0.0009627086110413074
1932,0.0009803245775401592
1933,0.0009221623768098652
1934,0.0009799697436392307
1935,0.0009597087628208101
1936,0.0009531948599033058
1937,0.0009313552873209119
1938,0.0009389722254127264
1939,0.0009190667187795043
1940,0.0009045618353411555
1941,0.0008824873948469758
1942,0.0009420200367458165
1943,0.000947317574173212
1944,0.0009451297228224576
1945,0.0009303996921516955
1946,0.0009414044325239956
1947,0.0009203092195093632
1948,0.0009000859572552145
1949,0.0008467536536045372
1950,0.0008820950170047581
1951,0.0008858061046339571
1952,0.0009290511952713132
1953,0.0008677246514707804
1954,0.0008443808183073997
1955,0.0008606817573308945
1956,0.0008623375906608999
1957,0.0008358643972314894
1958,0.0008365570683963597
1959,0.0008036764338612556
1960,0.0008105445303954184
1961,0.0008150420617312193
1962,0.0008235154091380537
1963,0.0008180976728908718
1964,0.0008135042153298855
1965,0.000845253118313849
1966,0.0008417007047683001
1967,0.0008578994311392307
1968,0.0008879030356183648
1969,0.0008840970695018768
1970,0.0008466967847198248
1971,0.000816595449578017
1972,0.000769864593166858
1973,0.0007353798137046397
1974,0.0007257459219545126
1975,0.0006902843597345054
1976,0.0006862840382382274
1977,0.0006684676045551896
1978,0.0006641236832365394
1979,0.0006594150909222662
1980,0.0006574717117473483
1981,0.0006468798383139074
1982,0.0006506355130113661
1983,0.0006530320970341563
1984,0.0006622066721320152
1985,0.0006614637677557766
1986,0.0006653410964645445
1987,0.0006705224514007568
1988,0.0006817921530455351
1989,0.0006717918440699577
1990,0.0006812725332565606
1991,0.0006893301615491509
1992,0.0006938977749086916
1993,0.0006936899153515697
1994,0.0006970959948375821
1995,0.0007000933983363211
1996,0.000733395223505795
1997,0.0007482563378289342
1998,0.000765936216339469
1999,0.0007917195907793939
2000,0.000848237716127187
2001,0.0008549055783078074
2002,0.0008712553535588086
2003,0.0009144245996139944
2004,0.0009534050477668643
2005,0.0009586940868757665
2006,0.0009997660527005792
2007,0.0010227467864751816
2008,0.0010982666863128543
2009,0.0011734362924471498
2010,0.0012354209320619702
2011,0.0012615951709449291
2012,0.0011638979194685817
2013,0.0011953358771279454
2014,0.001323482021689415
2015,0.0013212315971031785
2016,0.0012377199018374085
2017,0.0014065270079299808
2018,0.0014068851014599204
2019,0.0013561485102400184
