,plan
1914,0.00010965175897581503
1915,0.00011734393774531782
1916,0.00012472666276153177
1917,0.0001254398375749588
1918,0.0001310260413447395
1919,0.00014368367556016892
1920,0.00013136597408447415
1921,0.0001273097441298887
1922,0.0001273244561161846
1923,0.00011966242163907737
1924,0.00012686428090091795
1925,0.00011981892748735845
1926,0.00012169443652965128
1927,0.00015070194785948843
1928,0.00012558893649838865
1929,0.0001246653264388442
1930,0.00013179212692193687
1931,0.0001367660879623145
1932,0.0001427063689334318
1933,0.00014013124746270478
1934,0.00014741369523108006
1935,0.0001436366728739813
1936,0.0001530339359305799
1937,0.00014465222193393856
1938,0.00014584556629415601
1939,0.00015536688442807645
1940,0.00015630813140887767
1941,0.00016427465016022325
1942,0.00016340904403477907
1943,0.00016048095130827278
1944,0.00017236526764463633
1945,0.00016666615556459874
1946,0.00017488113371655345
1947,0.0001715010730549693
1948,0.00016265842714346945
1949,0.00015936388808768243
1950,0.00015253004676196724
1951,0.00014460693637374789
1952,0.00013759387366008013
1953,0.00014779111370444298
1954,0.00014582299627363682
1955,0.0001460002240492031
1956,0.00014734581054653972
1957,0.0001435707090422511
1958,0.00013679038966074586
1959,0.00014033741899766028
1960,0.00013425390352495015
1961,0.00013811388635076582
1962,0.000137865892611444
1963,0.0001387824595440179
1964,0.00013647890591528267
1965,0.00013714845408685505
1966,0.00013589324953500181
1967,0.00014129580813460052
1968,0.00013620505342260003
1969,0.00013816077262163162
1970,0.00014554543304257095
1971,0.00014980365813244134
1972,0.0001505526015534997
1973,0.00016295707609970123
1974,0.00016502411745022982
1975,0.00017424739780835807
1976,0.00017570986528880894
1977,0.0001676034153206274
1978,0.00017209877842105925
1979,0.00017115296213887632
1980,0.00017363429651595652
1981,0.00016403195331804454
1982,0.00016210290777962655
1983,0.00016075281018856913
1984,0.00015765003627166152
1985,0.00015963790065143257
1986,0.00016303968732245266
1987,0.000175193214090541
1988,0.00017168221529573202
1989,0.0001672152866376564
1990,0.0001684347225818783
1991,0.00016793770191725343
1992,0.00016958717606030405
1993,0.0001740629377309233
1994,0.00018106348579749465
1995,0.00018363284470979124
1996,0.0001680007844697684
1997,0.00017408411076758057
1998,0.00016820363816805184
1999,0.00017206040502060205
2000,0.00016363085887860507
2001,0.00016927532851696014
2002,0.0001595634239492938
2003,0.0001686486939433962
2004,0.00016782393504399806
2005,0.0001610666367923841
2006,0.0001651496277190745
2007,0.00015759347297716886
2008,0.0001551733585074544
2009,0.00015424155571963638
2010,0.00014014400949236006
2011,0.00013124854012858123
2012,0.00011993262160103768
2013,0.00011687442020047456
2014,0.00012514468107838184
2015,0.00012181600322946906
2016,0.00011852063471451402
2017,0.00010852872219402343
2018,0.00010610507160890847
2019,0.00011284565698588267
