,most
1800,0.0010049424599856138
1801,0.0010773858521133661
1802,0.0011033295886591077
1803,0.0010114265605807304
1804,0.0011382257798686624
1805,0.001148769399151206
1806,0.0011250994866713881
1807,0.0011307059321552515
1808,0.0010839435271918774
1809,0.001102781854569912
1810,0.0010578024666756392
1811,0.0010663223220035434
1812,0.0010988926514983177
1813,0.001102228881791234
1814,0.001151736476458609
1815,0.0011209670919924974
1816,0.0010418841848149896
1817,0.001133549609221518
1818,0.001108668278902769
1819,0.0010669720359146595
1820,0.0011213079560548067
1821,0.0010735539253801107
1822,0.0010834141867235303
1823,0.001085446565411985
1824,0.0011155449319630861
1825,0.0010746908374130726
1826,0.001066589611582458
1827,0.001079811598174274
1828,0.00106619403231889
1829,0.0010929428972303867
1830,0.0011189981596544385
1831,0.0010669087059795856
1832,0.0008524121949449182
1833,0.0010840632021427155
1834,0.0010525677353143692
1835,0.0010770531371235847
1836,0.0010658256942406297
1837,0.0010323863243684173
1838,0.0010636517545208335
1839,0.0010498114861547947
1840,0.001037135603837669
1841,0.001031067338772118
1842,0.0010390422539785504
1843,0.001033866428770125
1844,0.0010372911347076297
1845,0.001031981548294425
1846,0.000997323775663972
1847,0.0010195588693022728
1848,0.0010133455507457256
1849,0.0010038204491138458
1850,0.0009878053097054362
1851,0.0009794047800824046
1852,0.0009716578060761094
1853,0.000969246553722769
1854,0.0009793818462640047
1855,0.0009666032274253666
1856,0.0009477275307290256
1857,0.0009228803683072329
1858,0.000921061378903687
1859,0.0009262145031243563
1860,0.0009119333699345589
1861,0.0008941924897953868
1862,0.0008733774884603918
1863,0.0008711793925613165
1864,0.0008470506290905178
1865,0.0008523814030922949
1866,0.0008543918374925852
1867,0.0008538783877156675
1868,0.0008321271743625402
1869,0.0008433185867033899
1870,0.0008287628879770637
1871,0.0008382612140849233
1872,0.0007951191510073841
1873,0.0008213059627451003
1874,0.0008083403808996081
1875,0.000812351587228477
1876,0.0008039166568778455
1877,0.00077205547131598
1878,0.0007858648314140737
1879,0.0007740966975688934
1880,0.0007872922578826547
1881,0.00077502999920398
1882,0.0007663810974918306
1883,0.0007703646551817656
1884,0.0007519408245570958
1885,0.0007516096229664981
1886,0.0007380603346973658
1887,0.0007199413375928998
1888,0.0007342335302382708
1889,0.0007325495826080441
1890,0.0007538425270467997
1891,0.0007352849352173507
1892,0.0007325285696424544
1893,0.0007335708942264318
1894,0.0007305441540665925
1895,0.000707905157469213
1896,0.0007223928696475923
1897,0.0007138191722333431
1898,0.0007144588162191212
1899,0.000715111440513283
1900,0.0007222568965516984
1901,0.000697224517352879
1902,0.0007177878869697452
1903,0.0007034459267742932
1904,0.000696344708558172
1905,0.0006887057097628713
1906,0.0006658636848442256
1907,0.0006704368279315531
1908,0.0006674304022453725
1909,0.0006603833171539009
1910,0.0006775132496841252
1911,0.00065490638371557
1912,0.000643419218249619
1913,0.0006380403065122664
1914,0.0006267096032388508
1915,0.0006126005318947136
1916,0.000615658238530159
1917,0.0006162087665870786
1918,0.0006230489234440029
1919,0.000630456896033138
1920,0.0006432621157728136
1921,0.0006226718542166054
1922,0.000634657742921263
1923,0.0006402048747986555
1924,0.0006398629629984498
1925,0.0006342839333228767
1926,0.0006542521878145635
1927,0.0006490842788480222
1928,0.0006462253513745964
1929,0.0006373797659762204
1930,0.0006493690889328718
1931,0.0006236264598555863
1932,0.0006358740502037108
1933,0.0006079890299588442
1934,0.0006244317628443241
1935,0.0006180380005389452
1936,0.0006110263057053089
1937,0.000620695878751576
1938,0.0006203863304108381
1939,0.0005881359684281051
1940,0.0006029828800819814
1941,0.0005902163102291524
1942,0.000609426002483815
1943,0.0005981476861052215
1944,0.000621443148702383
1945,0.0006059065344743431
1946,0.0006179402116686106
1947,0.0006211305735632777
1948,0.0006319597014226019
1949,0.0006290933815762401
1950,0.0006430326611734927
1951,0.000626175373326987
1952,0.0006386558525264263
1953,0.0006302997935563326
1954,0.000635466247331351
1955,0.0006294875638559461
1956,0.0006455655675381422
1957,0.0006255406769923866
1958,0.0006457826821133494
1959,0.0006432534428313375
1960,0.0006511936080642045
1961,0.0006455898401327431
1962,0.0006528534577228129
1963,0.000661541591398418
1964,0.0006541864131577313
1965,0.0006605825619772077
1966,0.0006680049118585885
1967,0.0006681682425551116
1968,0.0006863601156510413
1969,0.0006918520666658878
1970,0.0006753625930286944
1971,0.0006694300682283938
1972,0.0006675573531538248
1973,0.0006471429369412363
1974,0.0006551608094014227
1975,0.000645457417704165
1976,0.0006419696728698909
1977,0.0006383730215020478
1978,0.0006334080244414508
1979,0.0006301646935753524
1980,0.0006485224585048854
1981,0.0006283716065809131
1982,0.0006322646513581276
1983,0.0006387456669472158
1984,0.0006361905834637582
1985,0.0006246308330446482
1986,0.0006329965544864535
1987,0.0006262389360927045
1988,0.0006265816045925021
1989,0.0006159558543004096
1990,0.0006296153296716511
1991,0.0006225855904631317
1992,0.0006283362745307386
1993,0.0006299760425463319
1994,0.0006321099936030805
1995,0.0006230776780284941
1996,0.0006493731634691358
1997,0.0006488073267973959
1998,0.0006624850793741643
1999,0.0006564519135281444
2000,0.0006591576966457069
2001,0.0006542687187902629
2002,0.0006654287572018802
2003,0.0006690415320917964
2004,0.0006821334827691317
2005,0.0006814202642999589
2006,0.000688004307448864
2007,0.0006869771750643849
2008,0.0006943640764802694
2009,0.0007013901486061513
2010,0.0007034701993688941
2011,0.0006832873914390802
2012,0.0006641655345447361
2013,0.0006793072680011392
2014,0.000654247822239995
2015,0.0006682671955786645
2016,0.0006697283824905753
2017,0.0006351166521199048
2018,0.000629046349786222
2019,0.0006484100013040006
