,place
1800,0.0005971628124825656
1801,0.0005718349129892886
1802,0.0006019170396029949
1803,0.0005380784859880805
1804,0.0006059689330868423
1805,0.0006044256151653826
1806,0.0005967094330117106
1807,0.0006006149924360216
1808,0.0005839443183504045
1809,0.0006164659280329943
1810,0.0006122809136286378
1811,0.0006111146649345756
1812,0.000604066182859242
1813,0.0006101979524828494
1814,0.0006184801459312439
1815,0.0006392215727828443
1816,0.0006079840241000056
1817,0.0006244281539693475
1818,0.0006270871381275356
1819,0.0006358639802783728
1820,0.0006426526233553886
1821,0.0006282099056988955
1822,0.0006318542291410267
1823,0.0006335295620374382
1824,0.000620691163931042
1825,0.000619883940089494
1826,0.0006030787480995059
1827,0.0006265894044190645
1828,0.0006249957368709147
1829,0.0006260143709369004
1830,0.0006121016340330243
1831,0.0006241361261345446
1832,0.0005508307949639857
1833,0.0006299045053310692
1834,0.0006263817194849253
1835,0.0006065980414859951
1836,0.0006222591619007289
1837,0.0006155908922664821
1838,0.0006220857030712068
1839,0.0006150757544673979
1840,0.0006158547475934029
1841,0.0006109371315687895
1842,0.000617530255112797
1843,0.0006250199512578547
1844,0.0006073086988180876
1845,0.0006167875835672021
1846,0.0006077451980672777
1847,0.0006136245210655034
1848,0.000607361551374197
1849,0.0005944648291915655
1850,0.0005920257535763085
1851,0.0005935802473686635
1852,0.0005827335407957435
1853,0.0005893095512874424
1854,0.0005874120979569852
1855,0.0005846950807608664
1856,0.0005881078541278839
1857,0.0005825972184538841
1858,0.0005768755218014121
1859,0.000570385018363595
1860,0.0005718349711969495
1861,0.0005629696534015238
1862,0.0005644398042932153
1863,0.000564678106456995
1864,0.0005522306310012937
1865,0.0005634382250718772
1866,0.0005598499556072056
1867,0.0005533553194254637
1868,0.0005491198389790952
1869,0.0005419966764748096
1870,0.0005449833115562797
1871,0.0005510114133358002
1872,0.000546619005035609
1873,0.000543100293725729
1874,0.0005321924109011889
1875,0.0005434228223748505
1876,0.0005358605994842947
1877,0.0005305722588673234
1878,0.0005252537084743381
1879,0.0005286721279844642
1880,0.0005324408994056284
1881,0.0005304725491441786
1882,0.0005311045679263771
1883,0.0005269249086268246
1884,0.0005155430408194661
1885,0.0005211360985413194
1886,0.0005111966747790575
1887,0.0005179489380680025
1888,0.0005097329849377275
1889,0.0005155729013495147
1890,0.0005128436023369431
1891,0.000514040351845324
1892,0.0005057323141954839
1893,0.0005015297792851925
1894,0.0005075110238976777
1895,0.0005016903742216527
1896,0.0004991731839254498
1897,0.0004954634350724518
1898,0.0004944712272845209
1899,0.0005000983946956694
1900,0.0004883856163360178
1901,0.00048423095722682774
1902,0.0004782481410074979
1903,0.00047880117199383676
1904,0.0004805989156011492
1905,0.000476346438517794
1906,0.0004686204483732581
1907,0.0004759093571919948
1908,0.00046295367064885795
1909,0.00046537190792150795
1910,0.0004550806770566851
1911,0.00045066539314575493
1912,0.00044769959640689194
1913,0.0004386782238725573
1914,0.0004392579139675945
1915,0.00043019585427828133
1916,0.0004216246888972819
1917,0.000418406561948359
1918,0.0004123493272345513
1919,0.0004097660130355507
1920,0.00041224973392672837
1921,0.0004070611030329019
1922,0.0004091618175152689
1923,0.000407513725804165
1924,0.0004064589738845825
1925,0.0004028851690236479
1926,0.0004057958140037954
1927,0.0004014071309939027
1928,0.00039148825453594327
1929,0.0003958505403716117
1930,0.0003912831889465451
1931,0.0004002239729743451
1932,0.00037686803261749446
1933,0.000366273510735482
1934,0.0003687794669531286
1935,0.000363748986274004
1936,0.00036833828198723495
1937,0.00036194745916873217
1938,0.0003630429564509541
1939,0.00036296906182542443
1940,0.00034395806142129004
1941,0.00033309595892205834
1942,0.00033888875623233616
1943,0.0003369541955180466
1944,0.0003319274401292205
1945,0.0003275063936598599
1946,0.0003350675106048584
1947,0.00033329971483908594
1948,0.0003305757127236575
1949,0.0003234855248592794
1950,0.00032767324591986835
1951,0.00032507660216651857
1952,0.0003329423489049077
1953,0.00031982199288904667
1954,0.0003173495060764253
1955,0.0003157698956783861
1956,0.00031341431895270944
1957,0.0003119436150882393
1958,0.00031029764795675874
1959,0.00031276122899726033
1960,0.00030493707163259387
1961,0.0003050973464269191
1962,0.0003069706726819277
1963,0.000304637651424855
1964,0.00030351776513271034
1965,0.0003020362346433103
1966,0.00030236539896577597
1967,0.00030569732189178467
1968,0.0003117362502962351
1969,0.0003062719479203224
1970,0.0002991191577166319
1971,0.00029416015604510903
1972,0.00028759404085576534
1973,0.0002745202218648046
1974,0.00027170073008164763
1975,0.0002669569803401828
1976,0.00026293291011825204
1977,0.00025933689903467894
1978,0.0002542932634241879
1979,0.00025539242778904736
1980,0.00025527176330797374
1981,0.0002540111599955708
1982,0.00025776505935937166
1983,0.00026635415269993246
1984,0.00025715146330185235
1985,0.0002579975698608905
1986,0.00025660698884166777
1987,0.0002596476988401264
1988,0.00026247865753248334
1989,0.0002636813442222774
1990,0.0002683130733203143
1991,0.00026875242474488914
1992,0.0002746191166806966
1993,0.00028132283478043973
1994,0.0002715543669182807
1995,0.00027495468384586275
1996,0.0002846272836904973
1997,0.00028892920818179846
1998,0.0002924778964370489
1999,0.0002999176795128733
2000,0.000311440002406016
2001,0.00031275220680981874
2002,0.0003190985880792141
2003,0.00032749646925367415
2004,0.0003322805278003216
2005,0.00033328792778775096
2006,0.0003402949369046837
2007,0.0003457667480688542
2008,0.0003594424051698297
2009,0.00037044708733446896
2010,0.0003813237708527595
2011,0.00037934290594421327
2012,0.0003544780774973333
2013,0.00036521971924230456
2014,0.00038972683250904083
2015,0.0003906623460352421
2016,0.000382039463147521
2017,0.00039999716682359576
2018,0.00039493359508924186
2019,0.0003947090881410986
