,rate
1917,0.00023697705182712525
1918,0.0002383915416430682
1919,0.0002489233447704464
1920,0.0002560141438152641
1921,0.000266566697973758
1922,0.0002686870866455138
1923,0.00025404614279977977
1924,0.0002594812831375748
1925,0.00028431459213607013
1926,0.00025241379626095295
1927,0.00025679258396849036
1928,0.00026497046928852797
1929,0.00026380002964287996
1930,0.0002718035539146513
1931,0.00026318198069930077
1932,0.00026575240190140903
1933,0.00028887097141705453
1934,0.0002696737938094884
1935,0.0002594387624412775
1936,0.00027124540065415204
1937,0.0002513912331778556
1938,0.0002569753269199282
1939,0.0002658671874087304
1940,0.0002634930133353919
1941,0.00025623204419389367
1942,0.00025261161499656737
1943,0.00025624112458899617
1944,0.00025855263811536133
1945,0.00026004688697867095
1946,0.0002605971822049469
1947,0.00026338527095504105
1948,0.0002725713129620999
1949,0.00026832419098354876
1950,0.0002583161403890699
1951,0.0002675090217962861
1952,0.00025658533559180796
1953,0.00026266032364219427
1954,0.000271655066171661
1955,0.0002816783089656383
1956,0.0002807971613947302
1957,0.00028664982528425753
1958,0.00030555418925359845
1959,0.00031263611163012683
1960,0.00030262512154877186
1961,0.0003122386697214097
1962,0.0003041389863938093
1963,0.00031133010634221137
1964,0.00030832106131128967
1965,0.0002953895309474319
1966,0.0002993773377966136
1967,0.00029724830528721213
1968,0.00029479109798558056
1969,0.0003023751196451485
1970,0.0002985699684359133
1971,0.0003148498944938183
1972,0.0003195511526428163
1973,0.0003190589777659625
1974,0.0003340121766086668
1975,0.0003437120758462697
1976,0.0003420397115405649
1977,0.00034254000638611615
1978,0.00033812772016972303
1979,0.00034563933149911463
1980,0.0003501444880384952
1981,0.00034506319207139313
1982,0.0003394140221644193
1983,0.0003433290694374591
1984,0.00032962666591629386
1985,0.00032153684878721833
1986,0.0003243164101149887
1987,0.0003088848025072366
1988,0.0003108068194705993
1989,0.000301986001431942
1990,0.0002994584501720965
1991,0.00029948839801363647
1992,0.00029032808379270136
1993,0.0002815912012010813
1994,0.0002859282831195742
1995,0.00029454665491357446
1996,0.00027168451924808323
1997,0.000279955129371956
1998,0.00026552932104095817
1999,0.0002521115238778293
2000,0.00024353210756089538
2001,0.00024255787138827145
2002,0.0002284365036757663
2003,0.00023756726295687258
2004,0.00022237282246351242
2005,0.00022603408433496952
2006,0.00021199385810177773
2007,0.00021308955911081284
2008,0.00019384422921575606
2009,0.0001809267414500937
2010,0.00016875156143214554
2011,0.0001716138212941587
2012,0.0001985901762964204
2013,0.00018285715486854315
2014,0.00014762964565306902
2015,0.00014760343765374273
2016,0.00016035915177781135
2017,0.00013681109703611583
2018,0.00013269760529510677
2019,0.00013940133794676512
