,end
1800,0.000269950891379267
1801,0.0002931943454314023
1802,0.00027551173116080463
1803,0.00024377871886827052
1804,0.000258480227785185
1805,0.0002787267731036991
1806,0.00028586946427822113
1807,0.000284435081994161
1808,0.0002854292106349021
1809,0.00030582858016714454
1810,0.00028724336880259216
1811,0.0002811217855196446
1812,0.0002590014773886651
1813,0.0002743451332207769
1814,0.0002747331454884261
1815,0.0002945246815215796
1816,0.0002601217129267752
1817,0.00025982208899222314
1818,0.0002632341638673097
1819,0.00026594894006848335
1820,0.00024995702551677823
1821,0.00024766233400441706
1822,0.00026624093879945576
1823,0.0002669159439392388
1824,0.00026303125196136534
1825,0.0002681816404219717
1826,0.00026026248815469444
1827,0.0002527179312892258
1828,0.0002585308684501797
1829,0.0002642988401930779
1830,0.00027437048265710473
1831,0.00025805033510550857
1832,0.00023214489920064807
1833,0.0002446645812597126
1834,0.00023603427689522505
1835,0.00024790872703306377
1836,0.0002456707297824323
1837,0.00024061018484644592
1838,0.0002497242239769548
1839,0.00025540226488374174
1840,0.00024937110720202327
1841,0.0002566484618000686
1842,0.00026220286963507533
1843,0.00025736461975611746
1844,0.00025690713664516807
1845,0.0002528284676373005
1846,0.00024397094966843724
1847,0.00025504775112494826
1848,0.0002530078636482358
1849,0.00025445816572755575
1850,0.0002518740657251328
1851,0.00025151667068712413
1852,0.00025067629758268595
1853,0.0002440146927256137
1854,0.0002554524107836187
1855,0.00025428738445043564
1856,0.0002673366107046604
1857,0.0002622734464239329
1858,0.0002566845214460045
1859,0.0002624706830829382
1860,0.0002571236400399357
1861,0.00026766976225189865
1862,0.0002734353765845299
1863,0.00027580454479902983
1864,0.00026899404474534094
1865,0.00027182293706573546
1866,0.00027032659272663295
1867,0.00028147432021796703
1868,0.00027222069911658764
1869,0.00027875512023456395
1870,0.00027826311998069286
1871,0.0002760340867098421
1872,0.0002873858029488474
1873,0.0002887904120143503
1874,0.0002945555606856942
1875,0.0002913655189331621
1876,0.000294309516903013
1877,0.00029367656679823995
1878,0.0002948283508885652
1879,0.0002915121731348336
1880,0.0002876034996006638
1881,0.0002860349777620286
1882,0.0002914320502895862
1883,0.0002924510044977069
1884,0.0003020140575245023
1885,0.0003055785782635212
1886,0.00028133473824709654
1887,0.00029270147206261754
1888,0.0002953028306365013
1889,0.0002919384278357029
1890,0.000307330657960847
1891,0.00030541475280188024
1892,0.0003041028685402125
1893,0.0003230005095247179
1894,0.00031005602795630693
1895,0.0003185971290804446
1896,0.0003069252707064152
1897,0.0003250923764426261
1898,0.0003235904441680759
1899,0.00032215481041930616
1900,0.0003182704094797373
1901,0.0003197207406628877
1902,0.00032799443579278886
1903,0.00033943765447475016
1904,0.00033894742955453694
1905,0.00034307726309634745
1906,0.0003191628202330321
1907,0.000331761286361143
1908,0.0003387266187928617
1909,0.00033328411518596113
1910,0.00034227679134346545
1911,0.00033310818253085017
1912,0.0003349840990267694
1913,0.0003314953646622598
1914,0.00033355833147652447
1915,0.0003443447349127382
1916,0.0003447324561420828
1917,0.0003371593193151057
1918,0.0003397321852389723
1919,0.0003211431612726301
1920,0.0003183975350111723
1921,0.00031232176115736365
1922,0.00031529919942840934
1923,0.00031906389631330967
1924,0.0003193810989614576
1925,0.0003171233693137765
1926,0.00032445191754959524
1927,0.0003133627469651401
1928,0.00030780528322793543
1929,0.0003066789940930903
1930,0.00031087230308912694
1931,0.00030627945670858026
1932,0.0003141119668725878
1933,0.00031164666870608926
1934,0.00031767916516400874
1935,0.00031112146098166704
1936,0.00030796913779340684
1937,0.00031379706342704594
1938,0.00031682950793765485
1939,0.0003083886404056102
1940,0.00030884373700246215
