,review
1977,0.00014584088057745248
1978,0.00015420938143506646
1979,0.00014859858492854983
1980,0.0001467424735892564
1981,0.00015335797797888517
1982,0.00015026869368739426
1983,0.00014571014617104083
1984,0.00014500870020128787
1985,0.0001463876833440736
1986,0.00014429546718019992
1987,0.00014324563380796462
1988,0.00014152712537907064
1989,0.00014433974865823984
1990,0.00014083767018746585
1991,0.00014097860548645258
1992,0.00013863710046280175
1993,0.00013666403538081795
1994,0.00013660617696586996
1995,0.00014288269449025393
1996,0.00013545995170716196
1997,0.00013900497287977487
1998,0.00013554925681091845
1999,0.00013363524340093136
2000,0.00012604420771822333
2001,0.00012875664106104523
2002,0.00012483057798817754
2003,0.00012033206439809874
2004,0.00011280932085355744
2005,0.00011356330651324242
2006,0.00010915387247223407
2007,0.00010599056986393407
2008,9.968214726541191e-05
2009,9.397196117788553e-05
2010,9.16397402761504e-05
2011,9.496747952653095e-05
2012,0.00011027689470211044
2013,8.939215331338346e-05
2014,7.594347698614001e-05
2015,7.324292528210208e-05
2016,7.930789433885366e-05
2017,7.093493331922218e-05
2018,7.114914478734136e-05
2019,7.581895624753088e-05
