,property
1800,0.00014912699407432228
1801,0.0001320332521572709
1802,0.00015029632777441293
1803,0.00012685300316661596
1804,0.00012969353701919317
1805,0.00012242462253198028
1806,0.00012871730723418295
1807,0.00013730258797295392
1808,0.00012322475959081203
1809,0.0001251186040462926
1810,0.00011236748832743615
1811,0.0001423410722054541
1812,0.0001409635879099369
1813,0.00014167909102980047
1814,0.00015018362319096923
1815,0.0001562763354741037
1816,0.0001660576235735789
1817,0.0001800226600607857
1818,0.00015604881627950817
1819,0.0001785683853086084
1820,0.00014572871441487223
1821,0.00013842957559973001
1822,0.00015046035696286708
1823,0.00015598324534948915
1824,0.00015615703887306154
1825,0.00015235105820465833
1826,0.00017236087296623737
1827,0.00016827488434500992
1828,0.00017355429008603096
1829,0.00017060321988537908
1830,0.00017211088561452925
1831,0.00019576623162720352
1832,0.0003622203366830945
1833,0.00019939769117627293
1834,0.00019650155445560813
1835,0.0001935821055667475
1836,0.00020012377353850752
1837,0.0001964471593964845
1838,0.0001965483243111521
1839,0.00019001009059138596
1840,0.00018221104983240366
1841,0.0001895871973829344
1842,0.0001800696481950581
1843,0.0001852253044489771
1844,0.00017875948105938733
1845,0.00018951884703710675
1846,0.00020414302707649767
1847,0.0001976538187591359
1848,0.00020129853510297835
1849,0.00021648607798852026
1850,0.00020017554925289005
1851,0.00021194176224526018
1852,0.0001988696021726355
1853,0.00023754170979373157
1854,0.00020523824787233025
1855,0.00020188046619296074
1856,0.000201026166905649
1857,0.00020546317682601511
1858,0.0002192563406424597
1859,0.00020818600023631006
1860,0.0002151423250325024
1861,0.00022733278456144035
1862,0.00021464881137944758
1863,0.00021825030853506178
1864,0.00022494177392218262
1865,0.00020999960543122143
1866,0.00023732845147605985
1867,0.00022660967078991234
1868,0.00023729198437649757
1869,0.00023344870714936405
1870,0.0002545136376284063
1871,0.0002479846589267254
1872,0.00025393193936906755
1873,0.0002555011014919728
1874,0.00026155440718866885
1875,0.000248289987212047
1876,0.00025392157840542495
1877,0.0002652460534591228
1878,0.00027841582777909935
1879,0.00026623604935593903
1880,0.0002720775082707405
1881,0.00028491916600614786
1882,0.00027883145958185196
