,family
1800,0.0001628936006454751
1801,0.00017158327682409436
1802,0.0001732829841785133
1803,0.00014836450282018632
1804,0.00017486086289864033
1805,0.00016802313621155918
1806,0.00019046661327593029
1807,0.00017369438137393445
1808,0.0001783714396879077
1809,0.00015214510494843125
1810,0.0001657927641645074
1811,0.00018227749387733638
1812,0.00017538887914270163
1813,0.00017149775521829724
1814,0.00017366842075716704
1815,0.00017631278024055064
1816,0.00017504391144029796
1817,0.00018898758571594954
1818,0.00017902579565998167
1819,0.0001720973668852821
1820,0.0002123968006344512
1821,0.00018549515516497195
1822,0.00019047735258936882
1823,0.0001856912422226742
1824,0.00019248788885306567
1825,0.00018637192260939628
1826,0.0001746724738040939
1827,0.00018316300702281296
1828,0.00017898209625855088
1829,0.00017885745910461992
1830,0.00018312812608201057
1831,0.00018096731218975037
1832,0.00014095523511059582
1833,0.0001901372306747362
1834,0.00017776880122255534
1835,0.00018372171325609088
1836,0.00018522069149184972
1837,0.0001756846031639725
1838,0.00018353013729210943
1839,0.00017146143363788724
1840,0.00017383901285938919
1841,0.00017816161562222987
1842,0.000172850486706011
1843,0.00017223955364897847
1844,0.0001715406688163057
1845,0.00017205970652867109
1846,0.00016853211855050176
1847,0.00017367162217851728
1848,0.00018263036326970905
1849,0.00017282864428125322
1850,0.00017403229139745235
1851,0.00016543333185836673
1852,0.0001694642414804548
1853,0.00016795034753158689
1854,0.0001706192415440455
1855,0.00017194959218613803
1856,0.00017349590780213475
1857,0.00017501581169199198
1858,0.00017041615501511842
1859,0.00017307818052358925
1860,0.00016904596122913063
1861,0.00016179830709006637
1862,0.00016436591977253556
1863,0.0001652599312365055
1864,0.0001587514707352966
1865,0.00015521120803896338
1866,0.00014796499453950673
1867,0.00015565601643174887
1868,0.00015115343558136374
1869,0.00015919862198643386
1870,0.0001590126776136458
1871,0.0001543318066978827
1872,0.00014673617260996252
1873,0.0001506203698227182
1874,0.0001485256798332557
1875,0.00014925285358913243
1876,0.00015008238551672548
1877,0.0001477754849474877
1878,0.00014709588140249252
1879,0.00015326311404351145
1880,0.00015717337373644114
1881,0.0001587801962159574
1882,0.00015660672215744853
1883,0.00015760393580421805
1884,0.00014647317584604025
1885,0.00014784245286136866
1886,0.00014844274846836925
1887,0.00014333194121718407
1888,0.00014493563503492624
1889,0.00014806418039370328
1890,0.00014883837138768286
1891,0.0001434625155525282
1892,0.0001447906397515908
1893,0.00014346269017551094
1894,0.00013788290380034596
1895,0.0001369765232084319
1896,0.00014077071682550013
1897,0.00013202316768001765
1898,0.00012880431313533336
1899,0.00013548920105677098
1900,0.00013974873581901193
1901,0.00013284178567118943
1902,0.0001308546052314341
1903,0.00012166885426267982
1904,0.0001277613191632554
1905,0.00011860355880344287
1906,0.00011917800293304026
1907,0.0001243005390278995
1908,0.00011981353600276634
1909,0.00012207137478981167
1910,0.00012706074630841613
1911,0.00012783691636286676
1912,0.00012186481762910262
1913,0.00011503963469294831
1914,0.00011767019896069542
1915,0.00011307319800835103
1916,0.00011138147237943485
1917,0.00011002305109286681
1918,0.0001117233550758101
1919,0.00010878354078158736
1920,0.00011066076694987714
1921,0.00010743358870968223
1922,0.00011900608660653234
1923,0.00012135978613514453
1924,0.00012641346256714314
1925,0.000126155762700364
1926,0.00013235199730843306
1927,0.00013378362928051502
1928,0.00013317792036104947
1929,0.00013262321590445936
1930,0.00013859610771760345
1931,0.00013863499043509364
1932,0.00014230492524802685
1933,0.0001377511362079531
1934,0.00013592738832812756
1935,0.00014271464897319674
1936,0.00014090149488765746
1937,0.0001468166447011754
1938,0.00014103639114182442
1939,0.0001609147002454847
1940,0.00015862123109400272
1941,0.00016032898565754294
1942,0.00015083752805367112
1943,0.00014393203309737146
1944,0.00014050178288016468
1945,0.00014058123633731157
1946,0.0001446366950403899
1947,0.00014559605915565044
1948,0.0001506781263742596
1949,0.00014488011947833002
1950,0.00015310049639083445
1951,0.00014753887080587447
1952,0.00014831882435828447
1953,0.00015270707081072032
1954,0.0001520187797723338
1955,0.00015481891750823706
1956,0.00015786316362209618
1957,0.00015234366583172232
1958,0.00015513917605858296
1959,0.00015617909957654774
1960,0.0001593872730154544
1961,0.0001526122068753466
1962,0.00015224512026179582
1963,0.00015817607345525175
1964,0.00015968400111887604
1965,0.00016255608352366835
1966,0.0001646482851356268
1967,0.00016911493730731308
1968,0.00017062516417354345
1969,0.00017308306996710598
1970,0.0001809389068512246
1971,0.0001796796132111922
1972,0.0001912522711791098
1973,0.00018239948258269578
1974,0.0001874957379186526
1975,0.00019177005742676556
1976,0.00019155220070388168
1977,0.00018950863159261644
1978,0.00020209299691487104
1979,0.00019522600632626563
1980,0.00020214189135003835
1981,0.00020155786478426307
1982,0.00020229782967362553
1983,0.00020696912542916834
1984,0.00020156166283413768
1985,0.00020250309898983687
1986,0.0002046007284661755
1987,0.00020857069466728717
1988,0.00021953324903734028
1989,0.0002232280239695683
1990,0.00022744754096493125
1991,0.00023578065156470984
1992,0.0002580836589913815
1993,0.00024658747133798897
1994,0.0002450332685839385
1995,0.0002484962169546634
1996,0.00025170351727865636
1997,0.0002613069082144648
1998,0.0002868204901460558
1999,0.0002704465005081147
2000,0.00026752593112178147
2001,0.00027002967544831336
2002,0.000275139493169263
2003,0.0002812680904753506
2004,0.00028561902581714094
2005,0.00028671915060840547
2006,0.000289082556264475
2007,0.00028355271206237376
2008,0.00026708669611252844
2009,0.0002922331041190773
2010,0.0002963924198411405
2011,0.0003132533747702837
2012,0.0002848049043677747
2013,0.0002924538857769221
2014,0.00030419486574828625
2015,0.000297103775665164
2016,0.00029333936981856823
2017,0.0002807905257213861
2018,0.00026829299167729914
2019,0.00028989851125516
