,order
1887,0.00043111518607474864
1888,0.0004190382023807615
1889,0.0004222533025313169
1890,0.00041972051258198917
1891,0.0004247626638971269
1892,0.0004156732466071844
1893,0.0004208184836897999
1894,0.00041771249379962683
1895,0.0004236767708789557
1896,0.0004137536743655801
1897,0.00042286148527637124
1898,0.000419899559346959
1899,0.000412114430218935
1900,0.0004075166943948716
1901,0.00042136062984354794
1902,0.0004144747508689761
1903,0.0004078356141690165
1904,0.0004188010061625391
1905,0.0004211177001707256
1906,0.00044283113675192
1907,0.00043638140778057277
1908,0.00042311017750762403
1909,0.0004266414325684309
1910,0.0004186702717561275
1911,0.00042669984395615757
1912,0.0004342093598097563
1913,0.0004407372325658798
1914,0.00046160307829268277
1915,0.00046114897122606635
1916,0.00045201604370959103
1917,0.00046744674909859896
1918,0.00047394525608979166
1919,0.0004665234009735286
1920,0.0004601640102919191
1921,0.00046183806261979043
1922,0.0004430761036928743
1923,0.00044042806257493794
1924,0.00042214716086164117
1925,0.0004239200206939131
1926,0.00041107440483756363
1927,0.0004106017295271158
1928,0.0004035297315567732
1929,0.00040629494469612837
1930,0.00041259569115936756
1931,0.00041868380503728986
1932,0.0004184899153187871
1933,0.0004339554870966822
1934,0.00042901947745122015
1935,0.0004388299712445587
1936,0.00042286570533178747
1937,0.0004268574120942503
1938,0.00043054911657236516
1939,0.0004592695622704923
1940,0.00044675410026684403
1941,0.00047319475561380386
1942,0.0004792232357431203
1943,0.0004930695868097246
1944,0.00046999912592582405
1945,0.00047115140478126705
1946,0.0004418443131726235
1947,0.0004384679486975074
1948,0.0004189052851870656
1949,0.0004276467370800674
1950,0.000415759946918115
1951,0.00043829542119055986
1952,0.00043092400301247835
1953,0.00041821517515927553
1954,0.00041233343654312193
1955,0.0004118738288525492
1956,0.00041122062248177826
1957,0.000426186656113714
1958,0.0004131565510760993
1959,0.0004231013299431652
1960,0.00042236660374328494
1961,0.0004254237574059516
1962,0.0004199007817078382
1963,0.00042249055695720017
1964,0.0004209293401800096
1965,0.0004123382968828082
1966,0.00042185219353996217
1967,0.00041984161362051964
1968,0.0004138899967074394
1969,0.000407756888307631
1970,0.0004118827055208385
1971,0.00042060393025167286
1972,0.0004151978064328432
1973,0.0004138055955991149
1974,0.000410252483561635
1975,0.0004134699411224574
1976,0.00041044678073376417
1977,0.00041167487506754696
1978,0.00040478716255165637
1979,0.00040625265683047473
1980,0.00039567018393427134
1981,0.00040578559855930507
1982,0.000400177959818393
1983,0.0003924588963855058
1984,0.00039209926035255194
1985,0.00040447499486617744
1986,0.0003865938342642039
1987,0.0003951108956243843
1988,0.00038885491085238755
1989,0.00038368007517419755
1990,0.0003897444112226367
1991,0.0003941457543987781
1992,0.00039293430745601654
1993,0.00038808287354186177
1994,0.00038440589560195804
1995,0.0003913032414857298
1996,0.0003827009641099721
1997,0.00038904117536731064
1998,0.000386441737646237
1999,0.0003860100405290723
2000,0.0003731256874743849
2001,0.00037777848774567246
2002,0.0003717590880114585
2003,0.00037463282933458686
2004,0.00036450265906751156
2005,0.0003642854862846434
2006,0.00035775263677351177
2007,0.00035198574187234044
2008,0.00034362298902124166
2009,0.00032580262632109225
2010,0.00031803856836631894
2011,0.00029763602651655674
2012,0.0003158496110700071
2013,0.00031779383425600827
2014,0.0002863986592274159
2015,0.0002848863950930536
2016,0.00030066384351812303
2017,0.00028068324900232255
2018,0.00027892246725969017
2019,0.0002849913144018501
