,well
1800,0.0007509606657549739
1801,0.0007755920523777604
1802,0.0007168923621065915
1803,0.0006823568255640566
1804,0.0007458004401996732
1805,0.0007607399020344019
1806,0.000744104792829603
1807,0.0007548567373305559
1808,0.0007694194791838527
1809,0.0007567528518848121
1810,0.0007365390774793923
1811,0.0007166347932070494
1812,0.000686836545355618
1813,0.0007040155469439924
1814,0.0007266162429004908
1815,0.000707924657035619
1816,0.0006825248710811138
1817,0.0006856453255750239
1818,0.0006812949432060122
1819,0.0006791495834477246
1820,0.0006931978859938681
1821,0.0007148015429265797
1822,0.0006951768882572651
1823,0.0006849152268841863
1824,0.0007448745891451836
1825,0.0007052710861898959
1826,0.0006992562557570636
1827,0.000701226235833019
1828,0.0006944094784557819
1829,0.0007080739014782012
1830,0.0007043065852485597
1831,0.000704523001331836
1832,0.0006075467099435627
1833,0.0007196317310445011
1834,0.0006977467564865947
1835,0.0007060280768200755
1836,0.000699940137565136
1837,0.0007028965628705919
1838,0.0007117655477486551
1839,0.0007239072001539171
1840,0.0006970999529585242
1841,0.0007066181860864162
1842,0.0007172326440922916
1843,0.0007126921555027366
1844,0.0007186373113654554
1845,0.0007061419892124832
1846,0.0006992451963014901
1847,0.0007125245756469667
1848,0.0007058309856802225
1849,0.0007126835989765823
1850,0.0007036080351099372
1851,0.0006997493910603225
1852,0.0007138822693377733
1853,0.0007049901178106666
1854,0.000701284734532237
1855,0.0007069123676046729
1856,0.0006999217439442873
1857,0.0007130612502805889
1858,0.0006987227243371308
1859,0.0007069478160701692
1860,0.0007044928497634828
1861,0.0007020817720331252
1862,0.0007129900623112917
1863,0.0006963011692278087
1864,0.0007040233467705548
1865,0.0007084810058586299
1866,0.0006937903817743063
1867,0.0006947747315280139
1868,0.0006966068758629262
1869,0.0007038501207716763
1870,0.0006927752401679754
1871,0.0006968718953430653
1872,0.0006800302071496844
1873,0.0006946809589862823
1874,0.0006935702986083925
1875,0.0007017608149908483
1876,0.000689601234626025
1877,0.0006822192226536572
1878,0.0006931328680366278
1879,0.0006811136263422668
1880,0.0006878998829051852
1881,0.0006810981431044638
1882,0.0006914197583682835
1883,0.0006988129462115467
1884,0.0006877966225147247
1885,0.0006905810441821814
1886,0.0006764518329873681
1887,0.0006761396070942283
1888,0.000685431354213506
1889,0.0006837872788310051
1890,0.0006889441283419728
1891,0.0006806296296417713
1892,0.0006940003950148821
1893,0.000686268846038729
1894,0.0006859968416392803
1895,0.0006618037004955113
1896,0.0006757975788787007
1897,0.0006583260255865753
1898,0.0006686747074127197
1899,0.0006757871014997363
1900,0.0006681411759927869
1901,0.0006486352649517357
1902,0.0006618999177590013
1903,0.0006564315408468246
1904,0.0006511214887723327
1905,0.000644598389044404
1906,0.0006337701925076544
1907,0.0006271920865401626
1908,0.0006247199489735067
1909,0.000623508240096271
1910,0.0006234286702238023
1911,0.0006024832255207002
1912,0.0006174511509016156
1913,0.0006015257677063346
1914,0.0005973080988042057
1915,0.0005942227435298264
1916,0.0005926983430981636
1917,0.0005878421361558139
1918,0.0005942797870375216
1919,0.0005937874084338546
1920,0.0005994887324050069
1921,0.0005904524587094784
1922,0.0005941375275142491
1923,0.0006002486916258931
1924,0.0005982837174087763
1925,0.0005884066922590137
1926,0.000594126177020371
1927,0.0005916397203691304
1928,0.0005987048498354852
1929,0.0005838163779117167
1930,0.0005833182367496192
1931,0.0005620057927444577
1932,0.0005656223511323333
1933,0.0005490839830599725
1934,0.0005617303540930152
1935,0.0005508665344677866
1936,0.0005525257438421249
1937,0.0005465411231853068
1938,0.0005585335893556476
1939,0.0005333776352927089
1940,0.0005406012642197311
1941,0.0005232722032815218
1942,0.0005492185591720045
1943,0.00054070824990049
1944,0.0005646851495839655
1945,0.0005458134110085666
1946,0.000559893436729908
1947,0.0005538823315873742
1948,0.0005556319374591112
1949,0.0005470754695124924
1950,0.0005715566221624613
1951,0.0005433917976915836
1952,0.0005518672987818718
1953,0.0005458486848510802
1954,0.0005499461549334228
1955,0.0005478011444211006
1956,0.0005592135130427778
1957,0.0005418668733909726
1958,0.0005585968610830605
1959,0.0005516320234164596
1960,0.0005522061255760491
1961,0.0005408881115727127
1962,0.0005508358590304852
1963,0.0005543926381506026
1964,0.000547693285625428
1965,0.0005460783722810447
1966,0.0005490576731972396
1967,0.0005483838031068444
1968,0.0005556462565436959
1969,0.0005587073974311352
1970,0.0005445492570288479
1971,0.0005348176346160471
1972,0.0005405388073995709
1973,0.0005257357261143625
1974,0.0005375836044549942
1975,0.0005296379677020013
1976,0.0005298867472447455
1977,0.0005269597168080509
1978,0.0005239034071564674
1979,0.0005265120998956263
1980,0.0005397984641604125
1981,0.0005286733503453434
1982,0.0005361530347727239
1983,0.0005426784045994282
1984,0.0005429162993095815
1985,0.0005343656521290541
1986,0.0005430341116152704
1987,0.0005362711381167173
1988,0.0005414620973169804
1989,0.0005330427084118128
1990,0.0005416050553321838
1991,0.0005446098512038589
1992,0.0005420739762485027
1993,0.0005392962484620512
1994,0.0005405302508734167
1995,0.0005339589552022517
1996,0.0005496880621649325
1997,0.0005543730803765357
1998,0.000557823630515486
1999,0.000558549421839416
2000,0.0005658312002196908
2001,0.000566720322240144
2002,0.0005716890445910394
2003,0.0005809488357044756
2004,0.000592406780924648
2005,0.0005958899855613708
2006,0.0006059492006897926
2007,0.0006029907381162047
2008,0.0006165471277199686
2009,0.0006239681970328093
2010,0.0006297361687757075
2011,0.0006286358693614602
2012,0.0006237790803425014
2013,0.0006303210975602269
2014,0.000628949492238462
2015,0.0006318331579677761
2016,0.0006345954607240856
2017,0.0006293136393651366
