,size
1969,0.00014938290405552834
1970,0.00015093648107722402
1971,0.000153075234265998
1972,0.00015847611939534545
1973,0.00015255616744980216
1974,0.0001574855559738353
1975,0.0001594258937984705
1976,0.00015973915287759155
1977,0.00016543093079235405
1978,0.00016505297389812768
1979,0.00016659789253026247
1980,0.00016986351693049073
1981,0.00016802517347969115
1982,0.00016240945842582732
1983,0.0001664169831201434
1984,0.00016426709771621972
1985,0.00016154404147528112
1986,0.0001614517968846485
1987,0.0001614329230505973
1988,0.0001566438440931961
1989,0.00015844768495298922
1990,0.000160450697876513
1991,0.00015690656437072903
1992,0.00015602981147821993
1993,0.00015920870646368712
1994,0.00015573717246297747
1995,0.00015178057947196066
1996,0.00015193232684396207
1997,0.00015294064360205084
1998,0.00015084943152032793
1999,0.00014626987103838474
2000,0.00014177095727063715
2001,0.0001407494564773515
2002,0.00013971321459393948
2003,0.00014555724919773638
2004,0.0001418660394847393
2005,0.00014177692355588078
2006,0.0001371121034026146
2007,0.0001343937765341252
2008,0.00012674306344706565
2009,0.00012386021262500435
2010,0.00012683321256190538
2011,0.00012810868793167174
2012,0.00014020290109328926
2013,0.00012927709030918777
2014,0.00010932709847111255
2015,0.00010791890235850587
2016,0.00011409589205868542
2017,0.00010472610301803797
2018,0.00010357226710766554
2019,0.00010894276056205854
