,know
1800,0.0004532662278506905
1801,0.0003899590519722551
1802,0.00031377654522657394
1803,0.00032504694536328316
1804,0.00038252785452641547
1805,0.00032832444412633777
1806,0.0003684516705106944
1807,0.0003220548096578568
1808,0.00045450287871062756
1809,0.00038875231985002756
1810,0.0003696315689012408
1811,0.0004218285030219704
1812,0.00039661902701482177
1813,0.0003514410345815122
1814,0.0003461785090621561
1815,0.00032952791661955416
1816,0.0004163905687164515
1817,0.000348647910868749
1818,0.0003370687772985548
1819,0.00030223370413295925
1820,0.0004162248515058309
1821,0.0003977959568146616
1822,0.0003518099256325513
1823,0.00035351107362657785
1824,0.0003913820255547762
1825,0.000369193556252867
1826,0.0003418408741708845
1827,0.0003323287528473884
1828,0.0003408201446291059
1829,0.0003187505644746125
1830,0.0003728456504177302
1831,0.00034964882070198655
1832,0.0004025690723210573
1833,0.00037443506880663335
1834,0.0003505286294966936
1835,0.00035355493309907615
1836,0.0003578788600862026
1837,0.00036158302100375295
1838,0.0003519225283525884
1839,0.00035235428367741406
1840,0.0003537233860697597
1841,0.000341910490533337
1842,0.00034406871418468654
1843,0.00034835320548154414
1844,0.0003613466105889529
1845,0.00032331421971321106
1846,0.0003408672346267849
1847,0.00033299208735115826
1848,0.0003505490312818438
1849,0.00032740880851633847
1850,0.0003548434760887176
1851,0.00034212906030006707
1852,0.0003591348067857325
1853,0.0003759352257475257
1854,0.00035458526690490544
1855,0.0003488637739792466
1856,0.00035599255352281034
1857,0.00036119238939136267
1858,0.0003556691517587751
1859,0.0003586449602153152
1860,0.0003928281075786799
1861,0.00036841543624177575
1862,0.00038660908467136323
1863,0.0003699386725202203
1864,0.00039598721195943654
1865,0.0003916913701687008
1866,0.0004025594098493457
1867,0.00040054103010334074
1868,0.00040919045568443835
1869,0.0004126140847802162
1870,0.0004010692937299609
1871,0.00039047590689733624
1872,0.0005196481361053884
1873,0.0003869860665872693
1874,0.00039374848711304367
1875,0.0003894056426361203
1876,0.00041757867438718677
1877,0.00039960246067494154
1878,0.0003730407333932817
1879,0.0003821364080067724
1880,0.0003712305915541947
1881,0.0003640991053543985
1882,0.00039225840009748936
1883,0.0003709358861669898
1884,0.0003756798687390983
1885,0.000358267076080665
1886,0.0003586394595913589
1887,0.0003616232133936137
